state	power	likelihood
1255	0.237305	-1436.94
1260	0.237305	-1425.26
1265	0.237305	-1427.03
1270	0.237305	-1430.5
1275	0.237305	-1429.43
1280	0.237305	-1431.31
1285	0.237305	-1431.31
1290	0.237305	-1426.25
1295	0.237305	-1426
1300	0.237305	-1430.35
1305	0.237305	-1426.33
1310	0.237305	-1429.75
1315	0.237305	-1425.03
1320	0.237305	-1425.85
1325	0.237305	-1425.85
1330	0.237305	-1426.15
1335	0.237305	-1425.05
1340	0.237305	-1426.4
1345	0.237305	-1429.25
1350	0.237305	-1428.31
1355	0.237305	-1427.54
1360	0.237305	-1425.38
1365	0.237305	-1425.19
1370	0.237305	-1431.16
1375	0.237305	-1425.63
1380	0.237305	-1433.47
1385	0.237305	-1428.14
1390	0.237305	-1430.29
1395	0.237305	-1427.64
1400	0.237305	-1425.02
1405	0.237305	-1427.28
1410	0.237305	-1425.04
1415	0.237305	-1432.86
1420	0.237305	-1426.12
1425	0.237305	-1431.45
1430	0.237305	-1425.01
1435	0.237305	-1428.91
1440	0.237305	-1428.55
1445	0.237305	-1427.16
1450	0.237305	-1426.84
1455	0.237305	-1435
1460	0.237305	-1425.13
1465	0.237305	-1429.27
1470	0.237305	-1425.06
1475	0.237305	-1425.01
1480	0.237305	-1425.02
1485	0.237305	-1426.59
1490	0.237305	-1425.73
1495	0.237305	-1426.37
1500	0.237305	-1427.26
1505	0.237305	-1425.72
1510	0.237305	-1427.7
1515	0.237305	-1425.33
1520	0.237305	-1425.48
1525	0.237305	-1425.18
1530	0.237305	-1428.63
1535	0.237305	-1427
1540	0.237305	-1425.63
1545	0.237305	-1425.14
1550	0.237305	-1425.37
1555	0.237305	-1425.01
1560	0.237305	-1425.28
1565	0.237305	-1425.05
1570	0.237305	-1437.19
1575	0.237305	-1431.46
1580	0.237305	-1430.5
1585	0.237305	-1425.24
1590	0.237305	-1430.9
1595	0.237305	-1430.72
1600	0.237305	-1433.03
1605	0.237305	-1425.26
1610	0.237305	-1425.75
1615	0.237305	-1425.75
1620	0.237305	-1428.67
1625	0.237305	-1425.69
1630	0.237305	-1425.69
1635	0.237305	-1429.75
1640	0.237305	-1426.94
1645	0.237305	-1427.06
