state	power	likelihood
1255	1	-1425.9
1260	1	-1425.16
1265	1	-1425.25
1270	1	-1426.13
1275	1	-1425.03
1280	1	-1425.03
1285	1	-1428.34
1290	1	-1426.7
1295	1	-1425.04
1300	1	-1425.3
1305	1	-1425.06
1310	1	-1426.51
1315	1	-1425.04
1320	1	-1426.17
1325	1	-1426.37
1330	1	-1425.49
1335	1	-1425.12
1340	1	-1427.1
1345	1	-1425.02
1350	1	-1425.02
1355	1	-1425.05
1360	1	-1425.73
1365	1	-1425.74
1370	1	-1425.01
1375	1	-1425.05
1380	1	-1425.11
1385	1	-1425.01
1390	1	-1425.07
1395	1	-1425.52
1400	1	-1425.06
1405	1	-1425.7
1410	1	-1425.01
1415	1	-1425.01
1420	1	-1425.04
1425	1	-1425.13
1430	1	-1425.35
1435	1	-1425.81
1440	1	-1425.15
1445	1	-1426.31
1450	1	-1425.33
1455	1	-1425.04
1460	1	-1425.04
1465	1	-1425.01
1470	1	-1425.15
1475	1	-1425.27
1480	1	-1425.38
1485	1	-1425.22
1490	1	-1425.22
1495	1	-1425.68
1500	1	-1425.11
1505	1	-1425.01
1510	1	-1425.24
1515	1	-1425.48
1520	1	-1425.54
1525	1	-1425.03
1530	1	-1425.18
1535	1	-1425.12
1540	1	-1425.02
1545	1	-1425.01
1550	1	-1425.02
1555	1	-1425.33
1560	1	-1426.23
1565	1	-1425.61
1570	1	-1425.75
1575	1	-1426.54
1580	1	-1425.15
1585	1	-1425.03
1590	1	-1425.07
1595	1	-1425.11
1600	1	-1426.32
1605	1	-1425.02
1610	1	-1425.32
1615	1	-1425.04
1620	1	-1425.11
1625	1	-1425.11
1630	1	-1425.35
1635	1	-1425.12
1640	1	-1425.21
1645	1	-1425.02
1650	1	-1425.27
1655	1	-1425.21
1660	1	-1425.18
1665	1	-1425.18
1670	1	-1425.38
1675	1	-1425.03
1680	1	-1425.02
1685	1	-1427.58
1690	1	-1427.9
1695	1	-1425.22
1700	1	-1425.28
1705	1	-1425.04
1710	1	-1425.1
1715	1	-1425.01
1720	1	-1425.68
1725	1	-1425.37
1730	1	-1425.4
1735	1	-1425.29
1740	1	-1425.13
1745	1	-1425.83
1750	1	-1425.77
1755	1	-1425.48
1760	1	-1425.76
1765	1	-1425.74
1770	1	-1425.05
1775	1	-1425.05
1780	1	-1425.08
1785	1	-1425.01
1790	1	-1425.03
1795	1	-1425.03
1800	1	-1425.18
1805	1	-1425.18
