state	power	likelihood
1255	0.00525219	-1477.6
1260	0.00525219	-1477.6
1265	0.00525219	-1429.34
1270	0.00525219	-1483.92
1275	0.00525219	-1455.16
1280	0.00525219	-1561.19
1285	0.00525219	-1550.19
1290	0.00525219	-1671.82
1295	0.00525219	-1594.45
1300	0.00525219	-1773.07
1305	0.00525219	-1696.49
1310	0.00525219	-1578.11
1315	0.00525219	-1489.43
1320	0.00525219	-1434.76
1325	0.00525219	-1476.18
1330	0.00525219	-1692.55
1335	0.00525219	-1803.82
1340	0.00525219	-1473.1
1345	0.00525219	-1522.63
1350	0.00525219	-1465.38
1355	0.00525219	-1732.59
1360	0.00525219	-1580.04
1365	0.00525219	-1609.23
1370	0.00525219	-1506.53
1375	0.00525219	-1429.56
1380	0.00525219	-1578.59
1385	0.00525219	-1426.79
1390	0.00525219	-1425.06
1395	0.00525219	-1574.11
1400	0.00525219	-1524.05
1405	0.00525219	-1425.01
1410	0.00525219	-1457.82
1415	0.00525219	-1479.93
1420	0.00525219	-2094.74
1425	0.00525219	-1425.56
1430	0.00525219	-1708.52
1435	0.00525219	-1476.97
1440	0.00525219	-1525.58
1445	0.00525219	-1688.76
1450	0.00525219	-1491.26
1455	0.00525219	-1492.18
1460	0.00525219	-1734.54
1465	0.00525219	-1532.04
1470	0.00525219	-1732.61
1475	0.00525219	-1425.93
1480	0.00525219	-1588.06
1485	0.00525219	-1425.09
1490	0.00525219	-1426
1495	0.00525219	-1624.97
1500	0.00525219	-1722.35
1505	0.00525219	-1449.54
1510	0.00525219	-1427.88
1515	0.00525219	-1523.86
1520	0.00525219	-1439.96
1525	0.00525219	-1500.74
1530	0.00525219	-1486.77
1535	0.00525219	-1432.95
1540	0.00525219	-1429.73
1545	0.00525219	-1526.17
1550	0.00525219	-1590.8
1555	0.00525219	-1426.78
1560	0.00525219	-1480.67
1565	0.00525219	-1714.81
1570	0.00525219	-1425.08
1575	0.00525219	-1425.45
1580	0.00525219	-1437.63
1585	0.00525219	-1446.49
1590	0.00525219	-1433.67
1595	0.00525219	-1584.56
1600	0.00525219	-1425.02
1605	0.00525219	-1713.52
1610	0.00525219	-1446.54
1615	0.00525219	-1480.08
1620	0.00525219	-1450.69
1625	0.00525219	-1443.48
1630	0.00525219	-1448.67
1635	0.00525219	-1714.78
1640	0.00525219	-1714.78
1645	0.00525219	-1445.07
1650	0.00525219	-1443.28
1655	0.00525219	-1443.28
1660	0.00525219	-1522.85
1665	0.00525219	-2197.34
1670	0.00525219	-1471.83
1675	0.00525219	-1429.84
1680	0.00525219	-1445.52
1685	0.00525219	-1747.6
1690	0.00525219	-1599.74
1695	0.00525219	-1437.65
1700	0.00525219	-1619.31
1705	0.00525219	-1429.64
1710	0.00525219	-1425.14
1715	0.00525219	-1650.32
1720	0.00525219	-1558.86
1725	0.00525219	-1426.45
1730	0.00525219	-1538.78
1735	0.00525219	-1460.65
1740	0.00525219	-1469.58
1745	0.00525219	-1425.49
1750	0.00525219	-1488.88
1755	0.00525219	-1998.28
1760	0.00525219	-1502.57
1765	0.00525219	-1506.66
1770	0.00525219	-1827.32
1775	0.00525219	-1464.41
1780	0.00525219	-1433.28
1785	0.00525219	-1443.17
1790	0.00525219	-1480.11
1795	0.00525219	-1478.44
1800	0.00525219	-1426.6
1805	0.00525219	-1535.66
1810	0.00525219	-1425.49
1815	0.00525219	-1429.33
1820	0.00525219	-1435.79
1825	0.00525219	-1529.17
1830	0.00525219	-1549.4
1835	0.00525219	-1732.76
1840	0.00525219	-1429.13
1845	0.00525219	-1758.56
1850	0.00525219	-1425.72
1855	0.00525219	-1441.51
1860	0.00525219	-1526.31
1865	0.00525219	-1425.32
1870	0.00525219	-1498.29
1875	0.00525219	-1448.5
1880	0.00525219	-1433.03
1885	0.00525219	-1455.41
1890	0.00525219	-1504.17
1895	0.00525219	-1428.16
1900	0.00525219	-1594.76
1905	0.00525219	-1463.75
1910	0.00525219	-1425.31
1915	0.00525219	-1425.31
1920	0.00525219	-1437.63
1925	0.00525219	-1594.72
1930	0.00525219	-1512.79
1935	0.00525219	-1459.5
1940	0.00525219	-1489.25
1945	0.00525219	-1471.31
1950	0.00525219	-1431.32
1955	0.00525219	-1672.57
1960	0.00525219	-1577.39
1965	0.00525219	-1439.66
1970	0.00525219	-1432.31
1975	0.00525219	-1959.19
1980	0.00525219	-1471.46
1985	0.00525219	-1459.06
1990	0.00525219	-1443.48
1995	0.00525219	-1439.12
2000	0.00525219	-1434.37
2005	0.00525219	-1458.06
2010	0.00525219	-1487.21
2015	0.00525219	-1448.33
2020	0.00525219	-1448.33
2025	0.00525219	-1429.39
2030	0.00525219	-1511.6
2035	0.00525219	-1425.14
2040	0.00525219	-1457.25
2045	0.00525219	-1481.22
2050	0.00525219	-1551.59
2055	0.00525219	-1428.37
2060	0.00525219	-1442.59
2065	0.00525219	-1653.76
2070	0.00525219	-1432.07
2075	0.00525219	-1711.39
2080	0.00525219	-2088.86
2085	0.00525219	-1436.6
2090	0.00525219	-1771.4
2095	0.00525219	-1430.82
2100	0.00525219	-1428.26
2105	0.00525219	-1497.89
2110	0.00525219	-1433.57
2115	0.00525219	-1437.24
2120	0.00525219	-1430.4
2125	0.00525219	-1499.99
2130	0.00525219	-1469.32
2135	0.00525219	-1501.54
2140	0.00525219	-1466.66
2145	0.00525219	-1609.31
2150	0.00525219	-1550.79
2155	0.00525219	-1425.21
2160	0.00525219	-1430.53
2165	0.00525219	-1776.36
2170	0.00525219	-1439.88
2175	0.00525219	-1782.51
2180	0.00525219	-1470.93
2185	0.00525219	-1512.3
2190	0.00525219	-1454.35
2195	0.00525219	-1439.5
2200	0.00525219	-1427.34
2205	0.00525219	-1428.08
2210	0.00525219	-1449.26
2215	0.00525219	-1442.67
2220	0.00525219	-1453.26
2225	0.00525219	-2040.47
2230	0.00525219	-1443.65
2235	0.00525219	-1516.4
2240	0.00525219	-1547.56
2245	0.00525219	-1475.95
2250	0.00525219	-1441.09
2255	0.00525219	-2020.48
2260	0.00525219	-1425.04
2265	0.00525219	-1428.16
2270	0.00525219	-1498.31
2275	0.00525219	-1438.08
2280	0.00525219	-1539.54
2285	0.00525219	-1426.75
2290	0.00525219	-1516.52
2295	0.00525219	-2173.74
2300	0.00525219	-1665.25
2305	0.00525219	-1430.59
2310	0.00525219	-1710.27
2315	0.00525219	-1477.45
2320	0.00525219	-1508.07
2325	0.00525219	-1460.53
2330	0.00525219	-1431.74
2335	0.00525219	-1581.17
2340	0.00525219	-1586.79
2345	0.00525219	-1445.21
2350	0.00525219	-1793.11
2355	0.00525219	-1522.09
2360	0.00525219	-1709.49
2365	0.00525219	-1570.61
2370	0.00525219	-1537.5
2375	0.00525219	-1580.98
2380	0.00525219	-1656.09
2385	0.00525219	-1771.57
2390	0.00525219	-1644.36
2395	0.00525219	-1440.83
2400	0.00525219	-1458.8
2405	0.00525219	-2367.71
2410	0.00525219	-1429.59
2415	0.00525219	-1457.03
2420	0.00525219	-1469.35
2425	0.00525219	-1428.85
2430	0.00525219	-1458.42
2435	0.00525219	-1488.41
2440	0.00525219	-1568.35
2445	0.00525219	-1559.19
2450	0.00525219	-1425.18
