Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4084.181	-4083.265	-0.9158089	0.3145023	0.178145	0.408812	0.432421	0.522349	0.3068	0.160804	0.129809	0.192736	0.0339098	0.160129	0.0121435	0.11157	0.177861	0.113291	0.195476	0.0853245	0.0588459	0.525564	0.0214991	0.333107	0.285553	0.129951	0.251389	0.00654523	0.115814	0.619373	3.25827	2.82749
10	-4084.157	-4083.244	-0.912743	0.3040159	0.149373	0.603516	0.463305	0.418274	0.166944	0.195958	0.129809	0.163132	0.137442	0.104919	0.0231692	0.104022	0.167321	0.0716321	0.261438	0.0938729	0.0759406	0.480184	0.0169326	0.328123	0.286145	0.120268	0.265465	0.00562673	0.107623	0.602486	3.28426	2.827183
20	-4084.029	-4081.052	-2.976971	0.3399534	0.211125	0.601038	0.419	0.468304	0.237582	0.223805	0.125846	0.294555	0.0397607	0.113219	0.018371	0.130939	0.150061	0.0803229	0.270656	0.0691408	0.0663069	0.464592	0.0489814	0.33532	0.29855	0.122629	0.2435	0.00908813	0.135726	0.657186	3.198	3.033606
30	-4085.289	-4079.349	-5.940629	0.3226632	0.161365	0.620377	0.531342	0.461286	0.273667	0.23714	0.165869	0.276545	0.114557	0.0580729	0.0202925	0.245354	0.164104	0.0819046	0.28108	0.0691633	0.0884416	0.452593	0.0268175	0.342991	0.303557	0.118313	0.235139	0.00731273	0.122201	0.631971	3.23851	3.329972
40	-4088.719	-4079.769	-8.950299	0.2987879	0.161365	0.738357	0.491131	0.545164	0.330115	0.207382	0.181531	0.232318	0.062962	0.187691	0.0374342	0.299813	0.155676	0.0857988	0.233596	0.0668882	0.0577675	0.505455	0.0504946	0.348323	0.3081	0.122123	0.221454	0.0051975	0.103552	0.593762	3.29749	3.630939
50	-4087.406	-4082.04	-5.365632	0.3428975	0.208393	0.674211	0.484016	0.395956	0.195334	0.232778	0.181531	0.329468	0.0883228	0.131702	0.0301806	0.124318	0.196263	0.0835896	0.196014	0.0680977	0.0231412	0.585035	0.0441221	0.373696	0.281316	0.141503	0.203484	0.00941023	0.138024	0.661289	3.19128	3.272472
60	-4095.782	-4093.488	-2.293774	0.3890308	0.153392	0.411868	0.50006	0.50733	0.23781	0.131217	0.145174	0.36355	0.0539209	0.029673	0.00949125	0.218535	0.203265	0.070012	0.187136	0.144605	0.0289442	0.552569	0.0167351	0.305533	0.327003	0.15687	0.210595	0.0151642	0.173515	0.719133	3.09219	2.965286
70	-4086.251	-4084.96	-1.290391	0.3561127	0.176297	0.46312	0.571321	0.381251	0.291899	0.161839	0.168992	0.164817	0.0718798	0.158228	0.0272641	0.0725686	0.155472	0.0935775	0.207092	0.0967954	0.0430241	0.54173	0.0177813	0.336534	0.282214	0.163633	0.217619	0.0109251	0.148301	0.679062	3.16171	2.864948
80	-4086.123	-4082.742	-3.381207	0.3194363	0.141518	0.588027	0.44082	0.360383	0.342609	0.227085	0.173261	0.236931	0.0853886	0.131637	0.0146475	0.215482	0.116239	0.0866242	0.191812	0.101265	0.036365	0.539692	0.0442416	0.349183	0.29574	0.145743	0.209334	0.00700379	0.119675	0.627045	3.24628	3.074029
90	-4085.266	-4077.089	-8.177336	0.333746	0.178221	0.624418	0.66627	0.499224	0.342609	0.21974	0.167433	0.276825	0.0508334	0.080801	0.0712019	0.104691	0.271376	0.0552393	0.250158	0.124916	0.0327925	0.468208	0.0686863	0.32865	0.316882	0.122451	0.232016	0.0084277	0.130875	0.648357	3.21234	3.553642
