Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4087.77	-4082.992	-4.778336	0.383859	0.192922	0.551201	0.553733	0.407244	0.221919	0.227285	0.217954	0.217795	0.0930873	0.0427212	0.217392	0.219646	0.0508418	0.33383	0.296855	0.131915	0.2374	0.0904724	0.203955	0.0843082	0.00141693	0.529847	0.0900003	0.0144563	0.169599	0.713206	3.10274	3.213742
10	-4085.781	-4079.639	-6.142437	0.2978843	0.215642	0.651265	0.617241	0.489042	0.206852	0.238305	0.14689	0.288922	0.124904	0.0503728	0.201869	0.0615033	0.0573446	0.333336	0.297622	0.13172	0.237322	0.0862196	0.213208	0.0803451	0.000694368	0.533763	0.0857696	0.00512526	0.10285	0.592233	3.29979	3.350152
20	-4085.926	-4085.843	-0.08317274	0.3265151	0.1332	0.452402	0.448546	0.391159	0.195371	0.198737	0.158013	0.196794	0.0954039	0.132749	0.106703	0.203682	0.031468	0.348011	0.304996	0.113942	0.233051	0.0841742	0.219534	0.084256	0.000677896	0.501658	0.1097	0.00769082	0.125217	0.637759	3.22933	2.744226
30	-4088.095	-4083.615	-4.479954	0.3573635	0.13314	0.762387	0.466932	0.396303	0.212293	0.256341	0.165685	0.246735	0.0821685	0.10484	0.135723	0.177268	0.0440873	0.344227	0.30168	0.123577	0.230517	0.0894193	0.233214	0.0965875	0.000720137	0.486764	0.0932947	0.0110742	0.14927	0.680692	3.15896	3.183904
40	-4081.683	-4082.561	0.8781291	0.365153	0.142587	0.478627	0.430372	0.327356	0.149787	0.230353	0.121171	0.201712	0.0672082	0.129645	0.179554	0.145636	0.0440873	0.328854	0.300091	0.141753	0.229303	0.107719	0.23747	0.09835	0.000733277	0.495647	0.0600816	0.0120248	0.155288	0.690641	3.14205	2.648096
50	-4085.293	-4087.404	2.111487	0.4022832	0.166247	0.421046	0.579209	0.348706	0.135177	0.119606	0.101212	0.204368	0.0840642	0.040036	0.185355	0.0935024	0.0462319	0.331073	0.29728	0.140425	0.231222	0.109887	0.23663	0.102614	0.000730685	0.47583	0.0743081	0.0170452	0.18346	0.733739	3.06576	2.52476
60	-4090.132	-4094.891	4.758538	0.446233	0.0784118	0.313759	0.458618	0.326675	0.168586	0.16301	0.132811	0.118621	0.0484348	0.096747	0.172543	0.130426	0.0514128	0.323959	0.290892	0.145877	0.239272	0.109202	0.238552	0.104812	0.000726128	0.472863	0.0738447	0.0239098	0.215374	0.776829	2.98389	2.260055
70	-4086.728	-4081.242	-5.485425	0.3246831	0.148958	0.747936	0.561194	0.464957	0.299952	0.238605	0.155689	0.207797	0.0160204	0.0482307	0.271462	0.0435541	0.0800961	0.314807	0.316008	0.136052	0.233133	0.0961763	0.210098	0.0927087	0.000639516	0.535341	0.0650366	0.00750973	0.123783	0.635018	3.23369	3.284451
80	-4092.218	-4083.855	-8.363021	0.3402532	0.142097	0.747773	0.663912	0.494335	0.242443	0.222428	0.153145	0.287589	0.03376	0.0432985	0.243641	0.204351	0.0934386	0.305876	0.298972	0.151595	0.243557	0.0953925	0.208386	0.0919532	0.000634305	0.579834	0.0238004	0.00912066	0.13596	0.657606	3.19731	3.572211
90	-4095.089	-4093.591	-1.497966	0.3247217	0.132207	0.455845	0.540424	0.380463	0.212664	0.160913	0.172309	0.367223	0.0248333	0.0324845	0.152659	0.158599	0.0950815	0.308061	0.300188	0.15029	0.241461	0.132307	0.207444	0.127537	0.000879763	0.507604	0.0242287	0.00751353	0.123813	0.635076	3.2336	2.885705
