Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-4280.874	-4296.487	15.61232	0.128786	0.186555	0.26476	0.177337	0.148589	0.0805199	0.087572	0.149235	0.00687024	0.0286808	0.0250383	0.0707717	0.050222	0.233315	0.209728	0.143862	0.0714095	0.307486	0.0342	0.274112	0.261471	0.19299	0.271427	1.404936
10	-4268.423	-4283.793	15.36905	0.123528	0.206963	0.229231	0.217129	0.124721	0.104105	0.0897546	0.133869	0.0321253	0.015818	0.0562789	0.0434805	0.05226	0.212117	0.228202	0.142939	0.0700953	0.312666	0.0339807	0.271401	0.277626	0.174103	0.27687	1.429262
20	-4273.698	-4289.14	15.44216	0.0921156	0.184839	0.222407	0.177793	0.130744	0.121322	0.120565	0.123242	0.0108922	0.0475221	0.0725506	0.0564108	0.0615485	0.18368	0.221997	0.124124	0.0643787	0.351893	0.0539267	0.279454	0.287598	0.1646	0.268348	1.421951
30	-4269.572	-4285.19	15.61876	0.11095	0.184839	0.229486	0.186548	0.155096	0.11375	0.101588	0.123263	0.0134011	0.0333817	0.0775054	0.0293886	0.0450956	0.181232	0.22842	0.140404	0.0518306	0.350339	0.0477738	0.265738	0.274507	0.18413	0.275625	1.404291
40	-4270.796	-4286.053	15.25682	0.110266	0.204407	0.21639	0.209385	0.122863	0.0993004	0.0903442	0.125309	0.0432758	0.0273259	0.0833313	0.0404077	0.0678806	0.184538	0.246927	0.130588	0.0905722	0.324055	0.0233201	0.273612	0.272979	0.181722	0.271687	1.440485
50	-4271.195	-4287.291	16.09622	0.0830373	0.172332	0.197035	0.174406	0.128463	0.123632	0.0833265	0.142735	0.0373313	0.0408934	0.0658835	0.0544183	0.0530517	0.183021	0.259105	0.160462	0.0492703	0.316507	0.0316336	0.293654	0.270145	0.160884	0.275316	1.356545
60	-4277.641	-4292.181	14.54011	0.0965219	0.2229	0.248383	0.220648	0.135338	0.112744	0.0950589	0.13975	0.0220073	0.03915	0.0570385	0.0481936	0.0744226	0.222413	0.19884	0.167798	0.0372285	0.330976	0.042744	0.255305	0.288496	0.179637	0.276562	1.512156
70	-4269.005	-4283.825	14.81984	0.120854	0.208243	0.249954	0.206793	0.144852	0.123257	0.0741449	0.145759	0.0248073	0.03915	0.0416743	0.0341348	0.0705598	0.196744	0.276493	0.124704	0.0417486	0.328807	0.031503	0.267333	0.275597	0.161985	0.295085	1.484183
80	-4273.297	-4288.299	15.00264	0.117061	0.216318	0.228183	0.209692	0.153955	0.103865	0.114718	0.12003	0.0153001	0.0719668	0.0321475	0.0352142	0.0474515	0.2083	0.259021	0.130584	0.043281	0.321581	0.0372329	0.27565	0.268524	0.16747	0.288357	1.465903
90	-4274.116	-4288.349	14.23297	0.114393	0.2147	0.238465	0.171699	0.143274	0.139025	0.10704	0.147302	0.0490538	0.032114	0.0890806	0.0161694	0.0805545	0.205021	0.217859	0.142668	0.0612859	0.340838	0.0323268	0.298605	0.263452	0.171201	0.266742	1.54287
100	-4273.88	-4288.969	15.08844	0.116153	0.202872	0.188479	0.218904	0.144542	0.105537	0.0912083	0.159268	0.0329036	0.0512566	0.0642692	0.029549	0.0523808	0.205122	0.248919	0.13458	0.0491015	0.346884	0.0153938	0.294963	0.275676	0.183548	0.245814	1.457324
110	-4271.663	-4287.107	15.44364	0.100705	0.205606	0.221588	0.18738	0.139174	0.100256	0.0889782	0.134561	0.0371507	0.0512566	0.0918047	0.020942	0.0424022	0.16642	0.264382	0.137229	0.0695939	0.309799	0.0525764	0.298237	0.271356	0.161541	0.268866	1.421803
120	-4274.102	-4288.529	14.42733	0.121323	0.190782	0.246948	0.199915	0.148465	0.137904	0.101897	0.13765	0.0622174	0.0158084	0.0874159	0.0399451	0.0331645	0.210298	0.203801	0.142687	0.0669562	0.338948	0.0373101	0.282525	0.253743	0.166552	0.297179	1.523434
130	-4274.141	-4290.29	16.1496	0.106903	0.171873	0.21333	0.210595	0.110338	0.0944852	0.114624	0.131015	0.0460568	0.0240239	0.0588725	0.0309635	0.0381269	0.209869	0.216374	0.11672	0.0669533	0.341688	0.048396	0.266945	0.284524	0.172397	0.276133	1.351207
140	-4275.031	-4290.715	15.68418	0.109952	0.178943	0.209798	0.195133	0.158996	0.114308	0.0784517	0.128979	0.0271839	0.0398323	0.0844679	0.0272433	0.0444608	0.221813	0.262686	0.122086	0.0634796	0.283305	0.0466303	0.261547	0.269571	0.158828	0.310054	1.397749
150	-4270.938	-4285.669	14.73094	0.113508	0.212213	0.227726	0.217051	0.144507	0.092148	0.0869457	0.142431	0.0574475	0.0254842	0.0603225	0.0592059	0.0540822	0.197896	0.251431	0.13569	0.0578847	0.333802	0.0232967	0.293728	0.265638	0.164626	0.276008	1.493074
160	-4272.69	-4287.058	14.36775	0.110562	0.197525	0.233669	0.208712	0.115658	0.11826	0.104779	0.138921	0.0510632	0.0607069	0.0817874	0.0456966	0.0620532	0.215914	0.235294	0.154992	0.0528999	0.305668	0.0352311	0.265892	0.286428	0.16984	0.277841	1.529392
170	-4284.116	-4298.579	14.46273	0.0879081	0.213866	0.286662	0.225254	0.0916712	0.0970676	0.104779	0.149803	0.0394226	0.0417278	0.0947992	0.0586633	0.0282701	0.183704	0.318572	0.114422	0.0398855	0.294245	0.0491721	0.264192	0.277764	0.162206	0.295837	1.519894
180	-4273.472	-4288.678	15.20605	0.0961698	0.167981	0.254164	0.220718	0.13603	0.107953	0.077344	0.145622	0.0418783	0.0459454	0.0850856	0.0271843	0.0394863	0.190556	0.236725	0.152265	0.035046	0.324325	0.0610826	0.268779	0.288111	0.163671	0.27944	1.445562
190	-4272.834	-4288.801	15.96765	0.106983	0.175739	0.189919	0.169464	0.133387	0.122142	0.0947263	0.151483	0.025224	0.0153558	0.0584298	0.0608925	0.065656	0.238633	0.240883	0.113604	0.0397962	0.326744	0.0403406	0.298653	0.254653	0.165941	0.280753	1.369402
200	-4273.741	-4289.299	15.5577	0.104566	0.223453	0.221321	0.150708	0.11553	0.126517	0.100833	0.110168	0.0413421	0.01236	0.0499595	0.0732365	0.0804041	0.195932	0.251783	0.158252	0.0581541	0.305512	0.0303663	0.27088	0.281269	0.162074	0.285777	1.410397
210	-4272.523	-4287.452	14.92895	0.115689	0.184977	0.225311	0.224337	0.165464	0.126157	0.0905902	0.0979366	0.0305357	0.0193453	0.0610548	0.0566168	0.0752579	0.185898	0.307137	0.132262	0.0520463	0.289866	0.0327911	0.271393	0.28799	0.14577	0.294847	1.473272
220	-4268.297	-4284.445	16.14762	0.0942625	0.167844	0.223364	0.187607	0.144831	0.117313	0.0917953	0.104584	0.0250829	0.0243612	0.0840311	0.0306328	0.0556959	0.181663	0.278511	0.14607	0.050607	0.303256	0.0398925	0.266987	0.277451	0.166386	0.289176	1.351405
230	-4271.742	-4286.394	14.65118	0.105584	0.222784	0.226934	0.231726	0.118643	0.100832	0.102007	0.133444	0.0441195	0.0426353	0.0638553	0.0633696	0.0451158	0.23147	0.24521	0.123882	0.0582395	0.306642	0.034556	0.256113	0.279523	0.161511	0.302853	1.501049
