Iteration	Posterior	Likelihood	Prior	branchG[1]	branchG[2]	branchG[3]	branchG[4]	branchG[5]	branchG[6]	branchG[7]	branchG[8]	branchG[9]	branchG[10]	branchG[11]	branchG[12]	branchG[13]	branchG[14]	branchG[15]	branchG[16]	branchG[17]	branchG[18]	branchG[19]	branchG[20]	branchG[21]	branchG[22]	branchG[23]	branchG[24]	branchG[25]	branchG[26]	branchG[27]	branchG[28]	branchG[29]	branchG[30]	branchG[31]	branchG[32]	branchG[33]	branchG[34]	branchG[35]	branchG[36]	branchG[37]	branchG[38]	branchG[39]	branchG[40]	branchG[41]	branchG[42]	branchG[43]	branchG[44]	branchG[45]	branchG[46]	branchG[47]	branchG[48]	branchG[49]	branchG[50]	branchG[51]	branchG[52]	branchG[53]	branchG[54]	branchG[55]	branchG[56]	branchG[57]	branchG[58]	branchG[59]	branchG[60]	branchG[61]	branchG[62]	branchG[63]	branchG[64]	branchG[65]	branchG[66]	branchG[67]	branchG[68]	branchG[69]	branchG[70]	branchG[71]	branchG[72]	branchG[73]	branchG[74]	branchG[75]	branchG[76]	branchG[77]	branchG[78]	gamma	kappa	meanG	nodelogG[1]	nodelogG[2]	nodelogG[3]	nodelogG[4]	nodelogG[5]	nodelogG[6]	nodelogG[7]	nodelogG[8]	nodelogG[9]	nodelogG[10]	nodelogG[11]	nodelogG[12]	nodelogG[13]	nodelogG[14]	nodelogG[15]	nodelogG[16]	nodelogG[17]	nodelogG[18]	nodelogG[19]	nodelogG[20]	nodelogG[21]	nodelogG[22]	nodelogG[23]	nodelogG[24]	nodelogG[25]	nodelogG[26]	nodelogG[27]	nodelogG[28]	nodelogG[29]	nodelogG[30]	nodelogG[31]	nodelogG[32]	nodelogG[33]	nodelogG[34]	nodelogG[35]	nodelogG[36]	nodelogG[37]	nodelogG[38]	nodelogG[39]	nodelogG[40]	nodelogG[41]	nodelogG[42]	nodelogG[43]	nodelogG[44]	nodelogG[45]	nodelogG[46]	nodelogG[47]	nodelogG[48]	nodelogG[49]	nodelogG[50]	nodelogG[51]	nodelogG[52]	nodelogG[53]	nodelogG[54]	nodelogG[55]	nodelogG[56]	nodelogG[57]	nodelogG[58]	nodelogG[59]	nodelogG[60]	nodelogG[61]	nodelogG[62]	nodelogG[63]	nodelogG[64]	nodelogG[65]	nodelogG[66]	nodelogG[67]	nodelogG[68]	nodelogG[69]	nodelogG[70]	nodelogG[71]	nodelogG[72]	nodelogG[73]	nodelogG[74]	nodelogG[75]	nodelogG[76]	nodelogG[77]	nodelogG[78]	nodelogG[79]	root_age	sigmaG
0	-22516.08	-22638.28	122.1954	5.69924	7.58732	5.57545	7.75109	7.67689	5.70294	5.68334	5.53353	5.44454	5.6168	5.56562	7.48301	7.80206	9.2789	8.86595	5.76378	5.68637	8.85805	11.2788	12.398	10.0626	11.6094	5.47256	5.56966	5.32244	9.53849	5.38855	5.55379	5.48263	6.13274	7.36045	6.63336	5.40443	5.47913	8.55652	7.03575	8.28497	5.34266	8.03381	5.55867	5.39835	5.41726	5.43227	5.37954	5.42006	5.41153	5.27924	5.30452	5.35223	5.43296	5.39755	5.38504	5.40475	5.4471	5.46047	5.42786	5.31113	5.35644	5.38487	5.47011	5.6596	5.65224	5.62952	5.61101	5.58477	5.60995	5.60637	5.61117	5.60475	5.6521	5.65073	5.67757	5.66857	5.6785	5.66896	5.62308	5.57691	5.51063	0.9009297	8.763256	6.310566	0.756594	1.00514	0.739274	1.02818	1.01982	0.757391	0.756988	0.733786	0.722625	0.749682	0.742405	1.00288	1.03915	1.18278	1.14323	0.768069	0.756323	1.14596	1.38051	1.46269	1.27907	1.39823	0.740224	0.755501	0.713917	1.22148	0.725469	0.756581	0.756854	0.854185	1.00979	0.918192	0.735961	0.747885	1.13264	0.958564	1.10462	0.723558	1.07728	0.754946	0.731957	0.732565	0.734995	0.729539	0.731952	0.736057	0.721125	0.724017	0.725275	0.737475	0.732598	0.731795	0.730584	0.734967	0.736156	0.738304	0.724019	0.726354	0.731398	0.730953	0.753347	0.752216	0.752225	0.748718	0.745269	0.749296	0.748621	0.748742	0.749364	0.752219	0.750548	0.75504	0.753286	0.753661	0.754805	0.752201	0.747748	0.74504	0.737363	50	0.1
10	-10530.76	-10378.68	-152.0782	6.06735	7.58732	5.57545	8.39525	8.31488	5.70294	5.68334	5.77344	5.45691	5.8632	5.56562	7.48301	7.80206	9.44336	9.02309	5.4033	5.55584	8.85805	11.2788	12.398	10.0626	11.6261	5.47256	5.46728	5.32244	10.0138	5.65707	5.25972	5.64138	6.31031	7.36045	6.65007	5.40443	5.47913	8.55652	6.9551	8.28497	5.42788	8.03381	5.40413	5.39835	5.41726	5.43227	5.37954	5.35793	5.3495	5.43209	5.31789	5.36572	5.70369	5.39755	5.38504	5.40475	5.4471	5.46047	5.42786	5.31113	5.36414	5.39261	5.47011	5.6596	5.75242	5.62952	5.61101	5.58477	5.60995	5.60637	5.61117	5.61615	5.6521	6.12034	5.67757	5.66857	5.6785	5.66896	5.63453	5.58826	5.51063	0.4242058	7.070977	6.355339	0.810958	1.00514	0.739274	1.02818	1.01982	0.757391	0.756988	0.770651	0.724597	0.786973	0.742405	1.00288	1.03915	1.18278	1.14323	0.711971	0.736153	1.14596	1.38051	1.46269	1.27907	1.39823	0.740224	0.739386	0.713917	1.22148	0.725469	0.709327	0.756854	0.854185	1.00979	0.918192	0.735961	0.747885	1.13264	0.958564	1.10462	0.737303	1.07728	0.730456	0.731957	0.732565	0.734995	0.729539	0.731952	0.726043	0.745916	0.724017	0.727461	0.779714	0.732598	0.731795	0.730584	0.734967	0.736156	0.738304	0.724019	0.726354	0.732646	0.730953	0.753347	0.767477	0.752225	0.748718	0.745269	0.749296	0.748621	0.748742	0.749364	0.752219	0.81989	0.75504	0.753286	0.753661	0.754805	0.752201	0.749514	0.74504	0.737363	66.46756	0.2236695
20	-9038.455	-8840.19	-198.2654	5.41214	7.58732	5.0726	7.90026	7.82462	5.64267	4.93649	6.30564	5.44101	5.78712	5.18097	7.55618	7.87835	9.44336	9.02309	5.58437	5.13754	8.83489	11.2788	12.398	10.2501	12.5723	4.4083	4.91741	5.16092	9.79072	5.54865	4.46	5.64138	6.31031	7.2613	6.78742	6.1825	5.47913	8.68372	7.16614	9.15396	5.52481	8.03381	4.798	5.96457	5.26773	5.4913	5.45952	5.60258	5.51182	5.35891	5.3546	5.47654	5.59298	5.41337	5.38504	5.61857	6.38874	5.46047	5.42786	5.41007	5.90874	5.83147	5.48392	5.71928	5.75242	5.6148	5.5345	5.63938	5.63017	5.60637	5.54917	5.5541	5.7266	5.75947	5.67757	5.66857	5.6785	5.67812	5.64363	5.60236	6.23298	0.3861855	6.383975	6.359398	0.711698	1.00514	0.657176	1.02818	1.01982	0.748164	0.624646	0.837268	0.718938	0.772503	0.680201	1.00288	1.03915	1.18278	1.14323	0.73149	0.659051	1.14596	1.38051	1.46269	1.27907	1.39823	0.552385	0.647316	0.687149	1.22148	0.72823	0.563529	0.756854	0.854185	1.00979	0.918192	0.852789	0.747885	1.13264	0.958564	1.10462	0.666041	1.07728	0.651439	0.818593	0.732565	0.710682	0.729539	0.74477	0.752007	0.745916	0.712237	0.745217	0.760145	0.735141	0.731795	0.730584	0.768668	0.736156	0.738304	0.724019	0.742386	0.800603	0.730953	0.762458	0.767477	0.752225	0.746444	0.753721	0.752421	0.748621	0.748742	0.739713	0.76219	0.767105	0.75504	0.753286	0.753661	0.754805	0.753603	0.749514	0.747229	0.842163	72.94131	1.031924
30	-9029.491	-8773.972	-255.5189	3.51214	7.58732	6.61384	8.14503	8.06705	4.05352	3.84357	3.94252	5.083	4.98867	3.58638	8.56812	8.93344	9.62361	9.19531	2.82622	4.35196	9.12085	11.2788	12.398	10.5199	12.5723	10.6782	3.37361	4.32564	10.1848	10.0851	4.97787	5.64138	6.31031	7.67221	6.85564	5.42415	6.58185	8.68372	8.42061	8.48453	2.92773	9.50438	7.18996	6.54033	7.59521	7.10677	5.307	6.58334	7.77081	5.66216	5.71448	5.75455	5.81809	5.63157	6.72146	7.15849	6.00879	4.96301	6.02796	5.55248	6.06428	6.4762	5.59848	4.91406	5.86222	5.79653	5.50118	6.39462	5.63017	5.60637	5.34282	6.14099	5.43331	5.93792	5.67757	5.66857	5.6785	5.59364	6.38456	5.91412	5.07483	0.3861855	6.175321	6.573599	0.336104	1.00514	0.887621	1.02818	1.01982	0.460858	0.439925	0.462004	0.65982	0.643548	0.360692	1.00288	1.03915	1.18278	1.14323	0.271755	0.646714	1.14596	1.38051	1.46269	1.27907	1.39823	1.40381	0.403005	0.533797	1.22148	1.21294	0.658947	0.756854	0.854185	1.00979	0.918192	0.763736	0.931769	1.13264	0.958564	1.10462	0.180433	1.07728	0.830942	0.752631	0.878569	0.88251	0.704928	0.74477	0.892123	0.745916	0.760049	0.753904	0.79442	0.735141	0.766118	0.888809	0.820834	0.653185	0.738304	0.724019	0.764955	0.800603	0.822037	0.630657	0.783899	0.752225	0.774112	0.862887	0.752421	0.748621	0.748742	0.706799	0.729545	0.793607	0.75504	0.753286	0.753661	0.754805	0.740584	0.869678	0.674103	0.736739	66.64681	2.063017
40	-9012.638	-8770.972	-241.6661	7.31109	7.57957	10.0949	7.18518	7.1164	7.20418	6.17398	7.37122	6.71009	4.93543	6.82817	8.33485	8.69022	9.62361	9.19531	5.53757	8.09848	9.12085	11.9994	13.1901	10.2726	12.6871	5.43363	6.29609	6.88129	8.51146	3.36994	5.05028	5.64138	6.31031	7.67221	7.04275	9.84845	5.07911	8.7252	7.88752	9.39927	7.61555	9.77416	5.91622	7.45113	6.47564	5.06549	6.17811	6.19602	5.45238	5.66216	5.87044	5.54419	4.8622	5.28156	4.72192	4.61007	4.28818	5.52546	5.47631	5.76834	5.9758	5.93725	5.28673	5.73913	5.88621	5.82025	5.72383	6.22053	5.55777	5.60637	5.55907	5.09665	5.02631	5.23817	5.67177	5.66857	5.6785	5.42363	4.9379	4.9035	4.3787	0.3198367	5.617197	6.685658	0.973813	1.00514	1.25492	1.02818	1.01982	0.960364	0.892409	1.04636	0.912278	0.645471	0.919987	1.00288	1.03915	1.18278	1.14323	0.724718	1.05489	1.14596	1.38051	1.46269	1.27907	1.39823	0.723747	0.851709	0.937036	1.22148	0.416719	0.671491	0.756854	0.854185	1.00979	0.918192	1.15393	0.578773	1.13264	0.958564	1.10462	0.921838	1.07728	0.824405	0.841564	0.90288	0.719684	0.832803	0.748909	0.835317	0.745916	0.760049	0.777293	0.638524	0.735141	0.710383	0.637855	0.689559	0.746432	0.738304	0.777811	0.744292	0.8085	0.738671	0.76192	0.783899	0.755772	0.774112	0.838912	0.74118	0.748621	0.748742	0.741262	0.688722	0.684698	0.754151	0.753286	0.753661	0.754805	0.713775	0.673309	0.707704	0.574987	77.51844	1.853372
50	-9022.581	-8770.928	-251.653	6.36517	7.75708	3.89056	8.58216	8.5	3.28467	3.68752	4.66549	3.38751	4.73042	4.66171	8.03935	8.38213	9.88422	9.44433	4.98807	8.06962	9.12085	11.9994	13.1901	11.794	14.2749	8.36771	4.73027	4.06533	13.008	6.84778	6.26864	5.65571	6.32634	7.67221	6.65913	8.05669	7.87695	8.7252	7.51523	10.2564	10.6441	9.27744	3.16018	7.71739	5.84257	5.09439	5.93599	5.90357	5.80759	5.67655	5.55068	5.21367	7.57818	5.35698	5.24998	5.45272	4.48974	5.37866	6.02232	6.62268	7.71949	7.53372	5.96213	5.63372	6.02804	5.80334	6.33696	5.99999	5.20544	5.60637	6.15455	6.66278	5.43151	6.2566	5.8046	5.66857	5.6785	5.42363	5.83066	5.79005	4.33307	0.3198367	4.841066	6.763717	0.83336	1.00514	0.426739	1.02818	1.01982	0.278179	0.377402	0.581728	0.375468	0.665506	0.58847	1.00288	1.03915	1.18278	1.14323	0.647519	1.06536	1.14596	1.38051	1.46269	1.27907	1.39823	1.10029	0.604853	0.501762	1.22148	0.664164	0.842152	0.756854	0.854185	1.00979	0.918192	1.01424	0.994638	1.13264	0.958564	1.10462	1.13686	1.07728	0.323794	0.917363	0.857578	0.675629	0.798078	0.748909	0.793321	0.748121	0.760049	0.728643	1.00694	0.752195	0.705645	0.734671	0.738555	0.744919	0.716429	0.777811	0.864256	0.91092	0.843099	0.748346	0.807109	0.753244	0.774112	0.807559	0.684293	0.748621	0.748742	0.82965	0.756067	0.839016	0.774259	0.753286	0.753661	0.754805	0.713775	0.817661	0.707704	0.565888	79.41484	2.21772
60	-9005.806	-8736.464	-269.3416	2.5423	7.30463	7.45096	8.08667	8.00925	5.74723	5.82334	6.40486	3.76631	5.3245	3.97092	7.93341	8.27166	9.88422	9.44433	3.63502	10.2073	9.42396	11.9994	13.1901	9.64102	12.7033	3.11717	7.15043	2.51213	13.2165	13.1828	8.26981	5.08428	5.68716	6.89211	6.65913	11.1449	10.2273	10.1303	7.51523	10.2564	12.1254	9.9363	6.40054	8.26545	6.79095	5.50803	8.04592	6.85426	6.00895	4.58415	4.98629	5.58087	7.69967	5.73427	5.81459	5.62068	5.40601	5.48623	5.5452	5.41371	5.61558	6.1118	5.91152	5.68672	6.43622	6.40222	6.54756	6.03578	5.17905	5.78568	6.27394	7.05433	6.68057	5.89537	5.46604	5.66857	5.6785	6.34519	7.22224	6.66754	5.69589	0.3169326	5.300167	7.076643	0.0883939	1.00514	0.991139	1.02818	1.01982	0.764111	0.730801	0.813476	0.48261	0.783335	0.438504	1.00288	1.03915	1.18278	1.14323	0.421443	1.31825	1.14596	1.38051	1.46269	1.27907	1.39823	0.234081	0.955224	0.0749797	1.22148	1.21927	1.0828	0.756854	0.854185	1.00979	0.918192	1.1616	1.08697	1.13264	0.958564	1.10462	1.25003	1.07728	0.865743	0.917363	0.917171	0.74669	0.932551	0.8786	0.793321	0.655606	0.666913	0.728643	1.02075	0.752195	0.764761	0.764277	0.735302	0.753441	0.725106	0.777811	0.68918	0.80961	0.762728	0.699571	0.807109	0.810153	0.802508	0.796036	0.669223	0.759277	0.765431	0.82965	0.799543	0.787361	0.722059	0.753286	0.753661	0.754805	0.850084	0.867261	0.780671	0.730453	89.81634	2.305042
70	-8995.605	-8728.405	-267.2002	2.33506	7.30463	5.46445	8.80448	8.72019	6.57916	10.043	8.55008	3.70406	6.97731	3.80536	7.54173	7.86329	9.16743	8.75944	2.38652	4.37463	9.59405	11.5484	12.6943	9.73534	11.1795	5.65911	4.86915	5.84927	10.7644	3.63094	8.47071	4.80317	5.37271	6.83323	5.78849	5.42545	6.97232	10.4967	7.6239	9.18094	6.48289	9.9363	4.17995	7.39878	7.31452	5.93268	7.03015	7.20486	5.73536	4.29369	4.29733	4.9513	6.27112	5.85258	5.58361	5.2883	5.67295	5.48504	5.37556	5.26121	4.99032	5.13929	5.20461	5.71916	5.95498	6.50195	6.66573	5.71859	6.24391	5.76632	6.25296	8.27995	8.21719	6.41868	5.46604	5.66857	5.6785	6.74584	9.01229	7.21105	5.50751	0.3169326	4.924711	6.676725	0.0145374	1.00514	0.721807	1.02818	1.01982	0.881535	1.07755	0.93776	0.305721	0.855741	0.401515	1.00288	1.03915	1.18278	1.14323	0.0489073	0.575259	1.14596	1.38051	1.46269	1.27907	1.39823	0.764799	0.634209	0.79654	1.22148	0.277543	1.10364	0.756854	0.854185	1.00979	0.918192	0.684403	0.902286	1.13264	0.958564	1.10462	0.802387	1.07728	0.431141	0.82115	0.917171	0.8112	0.784469	0.90946	0.805791	0.606202	0.65946	0.606938	0.842495	0.752195	0.7825	0.71133	0.735302	0.740697	0.737663	0.744536	0.697636	0.698622	0.723184	0.706623	0.741719	0.808042	0.818045	0.752058	0.831635	0.759277	0.76252	0.82965	0.926181	0.86123	0.722059	0.753286	0.753661	0.754805	0.903266	1.0064	0.709593	0.772317	77.28067	2.191391
80	-8990.515	-8718.483	-272.0321	7.46546	7.30463	12.4143	7.807	7.73226	4.3321	6.29732	10.6319	9.80126	2.81467	7.43978	8.30105	8.65498	10.579	10.1082	9.73816	9.24263	9.59405	10.1739	11.1835	8.86342	13.1195	8.40644	11.1561	6.26133	9.91627	4.49534	5.16493	5.29944	5.92782	6.83323	6.45957	5.46617	4.75759	10.5726	7.87973	9.18094	8.32039	7.37729	6.52137	5.49329	4.67776	5.1737	7.7157	7.50048	6.40473	4.73732	4.79554	4.92438	5.44977	4.92058	5.37669	5.78486	5.10807	5.48504	5.74847	4.21991	5.33178	6.44949	6.39217	6.79958	6.87192	6.50195	6.14394	6.37253	5.65715	5.83794	5.83506	6.90833	8.025	5.69149	5.46604	5.66857	5.85317	6.79071	7.96715	7.49681	5.62553	0.3169326	5.594393	7.061515	1.02405	1.00514	1.43456	1.02818	1.01982	0.492276	0.672131	1.12704	1.23665	0.152939	0.983843	1.00288	1.03915	1.18278	1.14323	1.12003	1.07467	1.14596	1.38051	1.46269	1.27907	1.39823	1.10853	1.35433	0.85567	1.22148	0.534313	0.724584	0.756854	0.854185	1.00979	0.918192	0.616334	0.495742	1.13264	0.958564	1.10462	1.01914	1.07728	0.947119	0.82115	0.658516	0.681559	0.859032	0.915718	0.834459	0.691606	0.65946	0.702215	0.771212	0.701545	0.682488	0.778542	0.746043	0.740697	0.737663	0.634469	0.616136	0.837608	0.781442	0.856921	0.866114	0.808042	0.818045	0.835382	0.745918	0.759277	0.773242	0.758849	0.926181	0.756791	0.722059	0.753286	0.753661	0.781121	0.882709	0.919898	0.829855	0.670472	79.71141	2.16843
90	-8989.757	-8725.371	-264.3852	7.3579	7.19849	4.28504	8.58755	8.50533	9.44766	6.23142	5.28167	5.28813	4.29059	6.62078	7.4945	7.81405	10.2808	9.82325	10.4767	3.4713	9.65223	9.51591	10.4602	9.44767	12.9069	3.28131	7.0128	7.25246	8.45203	5.66418	3.16372	4.81438	5.38525	6.49292	5.68718	6.88424	6.91061	9.30053	7.51737	10.2467	13.6881	10.0257	5.98257	8.33194	6.58159	5.35646	6.78739	6.29463	5.70785	4.08938	4.01186	3.82105	4.00567	3.73971	4.42659	5.40393	6.69625	5.63857	6.216	4.20714	5.59116	6.67422	6.4344	6.36572	6.34943	6.21934	6.44842	5.70974	4.94117	5.79367	6.04115	6.2763	6.48754	6.26053	5.23432	5.5083	5.79525	6.11169	6.30694	6.24765	7.05713	0.3169326	5.202832	6.684232	1.02416	1.00514	0.535535	1.02818	1.01982	1.17817	0.764855	0.621224	0.818221	0.636651	0.882541	1.00288	1.03915	1.18278	1.14323	1.19695	0.23748	1.14596	1.38051	1.46269	1.27907	1.39823	0.291399	0.951086	0.959329	1.22148	0.873837	0.427483	0.756854	0.854185	1.00979	0.918192	0.81668	0.82	1.13264	0.958564	1.10462	1.35614	1.07728	0.842063	0.916543	0.92495	0.711712	0.859032	0.804373	0.793568	0.608227	0.615088	0.591603	0.632437	0.572913	0.572762	0.719377	0.746043	0.740697	0.761641	0.576392	0.671583	0.823421	0.82538	0.843503	0.841277	0.764192	0.823296	0.746602	0.628383	0.759277	0.76663	0.79561	0.82432	0.839561	0.709346	0.728374	0.753661	0.772483	0.79984	0.799797	0.791636	0.90562	77.1086	2.112438
