species	trait
Ornithorhynchus_anatinus	no
Dasypus_novemcinctus	no
Choloepus_hoffmanni	no
Trichechus_manatus_latirostris	yes
Procavia_capensis	no
Loxodonta_africana	no
Orycteropus_afer_afer	no
Elephantulus_edwardii	no
Echinops_telfairi	no
Chrysochloris_asiatica	no
Tupaia_chinensis	no
Tupaia_belangeri	no
Oryctolagus_cuniculus	no
Ochotona_princeps	no
Marmota_marmota_marmota	no
Ictidomys_tridecemlineatus	no
Heterocephalus_glaber	no
Fukomys_damarensis	no
Octodon_degus	no
Chinchilla_lanigera	no
Cavia_porcellus	no
Cavia_aperea	no
Jaculus_jaculus	no
Nannospalax_galili	no
Rattus_norvegicus	no
Mus_pahari	no
Mus_spretus	no
Mus_musculus	no
Mus_caroli	no
Meriones_unguiculatus	no
Peromyscus_maniculatus	no
Microtus_ochrogaster	no
Mesocricetus_auratus	no
Cricetulus_griseus	no
Dipodomys_ordii	no
Castor_canadensis	no
Galeopterus_variegatus	no
Otolemur_garnettii	no
Propithecus_coquereli	no
Microcebus_murinus	no
Carlito_syrichta	no
Nomascus_leucogenys	no
Pongo_abelii	no
Pan_troglodytes	no
Pan_paniscus	no
Homo_sapiens	no
Gorilla_gorilla	no
Rhinopithecus_roxellana	no
Rhinopithecus_bieti	no
Piliocolobus_tephrosceles	no
Colobus_angolensis	no
Chlorocebus_sabaeus	no
Macaca_nemestrina	no
Macaca_mulatta	no
Macaca_fascicularis	no
Papio_anubis	no
Mandrillus_leucophaeus	no
Cercocebus_atys	no
Saimiri_boliviensis	no
Cebus_capucinus	no
Callithrix_jacchus	no
Aotus_nancymaae	no
Sorex_araneus	no
Erinaceus_europaeus	no
Condylura_cristata	no
Rousettus_aegyptiacus	no
Pteropus_vampyrus	no
Pteropus_alecto	no
Rhinolophus_sinicus	no
Hipposideros_armiger	no
Miniopterus_natalensis	no
Myotis_davidii	no
Myotis_lucifugus	no
Myotis_brandtii	no
Eptesicus_fuscus	no
Equus_przewalskii	no
Equus_caballus	no
Equus_asinus	no
Ceratotherium_simum_simum	no
Vicugna_pacos	no
Camelus_dromedarius	no
Camelus_ferus	no
Camelus_bactrianus	no
Sus_scrofa	no
Odocoileus_virginianus_texanus	no
Pantholops_hodgsonii	no
Ovis_aries	no
Capra_hircus	no
Bubalus_bubalis	no
Bos_taurus	no
Bos_indicus	no
Bos_mutus	no
Bison_bison_bison	no
Physeter_catodon	yes
Lipotes_vexillifer	no
Tursiops_truncatus	yes
Orcinus_orca	yes
Delphinapterus_leucas	yes
Balaenoptera_acutorostrata_scammoni	yes
Manis_javanica	no
Canis_familiaris	no
Odobenus_rosmarus_divergens	yes
Neomonachus_schauinslandi	yes
Leptonychotes_weddellii	yes
Mustela_putorius	no
Enhydra_lutris_kenyoni	yes
Ursus_maritimus	no
Ailuropoda_melanoleuca	no
Panthera_tigris_altaica	no
Panthera_pardus	no
Acinonyx_jubatus	no
Felis_catus	no
Sarcophilus_harrisii	no
Phascolarctos_cinereus	no
Notamacropus_eugenii	no
Monodelphis_domestica	no
