Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19693.58	-19695.77	2.182035	0.142888	0.476506	0.0083328	0.0209765	0.0362645	0.0127517	0.208634	0.0501765	0.0182981	0.0729558	0.0681657	0.0363046	0.0240471	0.0893973	0.00955109	0.0152857	0.151197	0.0910459	0.0757586	0.18299	0.0353178	0.180244	0.177526	0.124582	0.380321	0.173294	0.0525471	0.117324	0.249802	0.00149482	0.00845031	0.0094856	0.0582326	0.0811339	0.10112	0.0777413	0.0386372	0.0689637	0.027745	0.00582081	0.138959	0.100356	0.270078	4.270704
1	-19387.08	-19392.85	5.770807	0.142888	0.476506	0.00884954	0.0281413	0.0362645	0.0127517	0.208634	0.0742712	0.0182981	0.0729558	0.0681657	0.0363046	0.0277973	0.0893973	0.00955109	0.0219066	0.148705	0.0910459	0.0757586	0.18299	0.0555707	0.180244	0.145964	0.0992612	0.200849	0.161248	0.0412314	0.117324	0.174712	0.00106919	0.00845031	0.0094856	0.0390373	0.0740787	0.129928	0.0777413	0.0386372	0.0473573	0.026003	0.00582081	0.108133	0.0684215	0.270078	3.911827
2	-19144.6	-19150.6	5.993409	0.142888	0.476506	0.00884954	0.0281413	0.0362645	0.0127517	0.208634	0.0923192	0.0427678	0.0768274	0.0681657	0.0363046	0.0277973	0.0947884	0.00955109	0.0219066	0.165615	0.0910459	0.0757586	0.18299	0.0513777	0.16339	0.163633	0.0992612	0.120667	0.161248	0.0412314	0.117324	0.174712	0.000870249	0.00845031	0.0094856	0.0340614	0.0740787	0.129928	0.0777413	0.0386372	0.0473573	0.026003	0.0036049	0.108133	0.0684215	0.270078	3.889567
3	-18913.83	-18921.33	7.499157	0.129134	0.32308	0.0122441	0.0281413	0.0364629	0.0175203	0.208634	0.115928	0.0427678	0.114446	0.0681657	0.0412165	0.0277973	0.0947884	0.0145138	0.0238176	0.150925	0.0910459	0.0757586	0.18299	0.0513777	0.16339	0.163633	0.0685914	0.120667	0.154033	0.0412314	0.117324	0.174712	0.00123107	0.0126404	0.0113705	0.0215368	0.0740787	0.129928	0.05197	0.0813562	0.0473573	0.0412801	0.00551521	0.108133	0.0342534	0.264005	3.738992
4	-18708.51	-18717.11	8.608435	0.129134	0.218144	0.0122441	0.0281413	0.0364629	0.0210428	0.177479	0.126314	0.0427678	0.123095	0.0739841	0.0412165	0.0295256	0.0947884	0.0145138	0.0238176	0.150925	0.0976496	0.0757586	0.18299	0.1063	0.16339	0.163633	0.0526211	0.120667	0.154033	0.0412314	0.0871264	0.132536	0.00172707	0.00952125	0.0123792	0.0215368	0.0740787	0.129928	0.05197	0.0813562	0.0473573	0.0665097	0.00377643	0.108133	0.0342534	0.264005	3.628064
5	-18485.57	-18493.6	8.034142	0.129134	0.218144	0.0164871	0.0377425	0.0547404	0.0210428	0.177479	0.126314	0.0549596	0.159732	0.0789306	0.0412165	0.0295256	0.1379	0.0145138	0.0276817	0.150925	0.12384	0.0999644	0.18299	0.1063	0.16339	0.163633	0.0526211	0.120667	0.0825449	0.0380578	0.0841104	0.101057	0.00206231	0.00974368	0.0123792	0.0215368	0.0740787	0.171877	0.05197	0.0813562	0.0473573	0.0665097	0.00377643	0.108133	0.0342534	0.204815	3.685494
6	-18347.55	-18357.26	9.713231	0.129134	0.218144	0.0164871	0.0377425	0.0547404	0.0217571	0.177479	0.126314	0.0549596	0.159732	0.0687157	0.0412165	0.0378357	0.1379	0.0145138	0.0419759	0.150925	0.133848	0.116741	0.151736	0.0812137	0.129037	0.163633	0.0526211	0.120667	0.0825449	0.0336992	0.0544463	0.101057	0.00206231	0.0171494	0.0160519	0.0215368	0.0456552	0.165081	0.05197	0.0813562	0.0599585	0.0410181	0.00377643	0.0619367	0.0344	0.204815	3.517585
7	-18241.44	-18251.28	9.841292	0.129134	0.193916	0.0164871	0.0367556	0.0547404	0.0217571	0.209135	0.126314	0.0549596	0.159732	0.0812644	0.0412165	0.0879236	0.118947	0.0220904	0.0419759	0.150925	0.135581	0.116741	0.151736	0.0812137	0.128693	0.163633	0.0526211	0.120667	0.0508121	0.0336992	0.0516211	0.0712751	0.0026385	0.0171494	0.00857586	0.0215368	0.0456552	0.165081	0.05197	0.0813562	0.0569855	0.0410181	0.00609351	0.0619367	0.0344	0.204815	3.504779
8	-18132.47	-18142.18	9.709325	0.13082	0.19248	0.027068	0.0490679	0.0547404	0.0217571	0.209135	0.163856	0.0549596	0.159732	0.0812644	0.0412165	0.100733	0.118947	0.0220904	0.0419759	0.150925	0.130523	0.13764	0.151736	0.101972	0.125367	0.163633	0.0526211	0.106293	0.0368995	0.0274414	0.0516211	0.0485063	0.0026385	0.0150946	0.00614243	0.0205172	0.0456552	0.165081	0.05197	0.0744137	0.0569855	0.0410181	0.00609351	0.0449734	0.0275539	0.204815	3.517975
9	-18007.18	-18016.82	9.639874	0.146957	0.19248	0.027068	0.0551477	0.0547404	0.0217571	0.181014	0.163856	0.10677	0.159732	0.0812644	0.0533666	0.100733	0.118947	0.0283563	0.0419759	0.150224	0.130523	0.13764	0.160457	0.101972	0.125367	0.163633	0.0702231	0.0830571	0.02307	0.02532	0.037641	0.0293254	0.00369339	0.0150946	0.00537853	0.0129471	0.0456552	0.165081	0.0508341	0.0999244	0.0569855	0.0410181	0.00994722	0.0395415	0.0275539	0.178646	3.524921
10	-17859.68	-17867.3	7.618972	0.146957	0.19248	0.0392287	0.0551477	0.0835937	0.0381997	0.181014	0.171291	0.10677	0.159732	0.11063	0.117977	0.100733	0.118947	0.0283563	0.0419759	0.150224	0.130523	0.178808	0.160457	0.101972	0.125367	0.163633	0.0886615	0.0830571	0.0345924	0.02532	0.037641	0.0284177	0.00590162	0.0150946	0.00537853	0.0119796	0.0433052	0.165081	0.0425479	0.0999244	0.0569855	0.0291793	0.00994722	0.0337771	0.0275539	0.178646	3.727011
11	-17805.11	-17812.26	7.149709	0.146957	0.19248	0.0466015	0.0551477	0.0835937	0.0381997	0.181014	0.218011	0.133982	0.11241	0.139798	0.125763	0.100733	0.118947	0.0283563	0.0419759	0.150224	0.130523	0.178808	0.160457	0.101972	0.125367	0.163633	0.0886615	0.0830571	0.0544863	0.0208856	0.037641	0.0284177	0.00785077	0.0136006	0.010302	0.0119796	0.0433052	0.14123	0.0425479	0.0857911	0.0569855	0.0291793	0.00994722	0.0337771	0.0265971	0.172741	3.773937
12	-17708.35	-17714.51	6.163974	0.146957	0.19248	0.0671224	0.0551477	0.120175	0.0690481	0.181014	0.218011	0.133982	0.11241	0.105911	0.135361	0.100733	0.118947	0.0283563	0.0655801	0.146438	0.111679	0.178808	0.160457	0.101972	0.125367	0.213175	0.0886615	0.0830571	0.0444788	0.0208856	0.037641	0.0284177	0.00844547	0.0136006	0.010302	0.0119796	0.0433052	0.142127	0.0297984	0.0857911	0.0569855	0.0291793	0.0156068	0.0337771	0.0265971	0.172741	3.872511
13	-17637.38	-17643.28	5.898311	0.146957	0.19248	0.0772843	0.0565743	0.120175	0.0690481	0.181023	0.218011	0.125839	0.11241	0.116765	0.135361	0.100733	0.118947	0.0419372	0.0655801	0.146438	0.111679	0.178808	0.160457	0.101972	0.125367	0.213175	0.0886615	0.0899311	0.0444788	0.0127821	0.0504095	0.0284177	0.00844547	0.0142406	0.0152134	0.0119796	0.0251464	0.142127	0.0297984	0.0768855	0.0569855	0.0291793	0.0306108	0.0276693	0.0263526	0.172741	3.899077
14	-17591.5	-17598.64	7.140141	0.153077	0.19248	0.0772843	0.0565743	0.120175	0.0690481	0.161791	0.218011	0.125839	0.11241	0.116765	0.135361	0.100733	0.118947	0.0444382	0.0655801	0.12078	0.111679	0.178808	0.150759	0.0883525	0.125367	0.213175	0.0886615	0.0899311	0.0444788	0.00955265	0.0504095	0.0220703	0.0107359	0.0134971	0.0105685	0.010358	0.0211514	0.11812	0.0294808	0.0768855	0.0353974	0.0265624	0.0377639	0.0227408	0.0263526	0.172741	3.774894
15	-17554.4	-17559.77	5.369774	0.153077	0.19248	0.10299	0.0693781	0.164507	0.0690481	0.161791	0.218011	0.149295	0.11241	0.116765	0.132787	0.12555	0.142713	0.0444382	0.0901507	0.12078	0.111679	0.178808	0.150759	0.0883525	0.125367	0.213175	0.0886615	0.108655	0.0444788	0.00955265	0.0504095	0.0220703	0.0107359	0.00955435	0.00915066	0.00400864	0.0211514	0.133697	0.0294808	0.0544772	0.0353974	0.0251209	0.0377639	0.0241617	0.0263526	0.172741	3.951931
16	-17481.92	-17487.78	5.858305	0.153077	0.19248	0.10299	0.0693781	0.147339	0.0690481	0.161791	0.202806	0.149295	0.117391	0.116765	0.132787	0.12555	0.142713	0.0444382	0.114059	0.12078	0.111679	0.178808	0.150759	0.110437	0.147528	0.213175	0.0886615	0.0730607	0.0444788	0.0126566	0.0504095	0.0245362	0.00989209	0.0119867	0.00915066	0.00296203	0.0313983	0.133697	0.0294808	0.0544772	0.0370945	0.0265379	0.0377639	0.0241617	0.0263526	0.0992476	3.903077
17	-17441.14	-17446.66	5.520578	0.142926	0.19248	0.165731	0.0693781	0.140805	0.0606317	0.161791	0.202806	0.149295	0.117391	0.116765	0.132787	0.0806205	0.142713	0.0444382	0.181405	0.116465	0.146731	0.178808	0.150759	0.110437	0.147528	0.213175	0.0886615	0.0730607	0.0454357	0.0126566	0.0311222	0.0189939	0.00989209	0.0119867	0.00915066	0.00461458	0.0307891	0.133697	0.0294808	0.0544772	0.0370945	0.0256419	0.0377639	0.0266775	0.0275519	0.0622361	3.93685
