Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19511.31	-19511.36	0.05257971	0.0109874	0.0551455	0.00654157	0.118524	0.154254	0.0578455	0.150162	0.0728915	0.0628531	0.0208141	0.257052	0.0775827	0.0819239	0.04638	0.0986872	0.122474	0.0243445	0.226126	0.160324	0.123782	0.369864	0.0732937	0.0231374	0.0385046	0.147758	0.0881878	0.127024	0.0895278	0.148617	0.0387836	0.0648847	0.0762317	0.0105232	0.108144	0.0825567	0.0269721	0.459043	0.00349746	0.0540173	0.367832	0.0514476	0.0658798	0.0392274	4.48365
1	-19000.18	-19003.62	3.441217	0.0109874	0.0551455	0.00744953	0.153626	0.154254	0.0578455	0.221413	0.0728915	0.0628531	0.028673	0.232938	0.0775827	0.0819239	0.04638	0.0986872	0.122474	0.0243445	0.226126	0.160324	0.128351	0.168992	0.0732937	0.0231374	0.0500361	0.147758	0.0543365	0.0892613	0.0895278	0.148617	0.0201411	0.0648847	0.0762317	0.0105232	0.108144	0.0825567	0.0269721	0.303432	0.00349746	0.0540173	0.367832	0.0514476	0.0658798	0.0399966	4.144786
2	-18595.27	-18598.26	2.99355	0.0126935	0.0551455	0.011803	0.215206	0.154254	0.0598013	0.224355	0.0728915	0.0628531	0.028673	0.178709	0.0775827	0.0893886	0.0800027	0.0986872	0.122474	0.0243625	0.178978	0.160324	0.128351	0.205721	0.0683286	0.0231374	0.119112	0.147758	0.0398531	0.0608323	0.0895278	0.148617	0.0201411	0.0615456	0.080838	0.0137778	0.108144	0.0532129	0.0459446	0.303432	0.00349746	0.0540173	0.367832	0.0318723	0.0658798	0.0399966	4.189553
3	-18289.71	-18292.85	3.144979	0.0126935	0.0551455	0.011803	0.215206	0.154254	0.0598013	0.224355	0.0733785	0.069045	0.028673	0.178709	0.0832361	0.0893886	0.11559	0.134613	0.122474	0.0241279	0.175624	0.160324	0.128351	0.205721	0.0862719	0.0231374	0.0911784	0.160505	0.0394005	0.0487659	0.0895278	0.148617	0.0207991	0.0410897	0.080838	0.0137778	0.108144	0.0532129	0.0442793	0.216405	0.00507537	0.0521139	0.367832	0.0318723	0.0540373	0.0750183	4.17441
4	-18034.91	-18041.17	6.261697	0.0146932	0.0892149	0.0159003	0.215206	0.150465	0.0670913	0.224355	0.0733785	0.069045	0.028673	0.122188	0.0832361	0.0893886	0.10141	0.103589	0.122474	0.0252937	0.175624	0.160324	0.128351	0.205721	0.0862719	0.0231374	0.0911784	0.160505	0.0467709	0.0487659	0.0529905	0.105152	0.0207991	0.0381413	0.080838	0.0137778	0.0721377	0.0767006	0.0442793	0.181482	0.00507537	0.0521139	0.268211	0.0318723	0.0218981	0.0750183	3.862738
5	-17796.08	-17805.31	9.226895	0.0146932	0.0892149	0.0211653	0.17719	0.150465	0.0670913	0.224355	0.0733785	0.069045	0.0357161	0.10048	0.0832361	0.0893886	0.10141	0.103589	0.122474	0.0253172	0.175624	0.160324	0.128351	0.126509	0.0862719	0.0231374	0.0911784	0.119799	0.0467709	0.0487659	0.0579099	0.105152	0.0207991	0.0296289	0.0532782	0.0137778	0.0721377	0.0778806	0.0442793	0.181482	0.00507537	0.0521139	0.166934	0.0318723	0.0239395	0.0750183	3.566218
6	-17682.68	-17691.72	9.036969	0.0146932	0.116676	0.0211653	0.206269	0.137207	0.0670913	0.224355	0.0733785	0.069045	0.036203	0.108326	0.0832361	0.0893886	0.10141	0.141376	0.117498	0.0250863	0.175624	0.160324	0.128351	0.126509	0.0742952	0.0296939	0.0911784	0.119799	0.0415644	0.0487659	0.0579099	0.0875315	0.0120443	0.0337526	0.0532782	0.0137778	0.06229	0.0778806	0.0442793	0.181482	0.00747896	0.0521139	0.142054	0.0318723	0.0239395	0.0750183	3.585211
7	-17534.5	-17544.8	10.29809	0.0158877	0.116676	0.0314497	0.206269	0.137207	0.0670913	0.224355	0.0733785	0.069045	0.036203	0.108326	0.114262	0.0893886	0.104849	0.141376	0.126525	0.0344127	0.175624	0.141725	0.128351	0.08036	0.0713609	0.0296939	0.0784658	0.119799	0.0415644	0.0313732	0.0275416	0.0624749	0.0108386	0.0337526	0.0382813	0.0137778	0.0473353	0.0778806	0.0442793	0.181482	0.00747896	0.0521139	0.142054	0.0258326	0.0239395	0.0750183	3.459099
8	-17349.38	-17359.73	10.34556	0.0158877	0.146169	0.0314497	0.167877	0.137207	0.0900907	0.224355	0.0733785	0.110284	0.0514013	0.109044	0.114262	0.128551	0.104447	0.141376	0.126525	0.0344127	0.175624	0.132359	0.099306	0.08036	0.0713609	0.0296939	0.0784658	0.0894962	0.0590251	0.0313732	0.0275416	0.036257	0.0108386	0.0337526	0.0381272	0.0204242	0.0473353	0.0695242	0.0395472	0.136097	0.00747896	0.061382	0.142054	0.0258326	0.0293587	0.0750183	3.454352
9	-17216.88	-17229.29	12.41121	0.0194538	0.146169	0.0314497	0.154327	0.118632	0.109141	0.195506	0.0912974	0.110284	0.0514013	0.0692903	0.114262	0.0989703	0.123137	0.141376	0.126525	0.0344127	0.130759	0.115497	0.099306	0.08036	0.0702493	0.034654	0.0784658	0.0798981	0.0590251	0.0316568	0.0275416	0.036257	0.0108386	0.0337526	0.0381272	0.0204242	0.0314344	0.0695242	0.0395472	0.117928	0.00747896	0.061382	0.103074	0.0258326	0.0295654	0.0795743	3.247787
