Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	TL
0	-36921.36	-36979.05	57.69015	0.0605248	0.000612757	0.219633	0.00365009	0.225772	0.259954	0.145694	0.127072	0.398993	0.220765	0.0791409	0.0547403	0.104855	0.0673389	0.059771	0.149664	0.00540099	0.142706	0.149953	0.00506822	0.139653	0.075262	0.234365	0.0625409	0.031365	0.0634012	0.00286553	0.104101	0.0928111	0.0281986	0.0452291	0.111393	0.152167	0.0456937	0.012839	0.224981	0.0309286	0.0206858	0.0105525	0.00940038	0.135764	0.187574	0.0441543	0.459792	0.00460378	0.122317	0.0242471	0.325196	5.283393
10	-32369.74	-32441.07	71.3262	0.1932	0.0677118	0.0404869	0.0330245	0.1607	0.163322	0.0514661	0.0603567	0.0293356	0.0420973	0.130317	0.0660567	0.0742275	0.113174	0.00714832	0.00824084	0.0847853	0.209089	0.0702913	0.0456873	0.116907	0.10741	0.0414827	0.0299192	0.290844	0.213566	0.0135711	0.146771	0.0659411	0.227011	0.102756	0.0772182	0.0956659	0.0810402	0.0581833	0.000285108	0.0194401	0.00611593	0.133531	0.0321711	0.128171	0.0521946	0.0371298	0.0462867	0.0922693	0.00483743	0.0463891	0.0019609	3.919788
20	-32335.91	-32406.74	70.82467	0.18553	0.0705763	0.032072	0.0433599	0.146077	0.184799	0.0653395	0.0660228	0.0233014	0.0417173	0.122665	0.0805893	0.0854287	0.117482	0.00633794	0.016105	0.0920635	0.218923	0.060209	0.0487345	0.103963	0.111293	0.0330178	0.028242	0.296156	0.213916	0.0278895	0.173767	0.0446897	0.23513	0.0555632	0.0760207	0.100201	0.0851634	0.0618661	5.1729e-05	0.0212579	0.00539299	0.111016	0.0293268	0.126639	0.0507755	0.0448384	0.0800362	0.0762868	0.00265752	0.0585519	0.00889973	3.969942
30	-32338.34	-32409.79	71.44856	0.196996	0.0766273	0.0369149	0.0361857	0.1267	0.148734	0.0626532	0.0507605	0.027035	0.0453223	0.1366	0.0689095	0.0733489	0.0983778	0.00913862	0.0153402	0.0934356	0.229252	0.0517035	0.0652178	0.106084	0.127559	0.033546	0.0283105	0.30544	0.185763	0.0378533	0.165698	0.0577597	0.197459	0.0405	0.0957385	0.0949068	0.0860215	0.065172	0.00476218	0.0128665	0.0106275	0.119243	0.031498	0.12719	0.0458468	0.047963	0.0659921	0.0860154	0.00049735	0.0415084	0.0364775	3.907553
40	-32337.98	-32409.54	71.55728	0.179788	0.0717868	0.0315615	0.0382519	0.135942	0.156293	0.054262	0.0615923	0.0267623	0.0384525	0.147175	0.0771089	0.0902316	0.0993894	0.00909215	0.0106782	0.10152	0.210736	0.0528701	0.0506655	0.0878286	0.132334	0.0342185	0.0328532	0.311188	0.187061	0.0197758	0.150624	0.0506346	0.252788	0.0513685	0.078828	0.0854536	0.08673	0.0692685	0.000905283	0.0182207	0.00715862	0.12598	0.0399171	0.114366	0.0491441	0.0440872	0.0801322	0.0752989	0.00300162	0.06098	0.00237469	3.896681
50	-32332.49	-32403.71	71.22276	0.192628	0.0792944	0.041434	0.0389797	0.151373	0.163073	0.0631747	0.0580917	0.0259676	0.0453518	0.140843	0.0605103	0.0744655	0.0858286	0.00814313	0.0134221	0.0950765	0.219948	0.0456075	0.0553821	0.114381	0.124636	0.0342986	0.0282856	0.313479	0.220386	0.0197699	0.154784	0.049958	0.22032	0.0228749	0.0866303	0.0890804	0.0987122	0.0709096	0.00532845	0.0141999	0.00338643	0.113642	0.0332093	0.126434	0.0482972	0.0480983	0.0769556	0.0666385	0.00850821	0.0452949	0.0330412	3.930132
60	-32335.08	-32406.75	71.66362	0.182713	0.0853564	0.0339136	0.0312584	0.13654	0.155835	0.0561588	0.0778048	0.0338785	0.0405843	0.140277	0.0739112	0.0689953	0.0992046	0.00592488	0.0141959	0.0933152	0.220936	0.0506408	0.0486593	0.105484	0.123078	0.036775	0.0299718	0.29875	0.191769	0.0286106	0.157707	0.0460653	0.244919	0.0217815	0.0807087	0.0934853	0.0780019	0.0710463	0.0025822	0.01036	0.00774012	0.113119	0.0259834	0.117894	0.0415577	0.040767	0.0912106	0.0766817	0.00321327	0.0520059	0.0446767	3.886047
70	-32337.21	-32408.27	71.06762	0.19502	0.0727564	0.0426157	0.0388026	0.150668	0.181137	0.0568627	0.0653267	0.0357349	0.0351386	0.139232	0.0758133	0.0704119	0.102657	0.00943963	0.00983794	0.0918609	0.20726	0.0620378	0.0573651	0.104101	0.124993	0.0299741	0.0249973	0.335609	0.229986	0.0280063	0.169453	0.0417059	0.211618	0.0506581	0.0862858	0.0919649	0.0861928	0.0623545	0.00154204	0.0097702	0.00827315	0.114577	0.0249919	0.128669	0.0390402	0.0471169	0.0766504	0.0678893	0.000609682	0.0423337	0.00630547	3.945646
80	-32336.34	-32407.57	71.22807	0.172542	0.0796616	0.0349234	0.0428307	0.14735	0.15094	0.0555818	0.0618799	0.0265103	0.0462524	0.157092	0.0697884	0.0722612	0.103748	0.00820395	0.0104558	0.0976192	0.209028	0.0601043	0.0571834	0.109781	0.131126	0.0386867	0.0357901	0.308716	0.190925	0.0235719	0.157317	0.0638246	0.209266	0.0424658	0.0816203	0.106836	0.0947454	0.0618479	0.00388837	0.0115627	0.012324	0.118699	0.0390902	0.124994	0.0455246	0.0334534	0.0771054	0.0698584	0.000563461	0.0526315	0.019428	3.929602
90	-32339.22	-32410.63	71.41198	0.174268	0.0596627	0.033739	0.0352676	0.158198	0.168446	0.0595353	0.0673132	0.0245984	0.0442865	0.134588	0.0701886	0.0679361	0.0917338	0.00652402	0.0154292	0.103093	0.217094	0.0591694	0.0573266	0.102252	0.127686	0.0280486	0.0286167	0.303147	0.194201	0.035344	0.14559	0.0700262	0.234192	0.0619356	0.0874328	0.0755302	0.0999848	0.0699858	0.000928715	0.0152976	0.0137865	0.11105	0.0279568	0.123545	0.0525064	0.0439326	0.0835024	0.0760674	0.00215784	0.0477595	0.000350947	3.911211
