Iteration	Replicate_ID	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-4270.379	-4285.451	15.07135	0.0981102	0.169512	0.274953	0.180712	0.151279	0.148011	0.0854968	0.138451	0.0786096	0.0445549	0.0152954	0.0192271	0.0548198	0.196189	0.243984	0.138616	0.0581579	0.325694	0.0373581	0.268168	0.277408	0.165456	0.288969	1.459032
1	0	-4278.749	-4294.749	16.0005	0.0864492	0.187886	0.184339	0.208975	0.106678	0.126367	0.124482	0.112644	0.0574033	0.0797548	0.0425331	0.00162988	0.0469765	0.222625	0.23376	0.132097	0.040084	0.343621	0.0278134	0.277092	0.265614	0.180611	0.276683	1.366117
2	0	-4275.806	-4291.179	15.37309	0.118839	0.187459	0.170191	0.192352	0.157792	0.11662	0.0800526	0.131539	0.0599254	0.0954701	0.0425331	0.00403983	0.0720442	0.21408	0.226008	0.151438	0.0406841	0.322302	0.0454873	0.273833	0.290684	0.17135	0.264133	1.428858
3	0	-4275.887	-4290.792	14.90516	0.145843	0.190325	0.214564	0.187447	0.132178	0.139954	0.10611	0.127305	0.0695785	0.0583035	0.0493344	0.007545	0.0471642	0.204663	0.248476	0.130315	0.0794416	0.317505	0.0195996	0.304349	0.253883	0.171945	0.269824	1.475651
4	0	-4277.098	-4292.193	15.0956	0.0937007	0.180681	0.267563	0.243125	0.148545	0.126925	0.0840658	0.128592	0.030988	0.0499564	0.0278565	0.012607	0.0620013	0.187925	0.244554	0.153076	0.0593059	0.328559	0.0265812	0.280304	0.257156	0.18001	0.28253	1.456607
5	0	-4270.205	-4285.107	14.90263	0.112052	0.186792	0.251621	0.228984	0.139093	0.111459	0.107652	0.109535	0.0595282	0.049369	0.0229077	0.0263141	0.070599	0.21042	0.20893	0.145522	0.0613223	0.323983	0.0498231	0.29326	0.271523	0.160142	0.275076	1.475904
6	0	-4277.708	-4292.036	14.32783	0.122929	0.203676	0.290678	0.189338	0.1544	0.111776	0.130673	0.135846	0.0709892	0.047063	0.00948606	0.015468	0.0510628	0.181354	0.25194	0.137173	0.0586027	0.334329	0.0366015	0.296819	0.274119	0.162009	0.267053	1.533385
7	0	-4277.209	-4291.891	14.68165	0.113211	0.215316	0.270622	0.193433	0.16046	0.122217	0.113783	0.14775	0.0489416	0.0183757	0.0174421	0.0431198	0.0333298	0.204745	0.228869	0.138011	0.0576836	0.319012	0.0516794	0.26666	0.277702	0.153047	0.30259	1.498002
8	0	-4277.309	-4292	14.69089	0.132116	0.204494	0.252529	0.183752	0.149599	0.0888024	0.09352	0.118779	0.0782384	0.0477812	0.0048324	0.0780848	0.0645495	0.182952	0.251695	0.147344	0.089048	0.299473	0.0294872	0.296707	0.268237	0.148769	0.286286	1.497078
9	0	-4271.117	-4285.658	14.54153	0.120047	0.201357	0.26515	0.213349	0.129061	0.114872	0.0742534	0.143579	0.0517139	0.0354218	0.0337228	0.0754024	0.0540842	0.223973	0.233223	0.137398	0.0621812	0.322442	0.0207834	0.267507	0.275527	0.170807	0.286159	1.512014
10	0	-4270.788	-4286.328	15.53943	0.101141	0.201357	0.215274	0.199705	0.11369	0.107335	0.0920338	0.114142	0.0896879	0.0463277	0.050264	0.0338095	0.0474563	0.182277	0.243969	0.159824	0.0402422	0.343994	0.0296938	0.291582	0.274286	0.174781	0.259351	1.412224
11	0	-4271.071	-4286.524	15.45303	0.0978836	0.199802	0.211526	0.231778	0.140121	0.100404	0.0912788	0.127946	0.0619604	0.0357449	0.0318048	0.0535924	0.0370223	0.181053	0.244738	0.170094	0.0383396	0.321648	0.0441269	0.26101	0.272725	0.182435	0.283829	1.420865
12	0	-4278.336	-4292.926	14.58957	0.109757	0.139609	0.213889	0.244289	0.133518	0.156488	0.0964907	0.150837	0.0982596	0.0323801	0.0222237	0.0535924	0.0558775	0.241933	0.243335	0.109354	0.0499746	0.31741	0.0379927	0.270753	0.254642	0.16955	0.305056	1.50721
13	0	-4268.489	-4283.916	15.42755	0.112747	0.214291	0.205789	0.190547	0.145876	0.103377	0.104962	0.125552	0.0519367	0.0123881	0.0453615	0.0478087	0.0627764	0.182739	0.269567	0.125356	0.0495532	0.333697	0.0390872	0.270101	0.285216	0.164849	0.279834	1.423412
14	0	-4268.707	-4283.695	14.98764	0.1006	0.192974	0.240454	0.220654	0.138064	0.111986	0.0822336	0.105102	0.0830506	0.043103	0.0359492	0.0529085	0.0603249	0.204296	0.271704	0.13504	0.0377919	0.318038	0.0331302	0.28032	0.286144	0.151871	0.281664	1.467403
15	0	-4269.825	-4284.771	14.94607	0.123224	0.200502	0.208713	0.223463	0.142026	0.123407	0.0882822	0.0986199	0.0730637	0.0292484	0.0208476	0.0623725	0.0777913	0.191061	0.25125	0.122632	0.0584112	0.331201	0.0454452	0.26654	0.266313	0.169149	0.297997	1.47156
16	0	-4272.132	-4288.428	16.29592	0.086171	0.200502	0.188705	0.16031	0.145423	0.102627	0.0776903	0.143827	0.0520227	0.0318383	0.0304298	0.0504148	0.0666141	0.223757	0.269725	0.115531	0.0328291	0.32756	0.0305972	0.26161	0.268065	0.176761	0.293563	1.336575
17	0	-4276.518	-4291.602	15.08375	0.118308	0.218841	0.24484	0.195867	0.139677	0.143747	0.088427	0.109497	0.0711352	0.0282088	0.021405	0.033718	0.0441217	0.187077	0.241324	0.131506	0.0652414	0.326067	0.0487835	0.268135	0.246002	0.180971	0.304892	1.457793
18	0	-4271.526	-4287.205	15.67998	0.115179	0.167943	0.251234	0.216783	0.119816	0.112341	0.0783907	0.0954232	0.0963096	0.0259246	0.0215219	0.0463046	0.0509985	0.202975	0.248796	0.126457	0.0533214	0.338526	0.0299244	0.296555	0.267904	0.160876	0.274666	1.39817
19	0	-4272.573	-4287.962	15.38872	0.0893027	0.200749	0.188617	0.202938	0.167462	0.0932103	0.0924976	0.12221	0.0903034	0.0653972	0.0210597	0.029616	0.0639328	0.189563	0.239621	0.148393	0.0441821	0.346065	0.0321756	0.28743	0.284663	0.176404	0.251503	1.427295
20	0	-4275.76	-4290.917	15.15611	0.115688	0.186867	0.221759	0.203344	0.170817	0.093733	0.0952843	0.110639	0.0818261	0.0515951	0.0237716	0.0450907	0.0501408	0.165051	0.22524	0.14216	0.0707553	0.359684	0.0371091	0.299512	0.243702	0.183879	0.272907	1.450556
21	0	-4272.456	-4287.71	15.25355	0.122156	0.21303	0.204577	0.201571	0.165076	0.114604	0.117341	0.0946323	0.0581757	0.0480644	0.0142876	0.0400328	0.0472646	0.198383	0.238165	0.145309	0.0537324	0.329218	0.0351921	0.279439	0.264313	0.180414	0.275834	1.440813
22	0	-4270.869	-4286.416	15.54644	0.106088	0.154894	0.224955	0.173766	0.143518	0.107731	0.110821	0.107619	0.0679077	0.0713279	0.0180104	0.0349856	0.0899002	0.192321	0.230888	0.137123	0.0407977	0.357166	0.0417046	0.283626	0.258324	0.17844	0.279611	1.411523
23	0	-4271.57	-4287.01	15.43978	0.105671	0.187121	0.224933	0.196133	0.114057	0.132354	0.0898011	0.12163	0.0758199	0.0494848	0.0369917	0.0160309	0.0721621	0.206443	0.2444	0.115135	0.0554345	0.33382	0.0447669	0.278442	0.262752	0.167237	0.291568	1.422189
