Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4080.176	-4079.587	-0.5894658	0.4034919	0.162128	0.411382	0.476942	0.495386	0.250414	0.227703	0.134174	0.198967	0.0899083	0.135003	0.162839	0.0183879	0.0316219	0.325819	0.309551	0.135851	0.228779	0.0826675	0.249798	0.118455	0.0322557	0.453812	0.0630127	0.0172214	0.18436	0.735032	3.06339	2.794855
10	-4080.619	-4081.576	0.9569285	0.3370259	0.156443	0.505183	0.465627	0.334226	0.156456	0.125559	0.171154	0.21806	0.0732415	0.0951512	0.189761	0.0470583	0.102296	0.32864	0.312231	0.127271	0.231859	0.0855002	0.258357	0.122514	0.033361	0.469362	0.0309054	0.00877347	0.133439	0.653052	3.20473	2.640216
20	-4078.173	-4079.379	1.206255	0.3474987	0.172164	0.414429	0.45652	0.34411	0.235691	0.180034	0.13351	0.163537	0.0974505	0.187608	0.140267	0.0166647	0.073298	0.330544	0.293508	0.140891	0.235057	0.118464	0.197055	0.113374	0.0347636	0.499142	0.0372008	0.00992496	0.141609	0.667595	3.18087	2.615283
30	-4083.858	-4080.848	-3.010202	0.342139	0.120225	0.597674	0.493195	0.448201	0.244608	0.194354	0.125128	0.240987	0.191477	0.158677	0.164168	0.0208801	0.0373538	0.352144	0.278397	0.141368	0.22809	0.111548	0.212299	0.0669766	0.0374528	0.537754	0.0339701	0.0093267	0.137432	0.660237	3.193	3.036929
40	-4080.032	-4080.78	0.7481849	0.3507605	0.169701	0.489273	0.397753	0.379795	0.254341	0.185494	0.170978	0.213117	0.104643	0.0846828	0.122205	0.0523321	0.0367752	0.320219	0.290742	0.140756	0.248283	0.0994421	0.189259	0.0681976	0.0333883	0.557261	0.052452	0.0102981	0.144146	0.671988	3.17357	2.66109
50	-4084.295	-4080.935	-3.360124	0.300405	0.206555	0.529225	0.432339	0.387753	0.28086	0.20744	0.182146	0.313132	0.110196	0.142078	0.12035	0.0517102	0.108137	0.341767	0.279119	0.138932	0.240182	0.0853236	0.185821	0.0669587	0.064409	0.547137	0.0503505	0.00532822	0.10481	0.596482	3.29338	3.071921
60	-4087.812	-4082.035	-5.777408	0.3708301	0.206555	0.700755	0.427049	0.448435	0.162186	0.23082	0.160868	0.311066	0.110196	0.155348	0.252117	0.0716816	0.0765732	0.341682	0.284854	0.138897	0.234567	0.0824222	0.189331	0.0796356	0.0398391	0.557471	0.0513015	0.0127409	0.159654	0.697682	3.12992	3.31365
70	-4088.874	-4084.2	-4.674683	0.3067873	0.157422	0.607326	0.540432	0.483488	0.20792	0.217935	0.171141	0.280967	0.0960261	0.0137168	0.239973	0.0533508	0.133678	0.341682	0.284854	0.138897	0.234567	0.142151	0.185696	0.0497915	0.0686528	0.546768	0.00694095	0.00586202	0.109785	0.607027	3.27733	3.203377
80	-4086.269	-4084.345	-1.924487	0.3482705	0.172542	0.420538	0.540078	0.387309	0.216026	0.159261	0.14976	0.281446	0.125861	0.0946932	0.187867	0.10792	0.0850566	0.341682	0.284854	0.138897	0.234567	0.12977	0.188548	0.0505562	0.0653701	0.558709	0.00704754	0.0100126	0.14221	0.66864	3.17914	2.928357
90	-4086.86	-4084.059	-2.800473	0.2805959	0.179728	0.634634	0.58102	0.389579	0.209346	0.213558	0.13477	0.220599	0.0664362	0.0514734	0.170096	0.0140878	0.150628	0.338117	0.292315	0.137448	0.23212	0.116518	0.201438	0.0723332	0.0415158	0.561868	0.00632786	0.00385359	0.0895127	0.56173	3.3449	3.015956
100	-4091.622	-4089.906	-1.715602	0.2934565	0.256706	0.613389	0.505399	0.421058	0.212133	0.183529	0.111346	0.252896	0.075713	0.0552681	0.107822	0.00180305	0.110406	0.338117	0.292315	0.137448	0.23212	0.104266	0.182562	0.0926619	0.0303533	0.584354	0.0058025	0.00477955	0.0994153	0.584648	3.31116	2.907469
110	-4089.672	-4085.434	-4.238768	0.2885366	0.216497	0.451357	0.600893	0.462562	0.236212	0.304374	0.163206	0.15061	0.0981574	0.168135	0.165212	0.00385183	0.138717	0.329123	0.279947	0.144681	0.246249	0.106062	0.185706	0.0715538	0.0308761	0.594419	0.0113828	0.00441159	0.0956123	0.576039	3.32394	3.159786
120	-4088.511	-4084.541	-3.969414	0.3034232	0.251717	0.444959	0.672416	0.462562	0.228803	0.23975	0.184418	0.229898	0.120264	0.0289293	0.136209	0.0118026	0.121122	0.333875	0.285844	0.14677	0.233511	0.117422	0.188771	0.0727346	0.0420756	0.567426	0.0115707	0.0055771	0.107161	0.601507	3.28576	3.13285
130	-4095.448	-4093.645	-1.802884	0.3732173	0.196059	0.461526	0.528489	0.562068	0.150366	0.247754	0.0944725	0.249757	0.115011	0.021497	0.200762	0.0601001	0.0283377	0.327115	0.279835	0.164267	0.228783	0.118203	0.217766	0.0687994	0.0422645	0.539619	0.0133479	0.0130478	0.161484	0.700592	3.12488	2.916197
