Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4083.953	-4086.589	2.635874	0.6629759	0.149335	0.437928	0.301528	0.300656	0.215492	0.159849	0.172381	0.189713	0.0135436	0.0494488	0.169167	0.14814	0.16514	0.087111	0.358593	0.0756992	0.0681021	0.335015	0.0754798	0.261356	0.342101	0.301333	0.113094	0.243471	0.0663043	0.345524	0.910336	2.67784	2.472321
10	-4082.577	-4086.438	3.860709	0.9396421	0.149335	0.41449	0.301528	0.311818	0.155908	0.198527	0.133046	0.190022	0.0182366	0.0683687	0.075388	0.16803	0.16514	0.0970151	0.297416	0.0799647	0.0788188	0.385227	0.0615583	0.3164232	0.327292	0.289322	0.107968	0.275418	0.124759	0.457826	0.989232	2.42818	2.349838
20	-4082.313	-4088.218	5.905084	1.052498	0.130065	0.29046	0.313404	0.276468	0.206088	0.255262	0.0996548	0.184284	0.0349084	0.0380336	0.119831	0.0949878	0.101954	0.124334	0.235813	0.104756	0.0857453	0.425384	0.023968	0.2807123	0.321378	0.312429	0.130207	0.235986	0.147308	0.491982	1.00818	2.35253	2.1454
30	-4082.08	-4082.039	-0.0407137	0.837073	0.195841	0.410754	0.476519	0.323176	0.195356	0.163127	0.135741	0.230381	0.0400925	0.0860696	0.130054	0.143805	0.209063	0.0766954	0.205429	0.0962857	0.105727	0.482103	0.0337601	0.3125307	0.365164	0.292272	0.113245	0.229319	0.103419	0.421642	0.966721	2.50822	2.73998
40	-4079.769	-4077.172	-2.597359	0.7809002	0.146809	0.489881	0.65322	0.384595	0.293819	0.236872	0.135741	0.227504	0.0956327	0.04822	0.0350563	0.0534586	0.194837	0.101233	0.237355	0.0991695	0.040789	0.468305	0.0531478	0.2489043	0.326837	0.299688	0.118952	0.254523	0.0914885	0.399329	0.951519	2.55766	2.995645
50	-4085.223	-4080.131	-5.092001	0.5911033	0.118017	0.742561	0.604192	0.383451	0.251361	0.199289	0.109208	0.305939	0.0967053	0.134865	0.0376243	0.0725384	0.189357	0.0888698	0.216686	0.0723091	0.0752614	0.508153	0.0387205	0.2745851	0.346221	0.299692	0.126007	0.228079	0.0512784	0.307291	0.876711	2.76472	3.245109
60	-4085.075	-4077.224	-7.850636	0.6214092	0.155719	0.568369	0.612624	0.404059	0.261688	0.277165	0.147155	0.374919	0.204697	0.147008	0.149374	0.0644357	0.15376	0.0735601	0.237126	0.0830544	0.0187967	0.522873	0.0645894	0.2545445	0.33244	0.302509	0.132834	0.232217	0.0575516	0.323965	0.89186	2.72662	3.520972
70	-4085.602	-4079.667	-5.935694	0.7318555	0.207081	0.634975	0.545567	0.336827	0.267813	0.23538	0.189433	0.262332	0.0553282	0.15571	0.070713	0.060844	0.307475	0.0776069	0.193858	0.0587856	0.0776548	0.528165	0.0639302	0.3407212	0.370746	0.279659	0.113735	0.235861	0.0810014	0.378181	0.936124	2.60469	3.329478
80	-4085.147	-4080.94	-4.20656	0.7411764	0.117829	0.699586	0.601506	0.329942	0.255721	0.233804	0.147415	0.292324	0.0556118	0.168712	0.0334143	0.0553486	0.165352	0.0850807	0.33572	0.079172	0.039144	0.441109	0.019774	0.3524411	0.315751	0.308617	0.12535	0.250282	0.0829964	0.382327	0.939221	2.59546	3.156565
90	-4079.936	-4079.531	-0.4042857	0.546225	0.131279	0.54154	0.492755	0.457524	0.194216	0.179782	0.122144	0.161378	0.0736318	0.114506	0.0763052	0.0311367	0.200139	0.0902308	0.24267	0.137198	0.0346737	0.465682	0.0295449	0.2166591	0.31609	0.30797	0.144612	0.231328	0.0422428	0.281026	0.851193	2.82554	2.776337
100	-4084.197	-4088.8	4.602488	0.6437476	0.18663	0.313605	0.377918	0.431162	0.169751	0.122119	0.128226	0.142004	0.00615866	0.10101	0.116342	0.0456864	0.135049	0.0816701	0.235501	0.136322	0.0313922	0.484802	0.0303131	0.22373	0.329464	0.286808	0.143354	0.240374	0.0622384	0.335734	0.902096	2.69993	2.27566
110	-4077.172	-4077.094	-0.07816624	0.6835535	0.175502	0.53815	0.427312	0.39229	0.242325	0.16179	0.117211	0.181688	0.0188629	0.124288	0.11131	0.0594937	0.193503	0.0875541	0.227852	0.131755	0.0237636	0.44645	0.0826252	0.2705902	0.323696	0.314161	0.129294	0.232849	0.0706793	0.355666	0.918618	2.65504	2.743725
120	-4084.595	-4083.689	-0.9056975	1.234146	0.129587	0.602525	0.365876	0.366264	0.208475	0.177036	0.207228	0.2215	0.0701353	0.119198	0.193599	0.0759359	0.0891196	0.0723328	0.177842	0.111002	0.0490678	0.530518	0.0592374	0.3891475	0.344297	0.293544	0.144932	0.217227	0.181186	0.537361	1.03008	2.25138	2.826478
130	-4092.262	-4093.34	1.078257	1.036734	0.140861	0.396345	0.392794	0.438023	0.261956	0.21456	0.174935	0.181031	0.0484089	0.119198	0.0589643	0.027425	0.173582	0.112564	0.196219	0.0755806	0.0937583	0.456938	0.0649399	0.2964685	0.320213	0.276884	0.13938	0.263523	0.144225	0.487521	1.00583	2.36242	2.628083
140	-4082.353	-4084.781	2.428076	1.053806	0.15122	0.44846	0.312941	0.344574	0.214278	0.158647	0.100192	0.244774	0.0489367	0.170864	0.110981	0.0756245	0.111609	0.139925	0.233254	0.0429332	0.0554946	0.469886	0.0585074	0.3355337	0.333079	0.294986	0.132733	0.239202	0.147563	0.492348	1.00837	2.35172	2.493101
150	-4084.012	-4079.656	-4.355889	0.4854297	0.211589	0.606494	0.581262	0.445999	0.223543	0.154889	0.158783	0.151004	0.057231	0.197559	0.138968	0.0562205	0.187957	0.102487	0.195894	0.0671725	0.0522552	0.55795	0.024241	0.2122354	0.342023	0.279939	0.148146	0.229891	0.03072	0.242298	0.80937	2.91761	3.171498
160	-4081.702	-4078.628	-3.074117	0.4794742	0.13288	0.578675	0.562007	0.371194	0.293497	0.210608	0.157652	0.302442	0.0126795	0.13989	0.0792995	0.0395262	0.16297	0.0968713	0.210932	0.0662265	0.0895666	0.528749	0.00765446	0.1870599	0.330537	0.291419	0.132116	0.245928	0.0296494	0.238305	0.804739	2.92731	3.04332
170	-4082.039	-4082.659	0.6201474	0.5471481	0.142313	0.529339	0.513585	0.28644	0.213948	0.172435	0.190494	0.24084	0.05935	0.100334	0.116923	0.0312593	0.0766336	0.0714102	0.247616	0.103265	0.077255	0.457454	0.0429998	0.1764742	0.326159	0.293635	0.130144	0.250062	0.0424249	0.281586	0.851759	2.82423	2.673894
180	-4082.565	-4078.534	-4.031376	0.371522	0.187204	0.587431	0.571284	0.347172	0.295307	0.303468	0.145321	0.229383	0.0610028	0.0765834	0.090576	0.0192109	0.225103	0.0679522	0.275992	0.0858146	0.0414515	0.477293	0.0514959	0.1035904	0.341425	0.302376	0.129086	0.227113	0.0128295	0.160185	0.698529	3.12846	3.139046
190	-4084.527	-4078.292	-6.235183	0.4699763	0.179368	0.62193	0.599198	0.374759	0.282588	0.22097	0.227209	0.340655	0.0562025	0.125493	0.0520434	0.00169579	0.277316	0.0588896	0.273414	0.110294	0.072708	0.45207	0.032625	0.1658546	0.327747	0.317918	0.113565	0.240771	0.0279672	0.231864	0.79713	2.94304	3.359427
200	-4086.516	-4081.663	-4.853216	0.3437198	0.176873	0.506212	0.510464	0.324177	0.233432	0.282456	0.17298	0.270929	0.169953	0.191974	0.099133	0.00533349	0.277316	0.0709866	0.281295	0.0695769	0.0627662	0.454973	0.0604025	0.08535734	0.343106	0.283332	0.122985	0.250577	0.00950122	0.138665	0.662425	3.18941	3.22123
210	-4084.078	-4081.097	-2.98107	0.4940069	0.137237	0.549882	0.471698	0.408503	0.197626	0.202221	0.150163	0.257175	0.0555357	0.126036	0.207706	0.0576162	0.212618	0.0605612	0.299359	0.0996743	0.0418295	0.451365	0.0472108	0.1677484	0.340017	0.321578	0.127357	0.211049	0.0322824	0.247985	0.815858	2.90387	3.034016
220	-4078.14	-4078.724	0.5840075	1.098391	0.193999	0.408396	0.479518	0.362504	0.197626	0.195165	0.121245	0.272607	0.036075	0.127317	0.015871	0.0840341	0.183152	0.104019	0.1987	0.0880888	0.0278678	0.527473	0.0538515	0.3414023	0.337519	0.306075	0.13599	0.220416	0.156157	0.504452	1.01457	2.32483	2.677508
230	-4079.824	-4082.603	2.77887	1.138339	0.146257	0.383293	0.449792	0.382994	0.259957	0.14652	0.12789	0.193535	0.0475337	0.0786825	0.00241444	0.0560016	0.183152	0.0877548	0.187386	0.0830731	0.0443486	0.537714	0.0597239	0.3556346	0.341929	0.281935	0.148101	0.228034	0.163701	0.514719	1.01961	2.30197	2.458022
240	-4097.557	-4088.257	-9.300344	0.7444946	0.177529	0.734683	0.803249	0.500012	0.350165	0.188171	0.125307	0.273199	0.0347385	0.0976866	0.0275976	0.102223	0.251382	0.0980155	0.225279	0.0794006	0.0161385	0.513943	0.0672235	0.3716524	0.366231	0.270979	0.15662	0.20617	0.0837065	0.383789	0.940303	2.5922	3.665943
250	-4079.293	-4076.814	-2.478896	0.825279	0.182333	0.48902	0.540033	0.461488	0.329063	0.175085	0.140607	0.205237	0.0117099	0.0727398	0.132346	0.0480679	0.196068	0.103639	0.240364	0.092592	0.0260362	0.490421	0.0469479	0.3326463	0.3339	0.280469	0.136863	0.248768	0.100925	0.417116	0.963721	2.51824	2.983798
260	-4082.099	-4083.375	1.275733	1.411694	0.141952	0.414635	0.325888	0.440611	0.248222	0.156646	0.12864	0.1644	0.0302353	0.0438582	0.132346	0.127932	0.252968	0.089341	0.246744	0.12218	0.010664	0.503438	0.0276329	0.3899117	0.333745	0.297511	0.129955	0.238788	0.211353	0.573166	1.04479	2.1707	2.608335
270	-4084.312	-4083.565	-0.7473161	0.9931178	0.132105	0.52413	0.367809	0.350164	0.30935	0.191233	0.0660918	0.240572	0.103479	0.054138	0.207182	0.135345	0.129042	0.114609	0.192289	0.0784927	0.0317424	0.51467	0.0681972	0.3745864	0.356401	0.269943	0.139478	0.234178	0.135579	0.474673	0.99885	2.3909	2.81064
280	-4079.657	-4080.023	0.3656385	1.058037	0.146032	0.482206	0.450521	0.357747	0.257181	0.114469	0.123394	0.333001	0.0204245	0.0741843	0.0701038	0.129063	0.141018	0.0951311	0.228395	0.0878708	0.065222	0.473635	0.0497458	0.2823732	0.319016	0.298621	0.132101	0.250262	0.148386	0.493527	1.00899	2.3491	2.699345
290	-4084.191	-4079.628	-4.56265	0.8591032	0.205382	0.652189	0.498694	0.416581	0.27329	0.167162	0.194089	0.229526	0.00384769	0.069385	0.104491	0.0936424	0.283894	0.0930251	0.235049	0.097011	0.0554476	0.470019	0.0494483	0.2933372	0.336955	0.318892	0.119469	0.224684	0.108059	0.429884	0.972076	2.48998	3.192174
300	-4086.027	-4083.361	-2.665895	1.073639	0.152516	0.379327	0.383729	0.374689	0.25502	0.218307	0.204588	0.326951	0.00802781	0.189463	0.155985	0.135838	0.218058	0.0970657	0.278487	0.0732463	0.0353639	0.456856	0.0589804	0.3613129	0.355959	0.291136	0.122707	0.230197	0.151408	0.497819	1.01121	2.33957	3.002498
310	-4079.771	-4080.38	0.6092243	1.233665	0.152516	0.501585	0.459938	0.388551	0.18859	0.204846	0.164497	0.20818	0.00778298	0.0684525	0.0858215	0.110578	0.133648	0.0929487	0.28933	0.106832	0.031248	0.435809	0.0438313	0.3589239	0.336042	0.304515	0.143536	0.215908	0.181101	0.537254	1.03003	2.25162	2.674986
320	-4080.729	-4081.165	0.4355619	1.006511	0.179181	0.423852	0.558238	0.347668	0.242801	0.187356	0.141041	0.216088	0.0368665	0.102059	0.0202042	0.0810557	0.155942	0.0876809	0.289057	0.0868567	0.0767957	0.435398	0.0242113	0.3269365	0.344275	0.28049	0.127519	0.247716	0.138251	0.4787	1.00107	2.38198	2.692353
330	-4081.253	-4082.852	1.599223	1.120669	0.150361	0.425695	0.393075	0.434891	0.23826	0.169514	0.102848	0.23248	0.0527807	0.0658012	0.0437817	0.0535583	0.212941	0.114005	0.277611	0.0914007	0.0632331	0.377216	0.0765349	0.3521971	0.307964	0.322546	0.122643	0.246847	0.160382	0.510242	1.01743	2.31194	2.575986
340	-4082.171	-4082.274	0.1037803	0.6150077	0.169477	0.462418	0.43427	0.397151	0.253574	0.148452	0.0895357	0.235371	0.0510106	0.0675096	0.036616	0.151239	0.228908	0.114668	0.286078	0.0697699	0.0600892	0.400381	0.0690136	0.24488	0.326223	0.316507	0.106407	0.250863	0.0562174	0.320512	0.888786	2.73448	2.725531
350	-4076.894	-4076.214	-0.6802181	0.9609539	0.162188	0.547325	0.502955	0.372617	0.169009	0.176495	0.153252	0.232554	0.0584714	0.11722	0.0303408	0.0675281	0.213976	0.105284	0.266458	0.0994787	0.0438354	0.448616	0.0363269	0.3004232	0.33014	0.290964	0.127867	0.251029	0.129099	0.464693	0.993216	2.41299	2.803931
360	-4080.339	-4081.73	1.390942	0.6387599	0.131777	0.509943	0.492451	0.357464	0.20932	0.215206	0.153908	0.218479	0.0374186	0.0656306	0.075111	0.0327288	0.0973771	0.124055	0.221885	0.126448	0.0201389	0.434485	0.0729887	0.2036506	0.309989	0.315561	0.127596	0.246854	0.0611881	0.333144	0.899874	2.70579	2.596815
370	-4074.789	-4075.777	0.9884184	0.650346	0.127249	0.451138	0.44727	0.396457	0.275391	0.197441	0.0965047	0.187428	0.0816535	0.0655377	0.111672	0.0421922	0.157133	0.0913456	0.217478	0.111721	0.0293004	0.507315	0.0428395	0.210718	0.347328	0.286816	0.135704	0.230152	0.0636308	0.339129	0.904981	2.69226	2.637067
380	-4082.392	-4080.305	-2.08737	0.7592268	0.0853636	0.467097	0.614253	0.425356	0.250896	0.213747	0.190242	0.176747	0.0991933	0.0906634	0.108494	0.0443463	0.178248	0.0947007	0.197786	0.0944307	0.0600195	0.508611	0.0444519	0.2877563	0.341297	0.28334	0.145636	0.229727	0.0868582	0.390185	0.944984	2.57797	2.944646
390	-4092.046	-4090.315	-1.731196	1.083846	0.114767	0.629768	0.283269	0.439813	0.187958	0.244087	0.117594	0.384114	0.115161	0.0931799	0.102698	0.0352868	0.161332	0.121853	0.227628	0.0732862	0.0546657	0.492596	0.0299713	0.3780513	0.332587	0.302044	0.121461	0.243908	0.153373	0.50058	1.01261	2.33343	2.909028
400	-4084.788	-4086.819	2.031824	1.234341	0.191815	0.337676	0.372152	0.376552	0.284538	0.202916	0.0980051	0.172781	0.115161	0.0319507	0.165366	0.0224803	0.161332	0.100631	0.244577	0.124812	0.0342895	0.47494	0.0207505	0.2976794	0.342048	0.308817	0.132926	0.216208	0.181221	0.537404	1.03009	2.25128	2.532726
410	-4081.199	-4082.704	1.504579	0.6428965	0.137931	0.354822	0.595684	0.331498	0.237118	0.181742	0.130544	0.132513	0.0665166	0.0682852	0.149812	0.0376524	0.161332	0.0892893	0.238897	0.130394	0.0241216	0.496179	0.0211184	0.2816002	0.337645	0.283445	0.135773	0.243137	0.062059	0.335294	0.901719	2.70093	2.585451
420	-4081.212	-4083.252	2.040472	0.9670132	0.131215	0.382775	0.480947	0.311797	0.205383	0.114485	0.130544	0.20251	0.00945293	0.0797577	0.146688	0.0473891	0.288919	0.0866861	0.237796	0.105613	0.0342322	0.501289	0.0343836	0.3494939	0.322024	0.327132	0.127572	0.223271	0.130326	0.466607	0.994312	2.40876	2.531862
430	-4079.277	-4079.731	0.4542836	1.249594	0.1643	0.614711	0.459634	0.373735	0.204925	0.180192	0.120614	0.234911	0.0393531	0.0477563	0.0743091	0.0640764	0.111963	0.0996197	0.315992	0.0923134	0.0638545	0.40043	0.0277896	0.3548423	0.314922	0.32216	0.121202	0.241716	0.183925	0.540773	1.03157	2.24373	2.69048
440	-4081.117	-4081.409	0.2919623	0.9926535	0.152819	0.44702	0.477648	0.377238	0.186217	0.163384	0.135517	0.178577	0.0412094	0.113233	0.156146	0.0607388	0.216963	0.0685743	0.311362	0.0981874	0.047231	0.396744	0.0779017	0.306269	0.315682	0.317463	0.129041	0.237815	0.135486	0.474532	0.998772	2.39121	2.706713
450	-4088.923	-4090.579	1.655973	1.413328	0.14091	0.453279	0.391671	0.323443	0.204554	0.1416	0.128804	0.185823	0.1536	0.0321014	0.133656	0.133046	0.147824	0.108988	0.321338	0.116441	0.0343766	0.40702	0.0118362	0.3133508	0.314549	0.320152	0.11488	0.250419	0.211618	0.573464	1.0449	2.17002	2.570311
460	-4082.255	-4082.94	0.6852009	1.015277	0.224985	0.41259	0.484201	0.365965	0.220208	0.191422	0.123428	0.260051	0.0153268	0.0580695	0.123923	0.0709166	0.116304	0.0788981	0.269592	0.0980704	0.0497532	0.491183	0.0125035	0.3271457	0.330156	0.293561	0.145374	0.230909	0.139992	0.481296	1.00249	2.37623	2.667389
470	-4087.698	-4076.601	-11.09642	0.537108	0.17179	0.634563	0.816054	0.451544	0.270666	0.203485	0.138475	0.409044	0.113411	0.10754	0.113006	0.0618466	0.354126	0.0630562	0.298119	0.0630424	0.0450793	0.441525	0.0891782	0.2234908	0.340673	0.303855	0.110603	0.244869	0.0404548	0.275452	0.845498	2.8386	3.84555
480	-4085.299	-4080.573	-4.725209	0.6837581	0.116394	0.622697	0.65394	0.430221	0.294376	0.179617	0.0879898	0.28331	0.113411	0.0930406	0.0744926	0.0943775	0.164564	0.0812627	0.263996	0.0539788	0.0676483	0.493304	0.0398096	0.3382916	0.314475	0.306547	0.126038	0.25294	0.0707229	0.355765	0.918698	2.65481	3.20843
490	-4076.565	-4077.599	1.033735	0.7309955	0.147487	0.441119	0.490166	0.399978	0.252975	0.160502	0.0727452	0.181342	0.0505503	0.0708568	0.155761	0.102125	0.106927	0.107234	0.271866	0.0871099	0.0390093	0.418957	0.075824	0.2692656	0.340722	0.306164	0.125576	0.227538	0.0808174	0.377795	0.935834	2.60555	2.632535
500	-4082.124	-4083.798	1.673509	1.184612	0.142723	0.385854	0.458155	0.34332	0.28929	0.185852	0.092021	0.237568	0.0508852	0.0931226	0.0532403	0.0878041	0.148723	0.0973486	0.294814	0.072139	0.0447567	0.40465	0.0862918	0.3028027	0.340681	0.28413	0.115671	0.259518	0.172253	0.525986	1.02493	2.27683	2.568558
510	-4085.313	-4082.428	-2.884911	0.8447078	0.162269	0.491271	0.439535	0.401992	0.298102	0.238198	0.10489	0.299805	0.196239	0.0392239	0.178016	0.0458353	0.129023	0.0812072	0.322648	0.0878871	0.0167008	0.405288	0.0862695	0.2823145	0.3143	0.298704	0.128318	0.258679	0.10503	0.42453	0.968613	2.50183	3.0244
520	-4080.831	-4074.965	-5.866713	0.5164863	0.198015	0.594974	0.614961	0.508653	0.208703	0.250644	0.18508	0.141059	0.133199	0.0990771	0.0730745	0.0111583	0.303983	0.0759882	0.242655	0.102164	0.0449989	0.489273	0.0449212	0.2237409	0.354898	0.303021	0.120051	0.22203	0.0364826	0.262542	0.831903	2.86907	3.32258
530	-4076.395	-4075.116	-1.278831	0.7169101	0.171164	0.496226	0.46779	0.443376	0.265376	0.182766	0.136137	0.23626	0.0464782	0.165456	0.0482627	0.00750526	0.196994	0.109355	0.291818	0.0667338	0.0353617	0.450809	0.0459225	0.2925512	0.327605	0.315794	0.117883	0.238718	0.0778033	0.371401	0.930977	2.61982	2.863792
540	-4080.253	-4079.391	-0.8626229	0.6634209	0.195112	0.41138	0.527601	0.361504	0.23848	0.147398	0.181724	0.185754	0.0412226	0.078398	0.0849288	0.069106	0.299561	0.0899772	0.250466	0.0843548	0.0482968	0.472771	0.0541345	0.2168741	0.329336	0.303399	0.128937	0.238329	0.0663987	0.345747	0.910521	2.67733	2.822171
550	-4085.828	-4077.168	-8.660175	0.5397262	0.191177	0.642073	0.703838	0.406757	0.269105	0.344616	0.178775	0.227586	0.190895	0.0232037	0.161974	0.0949117	0.167015	0.0630315	0.26535	0.0873519	0.0286922	0.459179	0.0963952	0.2269267	0.339981	0.309892	0.118672	0.231455	0.0409664	0.277061	0.847152	2.83482	3.601926
560	-4083.86	-4078.301	-5.558612	0.5822789	0.21011	0.568235	0.528986	0.525823	0.189852	0.214645	0.179209	0.227586	0.11831	0.0647564	0.161974	0.117825	0.184459	0.0536767	0.261177	0.125559	0.0413088	0.496385	0.0218933	0.2395457	0.304791	0.322002	0.131908	0.241299	0.0494748	0.302277	0.872002	2.77625	3.29177
570	-4082.441	-4078.525	-3.915509	0.6676365	0.185303	0.474462	0.58502	0.521885	0.280266	0.279867	0.146155	0.20215	0.124729	0.00477062	0.179438	0.0119662	0.131448	0.0757251	0.219307	0.108907	0.0345302	0.518876	0.0426551	0.2233147	0.331946	0.296492	0.144221	0.227342	0.0672934	0.347851	0.912259	2.6726	3.12746
580	-4088.46	-4082.643	-5.816633	0.4838869	0.174629	0.672778	0.466072	0.395718	0.238319	0.244873	0.112718	0.313368	0.163682	0.00218233	0.227005	0.108246	0.197981	0.0976101	0.256659	0.0961993	0.0308279	0.431599	0.0871039	0.150257	0.324564	0.312537	0.121445	0.241454	0.0304415	0.241267	0.808181	2.92011	3.317572
590	-4088.726	-4082.89	-5.836516	0.5857935	0.191349	0.511029	0.41981	0.491183	0.30965	0.238924	0.199841	0.176513	0.273913	0.0112199	0.118169	0.107015	0.270945	0.106415	0.234462	0.099505	0.018868	0.496402	0.044347	0.1946911	0.353934	0.292954	0.131137	0.221975	0.0501918	0.304283	0.873894	2.77163	3.31956
600	-4083.698	-4075.035	-8.663159	0.4084788	0.211837	0.513072	0.695223	0.476938	0.412084	0.231754	0.176158	0.27398	0.183608	0.00800302	0.0795513	0.107575	0.232441	0.0556855	0.196619	0.110521	0.0502701	0.55383	0.0330738	0.1722651	0.34281	0.308211	0.123989	0.22499	0.0179564	0.188061	0.740295	3.05369	3.602225
610	-4087.092	-4082.291	-4.800543	0.6150371	0.197329	0.525841	0.693401	0.461051	0.214889	0.180988	0.128008	0.303197	0.0671212	0.00602831	0.072984	0.132683	0.232441	0.106642	0.173934	0.0805969	0.0425616	0.588472	0.00779339	0.2430366	0.329984	0.295328	0.134925	0.239763	0.0562235	0.320528	0.888801	2.73445	3.215963
620	-4084.434	-4084.268	-0.1663172	0.5753544	0.17158	0.479818	0.367505	0.414046	0.265026	0.299751	0.160259	0.196301	0.0252853	0.00395759	0.035635	0.100937	0.232441	0.123037	0.276548	0.0914946	0.0341064	0.453976	0.0208381	0.1757671	0.323568	0.303948	0.138726	0.233758	0.048068	0.298292	0.868205	2.78544	2.75254
630	-4081.973	-4082.042	0.06903818	0.5069078	0.152526	0.569653	0.448928	0.263	0.216291	0.210957	0.184827	0.208655	0.050158	0.00972639	0.110826	0.135076	0.168381	0.0869565	0.302362	0.105238	0.0379784	0.439626	0.0278392	0.1439458	0.334678	0.282845	0.12817	0.254307	0.0346751	0.256402	0.82523	2.88369	2.729005
640	-4085.985	-4079.13	-6.855229	0.6903401	0.137477	0.634906	0.534766	0.453928	0.254756	0.198896	0.203254	0.239879	0.102536	0.0824385	0.258944	0.131631	0.188021	0.0656481	0.282354	0.0968923	0.086537	0.43945	0.0291191	0.2537349	0.332175	0.326104	0.108504	0.233217	0.0721262	0.358936	0.921235	2.6477	3.421432
650	-4084.387	-4082.27	-2.116749	0.7100077	0.159333	0.449098	0.441795	0.550414	0.257281	0.20424	0.120847	0.251772	0.110261	0.0870969	0.0952322	0.0879162	0.1323	0.0851208	0.195593	0.125633	0.0595478	0.48986	0.0442454	0.2760046	0.334074	0.293433	0.158894	0.213599	0.0763271	0.368214	0.928521	2.62694	2.947584
