Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	bls_prop[1]	bls_prop[2]	bls_prop[3]	bls_prop[4]	bls_prop[5]	bls_prop[6]	bls_prop[7]	bls_prop[8]	bls_prop[9]	bls_prop[10]	bls_prop[11]	bls_prop[12]	bls_prop[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4072.051	-4078.549	6.498678	0.1335704	0.996677	6.1292	8.01587	5.7619	2.19412	0.901966	0.568717	2.30953	0.378998	1.19727	5.18554	0.197265	0.523291	0.0290066	0.17838	0.233288	0.167691	0.0638563	0.0262502	0.0165515	0.0672151	0.0110301	0.0348445	0.150916	0.00574106	0.0152295	0.35464	0.30168	0.10979	0.233889	0.0123151	0.186075	0.0280586	0.0369055	0.715355	0.021291	1.70725e-05	0.00611701	0.191915	3.80195	34.36034
10	-4072.908	-4079.465	6.556384	0.1372131	0.887584	8.88778	9.81213	3.03214	1.73492	0.722055	0.759167	3.09639	0.441977	0.89293	3.44918	0.309693	0.567025	0.0256579	0.256925	0.283645	0.0876518	0.0501524	0.0208729	0.0219457	0.0895092	0.0127765	0.0258125	0.0997076	0.00895248	0.0163913	0.381767	0.290367	0.105673	0.222193	0.0102183	0.293749	0.0232814	0.030622	0.59356	0.0485699	2.24759e-05	0.00701542	0.203009	3.78995	34.59297
20	-4071.801	-4077.517	5.716233	0.13921	0.563662	8.43354	6.04275	4.5378	1.96568	0.654962	1.0352	2.60013	0.33285	1.38912	3.29862	0.250585	0.304531	0.0179456	0.268504	0.192386	0.144473	0.0625824	0.0208524	0.0329583	0.0827818	0.0105971	0.0442262	0.10502	0.00797803	0.00969551	0.37308	0.292026	0.106481	0.228413	0.0170818	0.219092	0.0222761	0.0412138	0.638693	0.0616433	2.59732e-05	0.0075396	0.209092	3.78334	31.40944
30	-4077.469	-4078.347	0.8779181	0.1731607	0.260149	4.14607	4.50906	1.24877	1.33815	0.490556	0.926783	1.98366	0.280797	0.844713	2.08737	0.16076	0.634578	0.0137562	0.219237	0.238431	0.0660324	0.0707587	0.0259397	0.0490066	0.104892	0.014848	0.0446669	0.110376	0.00850067	0.0335553	0.362517	0.308602	0.103466	0.225415	0.0176344	0.193828	0.0229967	0.0425471	0.659356	0.0636375	0.000182092	0.019866	0.310105	3.66985	18.91141
40	-4072.497	-4074.728	2.231336	0.1576228	0.662214	6.69327	4.86985	1.67691	1.19441	0.501067	0.784371	1.09501	0.0372082	2.0633	1.32606	0.289755	0.466243	0.0305736	0.30902	0.224835	0.0774208	0.0551445	0.0231336	0.0362134	0.0505553	0.00171785	0.09526	0.0612225	0.0133776	0.0215259	0.362243	0.306366	0.101064	0.230327	0.0167914	0.257912	0.0276966	0.040513	0.596492	0.0605951	8.28961e-05	0.0134358	0.264679	3.7218	21.65968
50	-4071.307	-4073.874	2.567577	0.1542765	0.701889	5.59416	6.51935	2.09424	1.31927	0.809945	0.840546	1.00337	0.0333688	1.8137	1.09472	0.14669	0.444763	0.0313119	0.249561	0.290834	0.0934259	0.0588538	0.0361324	0.0374976	0.0447615	0.00148861	0.0809109	0.0488366	0.006544	0.0198413	0.365032	0.309064	0.101954	0.22395	0.00780248	0.258777	0.0334789	0.040649	0.598494	0.0607985	6.85332e-05	0.0122223	0.254684	3.73302	22.41601
60	-4073.861	-4077.568	3.706617	0.1406123	1.11664	5.83597	7.12634	2.92759	1.81031	0.515397	0.577418	1.24085	0.0519084	0.924835	2.15009	0.164818	0.791389	0.044252	0.231278	0.282415	0.11602	0.0717423	0.0204251	0.0228829	0.0491746	0.00205712	0.036651	0.0852078	0.0065317	0.0313626	0.350579	0.305216	0.112174	0.232031	0.00796084	0.26403	0.0341584	0.0211779	0.610641	0.0620324	2.86791e-05	0.00792119	0.213361	3.77869	25.23356
70	-4082.231	-4080.222	-2.008341	0.2050379	0.412134	3.04807	3.05247	1.37308	1.76287	0.354964	0.421724	0.930656	0.0398835	0.574901	1.76952	0.0407742	0.52798	0.0288024	0.213018	0.213325	0.0959593	0.1232	0.024807	0.0294726	0.0650398	0.0027873	0.0401775	0.123664	0.00284955	0.0368984	0.364586	0.296788	0.1154	0.223225	0.00858721	0.196625	0.036846	0.0384914	0.658687	0.0607627	0.000629406	0.0367315	0.396678	3.56596	14.30903
80	-4077.332	-4077.649	0.3169971	0.1642956	0.531437	4.12193	3.80551	2.90872	1.02353	0.658314	0.463415	0.950384	0.0067216	0.44774	1.91274	0.331044	0.734158	0.0296965	0.230331	0.21265	0.162538	0.0571943	0.0367863	0.0258954	0.053107	0.0003756	0.0250195	0.106883	0.0184986	0.0410244	0.373849	0.282703	0.124231	0.219217	0.0203428	0.230344	0.0356892	0.042039	0.592718	0.0788674	0.00011837	0.0160393	0.284403	3.69944	17.89564
90	-4071.845	-4075.252	3.406861	0.1538325	0.697204	8.01449	4.18261	2.64903	1.15608	0.671065	0.979657	1.6323	0.00864604	0.644808	2.51663	0.998955	0.299617	0.0285142	0.327777	0.17106	0.10834	0.0472814	0.0274452	0.040066	0.0667576	0.000353606	0.0263714	0.102925	0.0408552	0.0122537	0.380283	0.292286	0.114928	0.212503	0.016443	0.157162	0.0288474	0.0228725	0.737317	0.0373587	6.67832e-05	0.012066	0.253354	3.73451	24.45108
