Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4078.441	-4081.504	3.063341	0.3437564	0.136111	0.42207	0.422112	0.330722	0.184398	0.196376	0.14414	0.193616	0.07997	0.0445028	0.0124393	0.0781288	0.184989	0.115028	0.215358	0.0954334	0.0768503	0.47445	0.022881	0.316866	0.299185	0.144114	0.239835	0.00950528	0.138693	0.662476	3.18933	2.429575
10	-4082.581	-4087.235	4.653993	0.4513182	0.162772	0.368812	0.365676	0.308327	0.223689	0.19165	0.0876687	0.193616	0.063609	0.0684471	0.0458588	0.090256	0.100127	0.125638	0.233874	0.123451	0.0319602	0.402613	0.0824631	0.330594	0.279677	0.136085	0.253644	0.0247601	0.218952	0.781338	2.97495	2.270509
20	-4084.869	-4082.955	-1.914431	0.3931004	0.132212	0.46816	0.550476	0.413656	0.170924	0.179184	0.191488	0.279348	0.0763046	0.159613	0.0574739	0.0970014	0.151511	0.134965	0.206304	0.0876365	0.0282237	0.528475	0.014397	0.3388	0.276654	0.142677	0.241868	0.0157317	0.176583	0.723705	3.08398	2.927352
30	-4086.125	-4086.603	0.4786773	0.4280035	0.148741	0.5803	0.450876	0.311384	0.212128	0.235583	0.117419	0.283134	0.0763046	0.00415745	0.0375868	0.113197	0.117231	0.125901	0.222011	0.119698	0.02913	0.491093	0.0121672	0.321211	0.283086	0.147335	0.248367	0.0209529	0.202348	0.759888	3.01681	2.688041
40	-4084.039	-4085.563	1.524092	0.3244175	0.177759	0.570452	0.362708	0.356157	0.224521	0.190945	0.0846282	0.248387	0.0361707	0.0677871	0.0454266	0.069788	0.14877	0.099328	0.207417	0.0964287	0.0799865	0.499821	0.0170185	0.338553	0.284808	0.147861	0.228779	0.00748368	0.123575	0.634619	3.23432	2.5835
50	-4086.412	-4089.178	2.76534	0.3770344	0.144886	0.360117	0.42559	0.274542	0.206372	0.239289	0.156489	0.250645	0.0363081	0.131062	0.0563182	0.0820198	0.0957353	0.105188	0.201884	0.0895631	0.11568	0.434427	0.0532573	0.327567	0.285604	0.132809	0.25402	0.0135455	0.164403	0.705183	3.11687	2.459375
60	-4089.297	-4084.108	-5.18907	0.3798745	0.160123	0.66409	0.623547	0.331919	0.324976	0.164128	0.197892	0.329447	0.0606715	0.1218	0.0463774	0.0729149	0.156929	0.0722036	0.302099	0.0969112	0.0739728	0.407386	0.0474266	0.338575	0.289318	0.124404	0.247702	0.0139213	0.166569	0.70855	3.11096	3.254816
70	-4087.146	-4088.206	1.059806	0.3019076	0.163715	0.544679	0.414363	0.311392	0.240402	0.180446	0.0995944	0.181068	0.0609416	0.0850424	0.0278845	0.0719687	0.24843	0.0999661	0.269712	0.102427	0.0529727	0.410551	0.0643714	0.327641	0.330018	0.115116	0.227226	0.00545133	0.10598	0.598993	3.28958	2.629928
80	-4082.83	-4081.454	-1.376042	0.3591315	0.114112	0.514071	0.46478	0.426269	0.253763	0.157652	0.0952555	0.238887	0.0741792	0.0322809	0.0689017	0.129818	0.303546	0.0947269	0.242837	0.123694	0.0319081	0.482357	0.024477	0.329902	0.32133	0.129536	0.219232	0.0112867	0.150639	0.68298	3.1551	2.873513
90	-4085.348	-4087.154	1.805265	0.3724693	0.162657	0.348673	0.530404	0.426269	0.204501	0.167476	0.126172	0.139488	0.0816092	0.0661643	0.0174622	0.0703489	0.214158	0.0999192	0.224935	0.122484	0.0376218	0.447988	0.0670514	0.320507	0.324439	0.130152	0.224902	0.0129512	0.160911	0.699684	3.12645	2.555382
