Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4082.473	-4083.84	1.36702	0.4298658	0.108106	0.407	0.455197	0.422405	0.180909	0.230149	0.106811	0.230666	0.111442	0.0420071	0.0628221	0.149851	0.0918396	0.335859	0.282571	0.139777	0.241793	0.104659	0.245421	0.109456	0.0452445	0.449532	0.0456882	0.0212482	0.203692	0.761677	3.01338	2.599207
10	-4082.579	-4082.825	0.2463211	0.2906529	0.128406	0.490861	0.476611	0.376196	0.15431	0.182293	0.149146	0.207977	0.191809	0.131886	0.02059	0.122981	0.0782104	0.335859	0.282571	0.139777	0.241793	0.105895	0.248318	0.0989405	0.0457788	0.45484	0.0462276	0.00456778	0.0972462	0.579766	3.31842	2.711277
20	-4079.242	-4081.296	2.054294	0.3632797	0.135029	0.40467	0.573193	0.33228	0.204459	0.16083	0.165231	0.124662	0.0739078	0.0814781	0.0259351	0.192654	0.0561514	0.326107	0.308566	0.133827	0.2315	0.105398	0.247154	0.0984765	0.0455641	0.452707	0.0507007	0.0117928	0.153844	0.688279	3.14608	2.530479
30	-4078.666	-4078.633	-0.03333527	0.3415565	0.19948	0.423607	0.439128	0.366715	0.202353	0.179161	0.134917	0.223604	0.12544	0.0779087	0.0200193	0.226949	0.11996	0.329897	0.306831	0.133074	0.230199	0.079195	0.254393	0.101361	0.0468987	0.465967	0.0521858	0.00926282	0.136977	0.659426	3.19433	2.739242
40	-4083.057	-4083.237	0.1806773	0.2964889	0.125794	0.4901	0.44905	0.322985	0.212667	0.207012	0.200671	0.202993	0.0675956	0.138187	0.00558191	0.170469	0.124736	0.329897	0.306831	0.133074	0.230199	0.0764492	0.247948	0.124868	0.0457105	0.454161	0.0508636	0.00501482	0.101767	0.589859	3.30336	2.717841
50	-4084.566	-4083.582	-0.9834673	0.3429532	0.149346	0.410307	0.640567	0.302463	0.275316	0.173678	0.172179	0.198029	0.174519	0.100566	0.0118363	0.139237	0.0862112	0.335165	0.311731	0.119229	0.233875	0.0756865	0.265322	0.123622	0.0452544	0.44963	0.0404851	0.00941638	0.138067	0.661366	3.19115	2.834255
60	-4083.7	-4085.629	1.929081	0.3863843	0.156461	0.458886	0.368345	0.261887	0.257464	0.136332	0.128614	0.230594	0.163919	0.0591856	0.0349707	0.116866	0.169476	0.336451	0.324363	0.114529	0.224657	0.0749243	0.273162	0.123642	0.0430919	0.445103	0.0400774	0.0148001	0.171514	0.716116	3.09757	2.543001
70	-4089.576	-4088.254	-1.322452	0.3341934	0.146294	0.490041	0.393689	0.381955	0.321872	0.148695	0.15253	0.253239	0.048406	0.127955	0.00804813	0.168602	0.226828	0.34099	0.322737	0.116074	0.220198	0.077677	0.231411	0.143232	0.0446751	0.461455	0.0415498	0.00847443	0.131225	0.649001	3.2113	2.868154
80	-4090.797	-4087.822	-2.974749	0.3810753	0.135948	0.472061	0.471976	0.366036	0.236956	0.226419	0.155806	0.207326	0.209491	0.113681	0.101425	0.206479	0.129778	0.34099	0.322737	0.116074	0.220198	0.0631413	0.334055	0.116429	0.0774971	0.375103	0.0337746	0.0140816	0.167484	0.709962	3.10847	3.033384
90	-4086.7	-4084.155	-2.54512	0.2970489	0.130394	0.399667	0.534043	0.526109	0.229159	0.224487	0.173964	0.186474	0.17341	0.119195	0.0339031	0.127761	0.131855	0.327311	0.30979	0.111418	0.251482	0.0663568	0.312638	0.12582	0.0533296	0.405358	0.0364987	0.00505897	0.102201	0.590813	3.30193	2.990421
100	-4081.182	-4080.33	-0.8519096	0.3593689	0.100887	0.48625	0.514762	0.435885	0.174948	0.198045	0.142351	0.227731	0.0710298	0.0665977	0.0560648	0.169009	0.177541	0.327311	0.30979	0.111418	0.251482	0.0864293	0.319881	0.0870305	0.0545652	0.414749	0.0373444	0.0113154	0.150822	0.683285	3.15458	2.8211
110	-4084.802	-4078.944	-5.858443	0.3335726	0.204468	0.664889	0.507267	0.414016	0.228102	0.246887	0.171209	0.31777	0.059341	0.0349043	0.0630991	0.247236	0.162564	0.327311	0.30979	0.111418	0.251482	0.0914048	0.338296	0.0524428	0.0577064	0.420656	0.0394942	0.00840961	0.13074	0.648106	3.21274	3.321753
120	-4082.075	-4080.037	-2.038685	0.3551521	0.118049	0.528618	0.491157	0.409302	0.262566	0.192827	0.193013	0.267447	0.0988961	0.0260369	0.0841284	0.135086	0.132651	0.327311	0.30979	0.111418	0.251482	0.0976396	0.261152	0.073381	0.0762895	0.449349	0.0421881	0.0108112	0.147556	0.677805	3.16383	2.939777
130	-4088.707	-4085.111	-3.595528	0.3351093	0.159236	0.440131	0.476774	0.466522	0.380852	0.102346	0.167415	0.282917	0.199567	0.0260247	0.124091	0.1017	0.167887	0.329212	0.305781	0.112065	0.252942	0.0964806	0.262619	0.0725099	0.0826882	0.444015	0.0416873	0.00857055	0.131941	0.650317	3.20917	3.095462
140	-4086.525	-4085.236	-1.289136	0.3735167	0.129507	0.585712	0.430546	0.304221	0.232448	0.190254	0.0566866	0.220704	0.175706	0.113833	0.0556637	0.196474	0.173068	0.331984	0.299935	0.113009	0.255072	0.0944599	0.257118	0.0951331	0.0777587	0.434716	0.0408142	0.0130865	0.161714	0.700955	3.12424	2.864822
