Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4089.374	-4081.588	-7.785255	0.3626486	0.175145	0.467815	0.586617	0.414644	0.42473	0.199569	0.191981	0.378599	0.0217471	0.0658605	0.24445	0.143696	0.199581	0.354543	0.302046	0.112177	0.231234	0.0576772	0.260816	0.068843	0.067236	0.48315	0.0622777	0.0117151	0.153357	0.687479	3.14745	3.514434
10	-4086.766	-4081.272	-5.493946	0.3438882	0.120852	0.598607	0.548034	0.312942	0.295655	0.1929	0.13216	0.320845	0.0617706	0.105544	0.13148	0.33599	0.128523	0.357742	0.303048	0.112549	0.226662	0.0611069	0.282244	0.0845305	0.0801587	0.427013	0.0649477	0.00951991	0.138796	0.662657	3.18903	3.285303
20	-4091.802	-4084.427	-7.3741	0.2682791	0.145028	0.626647	0.793614	0.446672	0.285345	0.262293	0.123432	0.273125	0.0549851	0.0430849	0.164253	0.213932	0.0409091	0.35961	0.304631	0.113136	0.222623	0.0741268	0.226397	0.0729157	0.0727199	0.512082	0.0417579	0.00307527	0.0801726	0.538482	3.37827	3.473319
30	-4090.982	-4090.851	-0.1314037	0.3801936	0.152567	0.490569	0.4474	0.335443	0.237866	0.201577	0.175239	0.264855	0.0503262	0.0178405	0.188865	0.151169	0.0353329	0.305986	0.341635	0.124312	0.228068	0.0727581	0.224271	0.0918833	0.0720368	0.497685	0.0413656	0.0139638	0.166813	0.708926	3.1103	2.749049
40	-4085.664	-4079.349	-6.315104	0.3089603	0.130499	0.638667	0.644375	0.525762	0.247453	0.20949	0.120921	0.187227	0.114843	0.0530994	0.023772	0.305468	0.165843	0.3298	0.288804	0.134548	0.246848	0.103873	0.221953	0.0594965	0.0597938	0.524158	0.0307263	0.00605026	0.111481	0.610548	3.27192	3.367419
50	-4083.467	-4081.047	-2.420035	0.3594004	0.204233	0.512206	0.655543	0.338342	0.212668	0.142992	0.148993	0.282519	0.124057	0.0732326	0.0655336	0.150139	0.067454	0.328543	0.297375	0.138542	0.23554	0.102776	0.218809	0.0727427	0.0583833	0.511792	0.0354966	0.0113192	0.150847	0.683326	3.15451	2.977912
60	-4077.14	-4079.238	2.098341	0.3685279	0.153123	0.457842	0.393103	0.379991	0.264467	0.180824	0.108464	0.236449	0.052431	0.0404919	0.0928378	0.0920057	0.0740457	0.345966	0.28648	0.126584	0.240969	0.10263	0.218499	0.101848	0.0651121	0.476465	0.0354462	0.0124482	0.157886	0.694848	3.13482	2.526075
70	-4081.951	-4085.086	3.134936	0.4134855	0.137548	0.375779	0.44999	0.284927	0.183478	0.125092	0.162588	0.202302	0.103414	0.0345026	0.045052	0.22351	0.0942334	0.345272	0.285906	0.128335	0.240486	0.0982384	0.251939	0.09749	0.0623259	0.456077	0.0339295	0.018707	0.191756	0.74547	3.04407	2.422415
80	-4079.556	-4079.907	0.3507297	0.3820769	0.150302	0.429245	0.412537	0.391108	0.256561	0.250301	0.140805	0.20318	0.0523697	0.0361274	0.09102	0.124848	0.162431	0.341762	0.296855	0.13325	0.228132	0.104891	0.224498	0.0754434	0.0736925	0.481357	0.0401173	0.0142159	0.168246	0.711134	3.1064	2.700836
90	-4085.558	-4086.02	0.4623574	0.3664114	0.151677	0.443571	0.497459	0.29193	0.202881	0.208296	0.114025	0.167732	0.0513184	0.051775	0.233747	0.219174	0.0560873	0.335886	0.298017	0.137073	0.229024	0.102585	0.229588	0.0771539	0.0435904	0.517056	0.0300264	0.0121818	0.156257	0.692216	3.13934	2.689673
