Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4087.845	-4080.449	-7.395516	0.3886118	0.173095	0.622085	0.528269	0.50638	0.315139	0.164902	0.113326	0.176139	0.0733189	0.17751	0.114795	0.355282	0.15522	0.347355	0.301311	0.126123	0.225212	0.0717777	0.221271	0.108144	0.0634177	0.520789	0.014601	0.0151063	0.173199	0.718657	3.09304	3.47546
10	-4081.765	-4079.899	-1.865322	0.3796838	0.110208	0.506936	0.489186	0.373603	0.273179	0.160981	0.13072	0.308935	0.0818112	0.12934	0.0980507	0.201218	0.0582736	0.347572	0.3015	0.125575	0.225353	0.080049	0.246769	0.0882128	0.0647074	0.503978	0.0162836	0.0138959	0.166424	0.708326	3.11135	2.922441
20	-4088.551	-4085.766	-2.785277	0.3082552	0.192008	0.407734	0.445035	0.388975	0.346062	0.196883	0.0667368	0.337333	0.0740442	0.119027	0.0488716	0.139366	0.25236	0.353205	0.29018	0.12761	0.229005	0.0843199	0.2445	0.0874015	0.0683024	0.499343	0.0161338	0.00598882	0.110931	0.609409	3.27367	3.014436
30	-4087.845	-4090.279	2.434315	0.4127398	0.152812	0.458429	0.371881	0.322328	0.294721	0.123845	0.100235	0.283077	0.000930144	0.150768	0.0963987	0.113623	0.0234306	0.355057	0.291224	0.123514	0.230206	0.0836753	0.242631	0.0867333	0.0677802	0.495525	0.0236556	0.0185944	0.191207	0.744706	3.04549	2.492477
40	-4087.567	-4083.305	-4.261993	0.2976779	0.192111	0.419726	0.530926	0.469567	0.280233	0.162251	0.0797685	0.247909	0.0370045	0.17725	0.0466542	0.279069	0.239639	0.341763	0.300584	0.127484	0.230169	0.0842307	0.29785	0.089283	0.0373283	0.47208	0.0192273	0.00510884	0.10269	0.591883	3.30032	3.162108
50	-4087.366	-4081.187	-6.179145	0.3107429	0.143974	0.68412	0.653239	0.373936	0.207813	0.253044	0.0945167	0.218242	0.186607	0.115584	0.0458625	0.2051	0.171784	0.346398	0.291098	0.129213	0.233291	0.0683284	0.273975	0.102721	0.032705	0.504584	0.0176861	0.00620714	0.112874	0.613411	3.26751	3.353823
60	-4088.324	-4082.644	-5.679807	0.2702235	0.0994788	0.636895	0.561784	0.559952	0.216448	0.242967	0.174279	0.193619	0.127836	0.108379	0.0580448	0.191483	0.132725	0.339855	0.303334	0.130786	0.226025	0.058877	0.24007	0.0884849	0.028005	0.569324	0.0152397	0.00319114	0.0816356	0.54224	3.37293	3.303889
70	-4084.195	-4079.864	-4.331208	0.3434393	0.200212	0.471144	0.536081	0.445558	0.260027	0.246505	0.184347	0.305833	0.0999115	0.134204	0.0213188	0.175028	0.0888591	0.334428	0.308511	0.130878	0.226184	0.076751	0.31295	0.115347	0.0365068	0.438578	0.0198662	0.00947013	0.138446	0.662038	3.19005	3.16903
80	-4087.664	-4086.632	-1.032125	0.3595541	0.14012	0.491411	0.448558	0.329732	0.163498	0.245387	0.19751	0.146757	0.104145	0.192687	0.0547326	0.186536	0.138048	0.320036	0.324512	0.128056	0.227396	0.0853003	0.281682	0.128196	0.0405733	0.44217	0.0220791	0.0113378	0.150965	0.683524	3.15417	2.839121
90	-4085.268	-4083.723	-1.545429	0.2993451	0.15844	0.478948	0.56512	0.445306	0.202634	0.187689	0.0922401	0.213615	0.123312	0.122675	0.0519919	0.131995	0.116486	0.363043	0.296796	0.121292	0.218868	0.0737835	0.243651	0.110887	0.0350953	0.47634	0.0602428	0.00524233	0.103986	0.594701	3.29607	2.890452
