Iteration	Posterior	Likelihood	Prior	alpha	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	pi[1]	pi[2]	pi[3]	pi[4]	rho[1]	rho[2]	rho[3]	rho[4]	rho[5]	rho[6]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-4082.575	-4078.444	-4.131173	0.2913594	0.168539	0.630256	0.498514	0.406943	0.334896	0.253083	0.139867	0.190645	0.174726	0.0781766	0.155745	0.0247993	0.0928364	0.324531	0.306962	0.13301	0.235497	0.070461	0.222893	0.107312	0.0418669	0.50007	0.057397	0.00462062	0.0977923	0.581002	3.31658	3.149026
10	-4083.834	-4078.941	-4.892457	0.35501	0.158378	0.692987	0.568909	0.344423	0.3491	0.212581	0.134122	0.266648	0.23668	0.153655	0.0101895	0.0671133	0.0303695	0.326331	0.303117	0.133748	0.236803	0.0712114	0.229608	0.0954012	0.0415679	0.504326	0.0578855	0.0107945	0.147446	0.677618	3.16414	3.225154
20	-4084.896	-4079.388	-5.507416	0.3289364	0.205822	0.668323	0.434665	0.526434	0.266669	0.221743	0.131818	0.232403	0.146931	0.0815136	0.211226	0.0495046	0.109598	0.333591	0.291253	0.13541	0.239746	0.0731739	0.213168	0.120009	0.0236516	0.510517	0.0594807	0.00793365	0.127112	0.641346	3.22361	3.28665
30	-4083.908	-4077.975	-5.933371	0.3256468	0.128868	0.611002	0.589359	0.493548	0.307888	0.177905	0.163599	0.27295	0.179611	0.152887	0.114413	0.07395	0.0632648	0.316081	0.317836	0.12836	0.237723	0.0696329	0.272281	0.11191	0.0220554	0.476063	0.0480577	0.00760472	0.124537	0.636463	3.2314	3.329246
40	-4088.323	-4082.411	-5.912629	0.362278	0.153297	0.64153	0.646662	0.287684	0.269095	0.190595	0.180914	0.30685	0.249458	0.152887	0.06312	0.0851869	0.0998924	0.322208	0.323795	0.111817	0.24218	0.0667886	0.275323	0.109167	0.0250156	0.464398	0.0593074	0.0116696	0.15307	0.687008	3.14825	3.327172
50	-4083.999	-4085.779	1.780155	0.3357496	0.133194	0.485407	0.494913	0.377764	0.163845	0.175495	0.101931	0.1317	0.206892	0.14475	0.0376095	0.0416831	0.0627084	0.322067	0.322904	0.116016	0.239013	0.0964726	0.330302	0.10844	0.0224482	0.383065	0.0592723	0.00863807	0.132442	0.651233	3.20769	2.557893
60	-4091.539	-4090.769	-0.7701097	0.4442177	0.176667	0.477332	0.592967	0.367346	0.231628	0.27063	0.122424	0.159326	0.191933	0.102901	0.0252412	0.0565666	0.0379595	0.315113	0.315931	0.129528	0.239428	0.0964726	0.330302	0.10844	0.0224482	0.383065	0.0592723	0.0235758	0.21395	0.775017	2.98746	2.81292
70	-4087.137	-4090.568	3.431198	0.4055126	0.190692	0.347361	0.383945	0.246737	0.212288	0.144733	0.128251	0.226328	0.188204	0.140707	0.108672	0.0126947	0.0621767	0.331642	0.30651	0.12956	0.232288	0.125737	0.317632	0.114431	0.0168294	0.368372	0.0569988	0.0175177	0.185862	0.737178	3.05944	2.392789
80	-4083.15	-4082.477	-0.672406	0.3384292	0.128084	0.383341	0.609557	0.41079	0.195929	0.228767	0.132864	0.197041	0.218938	0.123912	0.112489	0.0280458	0.0333911	0.331642	0.30651	0.12956	0.232288	0.112296	0.283678	0.101107	0.0150304	0.420612	0.0672777	0.0089236	0.134536	0.65504	3.2015	2.803149
90	-4081.719	-4080.067	-1.652045	0.3644469	0.134036	0.449702	0.552848	0.541546	0.201758	0.189786	0.166551	0.142093	0.173585	0.080259	0.156245	0.0396184	0.0730853	0.337511	0.311934	0.114157	0.236398	0.0845433	0.281124	0.100196	0.0506389	0.416825	0.0666721	0.0119371	0.154744	0.689753	3.14357	2.901113
