Iteration	Posterior	Likelihood	Prior	bls[1]	bls[2]	bls[3]	bls[4]	bls[5]	bls[6]	bls[7]	bls[8]	bls[9]	bls[10]	bls[11]	bls[12]	bls[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-4270.73	-4285.64	14.91009	0.138578	0.202675	0.249322	0.214283	0.139972	0.113204	0.087803	0.131365	0.050869	0.0442705	0.0300967	0.0444461	0.0282741	0.185178	0.234739	0.13017	0.0864266	0.327694	0.0357922	0.278008	0.280716	0.17074	0.270536	1.475158
10	-4274.451	-4289.362	14.9108	0.103508	0.184923	0.198224	0.173635	0.171969	0.100255	0.0987524	0.120076	0.0858531	0.0782717	0.0122385	0.092903	0.0544795	0.229196	0.245807	0.12655	0.0376472	0.322601	0.038199	0.273813	0.26999	0.164217	0.29198	1.475087
20	-4272.06	-4287.49	15.43016	0.116651	0.195652	0.225563	0.167921	0.136763	0.124316	0.0686839	0.127933	0.0667074	0.0842032	0.0123611	0.0336275	0.0627684	0.206685	0.260901	0.141249	0.0526798	0.297477	0.0410085	0.285285	0.260993	0.165701	0.288022	1.423151
30	-4268.622	-4283.934	15.31175	0.131477	0.163206	0.204343	0.213585	0.140086	0.106453	0.0768586	0.127933	0.0768559	0.0787652	0.0319725	0.0419501	0.0415067	0.186026	0.248031	0.143623	0.0564797	0.328694	0.0371457	0.291848	0.259054	0.168507	0.28059	1.434992
40	-4269.383	-4284.505	15.12238	0.11264	0.19828	0.216605	0.203038	0.137813	0.107489	0.102096	0.149887	0.0817402	0.0374114	0.0420506	0.0257837	0.0390956	0.178302	0.245563	0.136198	0.0538821	0.350566	0.0354895	0.278427	0.272532	0.171157	0.277884	1.45393
50	-4270.692	-4285.607	14.91556	0.101516	0.162655	0.302413	0.20778	0.128182	0.111102	0.0915414	0.121489	0.0644405	0.068522	0.0211898	0.0448723	0.0489074	0.198227	0.22236	0.140165	0.0566716	0.339957	0.0426188	0.277473	0.268055	0.166971	0.287501	1.474611
60	-4271.633	-4285.948	14.31499	0.11202	0.224196	0.272326	0.19369	0.106806	0.121655	0.110556	0.141332	0.0709572	0.068522	0.0300825	0.0409675	0.0415573	0.197801	0.248565	0.123863	0.0655121	0.329745	0.0345141	0.288393	0.263278	0.156403	0.291925	1.534668
70	-4275.481	-4291.102	15.62058	0.0858316	0.198059	0.239181	0.195782	0.156171	0.10393	0.101514	0.111081	0.100154	0.0463931	0.0383901	0.0107243	0.0168982	0.202844	0.270493	0.121954	0.0643385	0.29924	0.0411301	0.273743	0.273304	0.148378	0.304575	1.40411
80	-4270.454	-4285.918	15.46379	0.107541	0.169696	0.213145	0.216426	0.149158	0.0903193	0.115327	0.123176	0.0579568	0.0637158	0.0614613	0.0349678	0.0168982	0.222941	0.253244	0.124141	0.0458879	0.324873	0.0289128	0.274622	0.248147	0.178907	0.298324	1.419789
90	-4273.523	-4289.509	15.98671	0.10448	0.19588	0.214416	0.191235	0.131757	0.106236	0.095449	0.141436	0.0558443	0.0316371	0.0289553	0.0276453	0.0425251	0.210157	0.252174	0.146358	0.064467	0.295351	0.031493	0.245645	0.283111	0.151754	0.31949	1.367496
