Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-20661.24	-20660.2	-1.045309	0.538226	0.000453282	0.00832846	0.225162	0.111312	0.0339705	0.0060531	0.0810913	0.013526	0.0830462	0.03263	0.0774784	0.0325932	0.172538	0.0557265	0.00720838	0.218123	0.0830405	0.0182041	0.0303184	0.40788	0.00483577	0.230635	0.529138	0.0362747	0.0553586	0.165817	0.0295571	0.0669032	0.133792	0.0204717	0.190954	0.0427288	0.072121	0.117486	0.192134	0.0653544	0.104508	0.0336555	0.0332862	0.0611918	0.153825	0.0165004	4.593439
1	-19915.79	-19915.89	0.1034265	0.538226	0.000549134	0.00981909	0.225162	0.111312	0.0365348	0.0060531	0.133458	0.0217804	0.0830462	0.03263	0.0774784	0.0402893	0.122477	0.0557265	0.00720838	0.218123	0.17269	0.0235971	0.0303184	0.40788	0.00671621	0.230635	0.388284	0.0362747	0.0553586	0.165817	0.0177624	0.0669032	0.133792	0.0204717	0.193299	0.0427288	0.0547979	0.0826377	0.192134	0.0653544	0.098014	0.0336555	0.0226022	0.0578854	0.133967	0.0251152	4.478565
2	-19622.38	-19623.75	1.37459	0.538226	0.000506364	0.0161733	0.225162	0.12062	0.0594081	0.00638059	0.133458	0.0217804	0.109212	0.0331893	0.0774784	0.0467458	0.101537	0.0564435	0.00720838	0.218123	0.17269	0.027483	0.0303184	0.270321	0.0172736	0.18786	0.388284	0.0362747	0.0553586	0.142483	0.0177624	0.105762	0.133792	0.0204717	0.193299	0.0427288	0.0310387	0.0826377	0.192134	0.0653544	0.098014	0.0288869	0.0226022	0.0578854	0.133967	0.0251152	4.351449
3	-19309.12	-19311.65	2.531146	0.538226	0.000506364	0.0294377	0.225162	0.12062	0.0594081	0.00773851	0.131447	0.0317495	0.158638	0.0422318	0.0774784	0.0467458	0.101537	0.0796995	0.00720838	0.204948	0.122717	0.0374569	0.0340808	0.270321	0.0194696	0.210889	0.388284	0.0362747	0.0553586	0.127968	0.0177624	0.105762	0.133792	0.0230348	0.115266	0.0411197	0.0310387	0.0734766	0.120462	0.0651302	0.0766421	0.0271368	0.0226022	0.0578854	0.133967	0.0251152	4.235793
4	-19067.32	-19067.89	0.5756705	0.538226	0.000776297	0.0294377	0.225162	0.12062	0.0594081	0.00773851	0.131447	0.0495032	0.25894	0.0554518	0.0774784	0.0622521	0.101537	0.0796995	0.00981471	0.204948	0.122717	0.111089	0.0340808	0.270321	0.0194696	0.210889	0.388284	0.0362747	0.0609944	0.127968	0.0126307	0.105762	0.133792	0.0230348	0.115266	0.0388209	0.0101357	0.0734766	0.0746452	0.0930499	0.0766421	0.0374986	0.018084	0.0578854	0.133967	0.032123	4.431341
5	-18880.36	-18880.42	0.06573265	0.538226	0.000804917	0.0294377	0.225162	0.12062	0.0916117	0.00773851	0.131447	0.0506893	0.25894	0.0554518	0.0873401	0.0622521	0.103532	0.0796995	0.00981471	0.204948	0.131588	0.110488	0.0340808	0.270321	0.0312007	0.210889	0.388284	0.0455808	0.0609944	0.127968	0.00813995	0.10631	0.133792	0.0230348	0.115266	0.0308724	0.0104274	0.0649173	0.0746452	0.0930499	0.0766421	0.0277119	0.018084	0.0578854	0.124291	0.0481577	4.482335
6	-18639.95	-18642.62	2.678413	0.394762	0.000804917	0.0294377	0.225162	0.12062	0.0916117	0.00773851	0.131447	0.0506893	0.25894	0.131619	0.0873401	0.0633692	0.103532	0.126894	0.0112907	0.204948	0.131588	0.110488	0.0340808	0.270321	0.0312007	0.210889	0.274656	0.0455808	0.0587357	0.127968	0.00441872	0.147187	0.0496965	0.0230348	0.0656634	0.0253568	0.0132729	0.0649173	0.0746452	0.0930499	0.0766421	0.0310676	0.0171727	0.0578854	0.0931859	0.0481577	4.221067
7	-18542.85	-18546.48	3.629499	0.394762	0.00132252	0.0354565	0.225162	0.12062	0.0916117	0.00827501	0.142727	0.0506893	0.25894	0.131619	0.123385	0.0633692	0.103532	0.126894	0.0112907	0.154988	0.174595	0.110488	0.0340808	0.212677	0.0312007	0.210889	0.274656	0.0455808	0.0379962	0.127968	0.00304797	0.14406	0.0496965	0.0230348	0.0656634	0.0253568	0.0192796	0.0649173	0.0668227	0.0930499	0.0766421	0.0310676	0.0151585	0.0371691	0.0621543	0.0440635	4.125958
8	-18435.52	-18439.24	3.723194	0.394762	0.00138886	0.0354565	0.225162	0.12062	0.0972844	0.00865485	0.142727	0.053849	0.25894	0.131619	0.10972	0.0958006	0.103532	0.126894	0.0173467	0.154988	0.153318	0.110488	0.0477495	0.212297	0.0312007	0.186496	0.274656	0.0455808	0.0379962	0.127968	0.00304797	0.144842	0.0496965	0.0230348	0.0656634	0.0487095	0.0192796	0.0649173	0.0443138	0.0803343	0.0766421	0.0310676	0.0151585	0.0371691	0.0621543	0.0440635	4.116589
9	-18389.35	-18391.87	2.520954	0.394762	0.00138886	0.0354565	0.225162	0.120039	0.132563	0.00865485	0.205153	0.053849	0.25894	0.131619	0.10972	0.0958006	0.130657	0.126894	0.0173467	0.154988	0.153318	0.123673	0.0724349	0.212297	0.0332266	0.186496	0.274656	0.0481059	0.0379962	0.122829	0.00304797	0.144842	0.0324285	0.0321563	0.0561055	0.0487095	0.0192796	0.0649173	0.0443138	0.0803343	0.0679503	0.023473	0.0306431	0.0245853	0.0621543	0.0338441	4.236812
10	-18328.73	-18331.27	2.540052	0.394762	0.00189396	0.0354565	0.225162	0.120039	0.122714	0.0135767	0.205153	0.053849	0.283218	0.148883	0.11936	0.0958006	0.130657	0.126894	0.0173467	0.174097	0.153318	0.136992	0.0919603	0.212297	0.0332266	0.171716	0.176568	0.0481059	0.0610608	0.122829	0.00304797	0.144842	0.0324285	0.048492	0.0393064	0.0460133	0.0192796	0.0649173	0.0366542	0.0803343	0.0679503	0.023473	0.0306431	0.0245853	0.0621543	0.0338441	4.234903
