Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	disc_rates[1]	disc_rates[2]	disc_rates[3]	disc_rates[4]	gamma[1]	gamma[2]	gamma[3]	gamma[4]	gamma[5]	gamma[6]	gamma[7]	gamma[8]	gamma[9]	gamma[10]	gamma[11]	gamma[12]	gamma[13]	gamma[14]	gamma[15]	gamma[16]	gamma[17]	gcalpha	gcbeta	gcinvconc	kappa	meangc	rate_var	TL
0	-297564	-297525.4	-38.64932	3.483919	0.0684799	0.119242	0.00338442	0.104566	0.00986724	0.00889384	0.00357903	0.202939	0.546075	0.0208205	0.148675	0.0853881	0.159725	0.0317141	0.0134778	0.373411	0.0625998	0.186072	0.000635355	0.112323	0.0291526	0.262205	0.0109825	0.114363	0.0442255	0.139969	0.0502093	0.157396	0.100636	0.133381	0.0745295	0.00221685	0.0127762	0.155775	0.00569678	0.494626	0.0767727	0.0371327	0.18066	0.0468521	0.435021	0.0879335	0.0917726	0.107171	0.0573773	0.486939	0.0532658	0.023327	0.32859	0.0464667	0.0245246	0.245451	0.0506416	0.0448482	0.0451192	0.171413	0.26239	0.190122	0.0526367	0.0823618	0.00423429	0.133555	0.0755509	0.00567878	0.223389	0.0550872	0.0795594	0.0274853	0.0940699	0.0833067	0.070486	0.00161491	0.271425	0.0636828	0.21503	0.12048	0.0450343	0.118026	0.00677193	0.142771	0.118411	0.423549	0.755231	1.08405	1.73717	0.656456	0.304077	0.13815	0.0110553	0.326329	0.428178	0.312724	0.29919	0.2859	0.141716	0.35505	0.855109	0.422803	0.675452	0.291328	0.36976	0.0439872	1.282748	1.703758	0.3348394	8.850473	0.4295148	0.2870331	9.234447
10	-252717.5	-252700.2	-17.31643	2.158207	0.0859981	0.120762	0.0047865	0.0843024	0.0129257	0.0132406	0.00498729	0.1237	0.32212	0.0241347	0.115592	0.0968013	0.135875	0.0783754	0.0233969	0.319669	0.106533	0.163519	0.000799551	0.116757	0.0375037	0.207302	0.0143023	0.129601	0.0583654	0.112039	0.0507877	0.138426	0.130296	0.0724088	0.0750782	0.0033392	0.0225271	0.107735	0.00694245	0.322681	0.108025	0.0570835	0.181219	0.0641018	0.39598	0.131428	0.0719325	0.0721133	0.0596142	0.285344	0.0511594	0.0248587	0.186743	0.0300011	0.0163307	0.161963	0.0270029	0.0178693	0.031591	0.127977	0.155592	0.135703	0.0600644	0.035601	0.00323527	0.0613586	0.0504462	0.00535123	0.144873	0.0263683	0.0475232	0.0168501	0.0765963	0.0642969	0.0361057	0.00117635	0.175706	0.0397181	0.146952	0.107025	0.0414374	0.092594	0.009273	0.108051	0.0974378	0.311456	0.670847	1.07349	1.94421	0.526911	0.419354	0.18831	0.175333	0.405251	0.530665	0.417776	0.317823	0.354478	0.218265	0.490354	0.736333	0.543862	0.620392	0.421158	0.476691	0.300899	1.370624	2.534824	0.2560526	8.011347	0.3509517	0.4633477	7.285283
20	-233391.6	-233389.6	-1.990815	1.088661	0.103588	0.162947	0.00563359	0.0768192	0.0181445	0.0167239	0.00862207	0.0768102	0.156219	0.0323725	0.124197	0.080444	0.131622	0.0995799	0.0273215	0.211223	0.122139	0.18696	0.000955952	0.134913	0.0565152	0.158851	0.0185474	0.134281	0.0852651	0.0956701	0.0745878	0.152647	0.134391	0.0694253	0.0769598	0.00473363	0.0489042	0.0845666	0.0119499	0.219032	0.1387	0.030375	0.254124	0.0830805	0.349969	0.190001	0.0553322	0.0542018	0.0678174	0.227999	0.0359002	0.0311176	0.143865	0.0188669	0.0117368	0.10957	0.0234057	0.0224577	0.0259258	0.101648	0.118658	0.0900686	0.0474201	0.0354446	0.00230461	0.0314475	0.0517706	0.00301083	0.160897	0.0155796	0.0258657	0.0142418	0.0561771	0.0685675	0.0267665	0.00107988	0.13201	0.0322558	0.121987	0.0700177	0.0307951	0.0738182	0.0128151	0.0827085	0.0509645	0.154297	0.50187	1.01327	2.33057	0.497643	0.631919	0.400914	0.393572	0.38137	0.61028	0.432621	0.445183	0.466469	0.372695	0.5894	0.643495	0.65835	0.655388	0.503603	0.564329	0.332308	7.331814	8.808869	0.06195525	7.898145	0.4542444	0.9185596	6.536327
30	-221874.5	-221870.5	-3.953681	0.5002611	0.109318	0.195548	0.00737064	0.078288	0.0269781	0.0181389	0.0148176	0.0669079	0.161017	0.0455156	0.131497	0.0798446	0.101185	0.104961	0.0279136	0.182424	0.122909	0.256857	0.00143689	0.120802	0.0712356	0.148676	0.0281003	0.157972	0.0954683	0.111225	0.0842316	0.164022	0.23934	0.0749747	0.100585	0.00619235	0.083558	0.0983407	0.0207603	0.221954	0.145391	0.0231711	0.262281	0.0849092	0.230458	0.314928	0.0319027	0.0365348	0.0672372	0.244942	0.0308175	0.0548643	0.0896228	0.0163522	0.0104645	0.0755254	0.0123219	0.0151916	0.0154927	0.0624164	0.112435	0.0839729	0.0315578	0.0234825	0.0019813	0.0209724	0.0567269	0.00196521	0.13824	0.0130678	0.0137107	0.0102416	0.0444823	0.0910083	0.0267529	0.00107872	0.110615	0.0314874	0.103084	0.0420633	0.0256533	0.0706118	0.0153408	0.0736085	0.0329532	0.0334362	0.252086	0.820458	2.89402	0.603802	0.713044	0.489757	0.413306	0.35882	0.624654	0.455884	0.664311	0.50767	0.530731	0.583008	0.628339	0.662897	0.710694	0.527901	0.713165	0.398343	5.062349	4.194258	0.1080309	6.556634	0.5468904	1.998956	6.562284
40	-212702.1	-212701.9	-0.1379347	0.4653466	0.11031	0.26	0.0128533	0.0753143	0.0355859	0.0247915	0.0257464	0.0641837	0.208021	0.054618	0.14272	0.0732288	0.0995267	0.100918	0.0191177	0.142799	0.125689	0.241134	0.00181725	0.118509	0.0974974	0.0943952	0.0714719	0.146804	0.0966113	0.114477	0.088533	0.16265	0.297186	0.0749747	0.0975468	0.00878634	0.154724	0.0684295	0.0463419	0.167236	0.163007	0.0176017	0.262108	0.0981928	0.178807	0.44822	0.0296102	0.0262382	0.0469028	0.271718	0.0245554	0.0558957	0.0653518	0.0180842	0.00679477	0.0606861	0.010688	0.00998369	0.0125042	0.031297	0.0935998	0.0610879	0.0238949	0.0139789	0.00143988	0.011676	0.0642983	0.00164084	0.112351	0.0132832	0.00905274	0.00655829	0.0300682	0.0828479	0.028472	0.00129021	0.068154	0.022279	0.0918961	0.0456896	0.0170701	0.0632881	0.0131032	0.0497614	0.037035	0.0271591	0.228692	0.793319	2.95083	0.568731	0.7034	0.562819	0.449022	0.383073	0.649974	0.463887	0.628853	0.497381	0.594802	0.566005	0.459255	0.629472	0.691373	0.493761	0.699148	0.466264	8.91746	7.388294	0.06132804	6.001212	0.5468904	2.148936	6.526611
50	-207108.1	-207109.3	1.182515	0.4653466	0.116932	0.224094	0.0225709	0.0758176	0.0987042	0.0364666	0.0296069	0.0741685	0.193323	0.0637193	0.149272	0.0784666	0.0985628	0.112395	0.0136746	0.135505	0.100574	0.253833	0.00289314	0.116871	0.102854	0.0991501	0.0960265	0.127247	0.102089	0.114976	0.0867322	0.166004	0.37554	0.084811	0.10043	0.0123989	0.258801	0.078562	0.0878255	0.13996	0.173706	0.0173008	0.274523	0.0918044	0.168547	0.588062	0.0289276	0.0154563	0.0332727	0.205921	0.0159928	0.0373786	0.0432926	0.0132986	0.00554762	0.0344145	0.00784194	0.00732122	0.00855633	0.0252689	0.0625993	0.0419068	0.0171141	0.0158657	0.00117263	0.00671754	0.0481296	0.00107087	0.112159	0.015721	0.00709194	0.00464103	0.0213084	0.0762247	0.020889	0.00115463	0.0457982	0.0161972	0.0446501	0.0516825	0.0129694	0.0445246	0.00812515	0.0726632	0.0233562	0.0271591	0.228692	0.793319	2.95083	0.571151	0.671909	0.558461	0.476124	0.374702	0.599693	0.463696	0.633201	0.51854	0.542248	0.572821	0.4599	0.600315	0.704347	0.502826	0.666585	0.421294	16.62059	13.77049	0.0329044	5.719945	0.5468904	2.148936	6.601023
60	-203510.3	-203518.3	7.945497	0.4653466	0.0968328	0.169618	0.0374258	0.0755004	0.111873	0.0669303	0.0370228	0.0728931	0.163222	0.0980738	0.148778	0.0772183	0.0881893	0.0998535	0.0110749	0.126656	0.0856917	0.216743	0.00358836	0.107768	0.110757	0.0791404	0.0786365	0.122906	0.0988125	0.109644	0.0832739	0.137112	0.308793	0.0746253	0.0980457	0.0154278	0.242065	0.083906	0.141063	0.132067	0.171205	0.0117959	0.242711	0.0607963	0.089491	0.545868	0.0223891	0.0137899	0.0266964	0.148457	0.0194058	0.0330749	0.0243718	0.0100842	0.00442356	0.0277714	0.00662163	0.00617992	0.00604277	0.0167544	0.0381435	0.0349178	0.00819534	0.0142868	0.00111358	0.00599488	0.0240824	0.00113663	0.100068	0.00745502	0.00502479	0.00267447	0.0104732	0.0662223	0.0154114	0.00133335	0.0410872	0.0109313	0.0383505	0.0526775	0.00799557	0.0240866	0.00598106	0.0377732	0.0226893	0.0271591	0.228692	0.793319	2.95083	0.543912	0.670392	0.549489	0.456578	0.417012	0.60714	0.484137	0.625787	0.496332	0.562126	0.603652	0.467189	0.603769	0.690717	0.495039	0.659018	0.387803	10.53114	8.725264	0.05193077	5.019153	0.5468904	2.148936	5.877266
70	-201458.6	-201471.7	13.11126	0.4653466	0.0901311	0.14513	0.04751	0.0696491	0.11422	0.0949182	0.0647116	0.0689675	0.133937	0.1125	0.14512	0.0752463	0.0859496	0.0909709	0.00655334	0.120794	0.0716138	0.215184	0.0076697	0.0721136	0.116103	0.0616021	0.0663793	0.110903	0.090738	0.104212	0.0752385	0.138912	0.229332	0.0712225	0.090564	0.0173647	0.21425	0.0930516	0.270458	0.122411	0.157733	0.00853446	0.230676	0.0755261	0.0635498	0.508591	0.0206569	0.00937218	0.0209462	0.128687	0.0201544	0.0265621	0.0171468	0.00644424	0.00311027	0.0150937	0.00357883	0.00884094	0.00672604	0.0181591	0.0371731	0.0197054	0.00626633	0.0133014	0.000752893	0.00383983	0.0187699	0.00123338	0.067261	0.00515958	0.00387023	0.00196114	0.00769357	0.061346	0.0119191	0.00145288	0.0183271	0.00929991	0.0216684	0.0493124	0.0076588	0.0162287	0.00587885	0.0342634	0.021398	0.0271591	0.228692	0.793319	2.95083	0.539386	0.658276	0.543096	0.450134	0.443425	0.610411	0.484137	0.605227	0.475614	0.566889	0.60747	0.504119	0.605279	0.679736	0.504936	0.632474	0.400322	11.85621	9.82311	0.0461269	4.957983	0.5468904	2.148936	5.50146
80	-199362	-199378.8	16.75747	0.5467841	0.0820918	0.137911	0.0656065	0.0646445	0.115772	0.089169	0.0779422	0.0678607	0.0980874	0.110281	0.148197	0.0781761	0.0778872	0.0941377	0.00471935	0.113813	0.0552092	0.206303	0.00870495	0.0545423	0.11573	0.0611216	0.0618958	0.119759	0.0977662	0.0967413	0.0736783	0.133137	0.22758	0.0729903	0.0863273	0.0173599	0.233594	0.0924034	0.290183	0.118309	0.109006	0.00641852	0.219178	0.0743212	0.0604545	0.455725	0.015256	0.00924988	0.0136398	0.117388	0.014837	0.0190968	0.0139788	0.00514586	0.0031036	0.0136776	0.00282544	0.00875702	0.00672604	0.0237627	0.0333435	0.0143392	0.00328897	0.0130689	0.000748089	0.00270417	0.0157711	0.00119444	0.0460648	0.00455454	0.00284518	0.00115411	0.005986	0.0624305	0.00891942	0.00115094	0.0137095	0.00816086	0.0142076	0.0316609	0.00632567	0.00985218	0.00287208	0.0302136	0.0138726	0.0423531	0.281365	0.851536	2.82475	0.592861	0.634759	0.546839	0.463545	0.42794	0.617243	0.476387	0.595582	0.484962	0.579736	0.619295	0.441711	0.605279	0.672795	0.516546	0.618089	0.368413	20.01824	16.58551	0.0273196	4.8459	0.5468904	1.828875	5.19062
90	-198022	-198039.7	17.61646	0.5378898	0.0788544	0.125626	0.0830748	0.0609332	0.112819	0.0791567	0.0883461	0.0549118	0.080707	0.109003	0.111471	0.075539	0.0728281	0.104393	0.00494379	0.116524	0.0551521	0.201131	0.00977043	0.0397186	0.106789	0.060281	0.061962	0.108581	0.0963133	0.0931295	0.0743425	0.128668	0.204717	0.0692103	0.0792282	0.0190041	0.207123	0.0791889	0.418808	0.118309	0.110836	0.00532339	0.222541	0.0522513	0.0345704	0.444962	0.00723107	0.00819827	0.00977743	0.0822228	0.0220746	0.0162978	0.00662715	0.00340797	0.00223605	0.0156591	0.00238846	0.0152912	0.00770315	0.0196835	0.0218291	0.00831289	0.0021951	0.0126797	0.00102639	0.00212385	0.00707565	0.000995634	0.039644	0.00429173	0.00210245	0.000829818	0.00580762	0.0579878	0.00815436	0.00192987	0.0117804	0.0121207	0.00956988	0.0329003	0.00617801	0.00938979	0.00194019	0.0239359	0.0100158	0.0406074	0.275933	0.845994	2.83747	0.598588	0.634759	0.548882	0.475259	0.444806	0.647737	0.473136	0.584743	0.538301	0.592861	0.628279	0.459611	0.591088	0.688956	0.505147	0.624042	0.407605	40.91432	31.38707	0.01383099	4.765468	0.5658856	1.859117	4.974659
