Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	disc_rates[1]	disc_rates[2]	disc_rates[3]	disc_rates[4]	gamma	gene_alpha	gene_rate[1]	gene_rate[2]	gene_rate[3]	gene_rate[4]	gene_rate[5]	gene_rate[6]	gene_rate[7]	gene_rate[8]	gene_rate[9]	gene_rate[10]	gene_rate[11]	gene_rate[12]	gene_rate[13]	gene_rate[14]	gene_rate[15]	gene_rate[16]	gene_rate[17]	gene_rate_var	kappa	rate_var	TL
0	-261611.5	-261566.2	-45.3068	1.203638	0.204325	0.152581	0.0731821	0.185378	0.0452371	0.217349	0.0335755	0.0752469	0.136423	0.171892	0.00298214	0.0377801	0.0127227	0.113597	0.0524099	0.083652	0.0946048	0.19086	0.131885	0.321804	0.101471	0.213938	0.223048	0.159467	0.184969	0.116613	0.0558119	0.112719	0.2614	0.219957	0.0628917	0.0620288	0.0276474	0.126661	0.197706	0.0217906	0.170161	0.196788	0.0371778	0.13686	0.198484	0.0865333	0.106591	0.0113801	0.00544067	0.00902847	0.230343	0.0467633	0.0156029	0.0168985	0.0455232	0.0902474	0.0267133	0.0749068	0.0302889	0.0255163	0.0324417	0.105914	0.145702	0.269129	0.0187774	0.0147496	0.123239	0.0886132	0.158274	0.00810661	0.0677245	0.0687022	0.128826	0.0620462	0.000642527	0.0676035	0.0488541	0.200571	0.271694	0.0924351	0.0758744	0.00618366	0.208835	0.0199967	0.0517519	0.175712	0.530436	1.02697	2.26688	0.7573428	1.501212	0.135006	0.156817	0.313454	0.153533	0.109857	0.397206	1.82692	0.640069	1.1968	0.53552	0.822362	0.169754	0.602292	1.14046	1.65275	0.885609	1	0.6661286	23.42329	0.8308148	8.383543
10	-234942.6	-234896.2	-46.35333	0.3341018	0.193127	0.245219	0.0731821	0.212565	0.0538553	0.208889	0.0432574	0.129216	0.150904	0.190586	0.00372876	0.0715084	0.0199328	0.113597	0.0975217	0.169536	0.0878948	0.275137	0.118756	0.190671	0.169685	0.18376	0.146591	0.225607	0.175761	0.154855	0.0864878	0.197289	0.341275	0.128099	0.0901217	0.155154	0.0285095	0.101679	0.401785	0.0465178	0.262838	0.14218	0.0530132	0.156443	0.143106	0.151259	0.0901802	0.0116538	0.00774509	0.00585893	0.130438	0.0340948	0.0230458	0.013968	0.0335299	0.0596572	0.0166319	0.0564204	0.026754	0.0206685	0.023567	0.209474	0.140326	0.133224	0.0152733	0.011592	0.0839978	0.0811374	0.122004	0.00727485	0.0457748	0.0469268	0.0854336	0.0392093	0.000754601	0.0363437	0.0613787	0.128712	0.19558	0.0623784	0.0466844	0.0051667	0.14584	0.0083958	0.0372865	0.00846486	0.131154	0.648869	3.21151	0.7371229	1.216523	0.210948	0.174831	0.464638	0.209723	0.19352	0.378501	1.29363	0.582291	0.815763	0.608391	0.640253	0.232748	0.695603	0.97307	0.916097	1.10253	1	0.8220149	17.475	2.9931	8.495483
20	-221355.8	-221308.1	-47.67975	0.3804341	0.16907	0.256479	0.113162	0.17021	0.0637766	0.175854	0.049768	0.135179	0.192857	0.202822	0.00669809	0.102584	0.0283955	0.136555	0.0853541	0.165124	0.0644113	0.314832	0.0964861	0.162318	0.171746	0.107272	0.120969	0.219848	0.102573	0.164715	0.13217	0.289073	0.503598	0.114186	0.132786	0.130821	0.0330801	0.0822412	0.841455	0.0528603	0.247383	0.103377	0.0895753	0.143201	0.107347	0.21906	0.0894342	0.0165055	0.00752107	0.00558892	0.0749545	0.0247513	0.0280129	0.0129123	0.0221135	0.0396143	0.0156312	0.0506517	0.0176263	0.0189881	0.0102477	0.260279	0.127373	0.104287	0.010147	0.00737348	0.0690494	0.0581776	0.0779974	0.00647647	0.0272866	0.0368669	0.0736914	0.0264895	0.00128342	0.0235177	0.0594044	0.0988772	0.156114	0.0505257	0.0302666	0.00456795	0.100837	0.00861505	0.0232914	0.0139959	0.166996	0.709209	3.1098	0.6978851	1.272379	0.27878	0.213843	0.443768	0.428909	0.342926	0.406712	1.06769	0.545902	0.653028	0.652577	0.529425	0.351515	1.44874	0.783866	0.623749	1.33513	1	0.7859295	15.13284	2.628576	8.678624
30	-213808.3	-213765.9	-42.44271	0.3804341	0.107045	0.235179	0.196064	0.140691	0.106917	0.175854	0.0838176	0.141515	0.205843	0.195279	0.0145208	0.130989	0.0346586	0.16793	0.0661897	0.164421	0.060706	0.368042	0.092215	0.105498	0.172347	0.0765255	0.111277	0.232817	0.0680261	0.190368	0.13217	0.247237	0.668896	0.105629	0.134952	0.110767	0.0788332	0.0836239	0.953204	0.0592895	0.214158	0.0726997	0.116124	0.150122	0.0726496	0.280162	0.0611429	0.0169946	0.00659463	0.00501641	0.0524269	0.0237006	0.0194332	0.0182577	0.019025	0.0237092	0.0243266	0.0342409	0.0103258	0.0227304	0.00823479	0.176037	0.0727556	0.0663832	0.00941144	0.00774501	0.058732	0.0314959	0.0476795	0.00316037	0.0210094	0.0333329	0.0510997	0.0208904	0.00200305	0.0240118	0.0320243	0.0894322	0.0901671	0.0324446	0.0258179	0.0045275	0.0841696	0.0128176	0.0146712	0.0139959	0.166996	0.709209	3.1098	0.6657129	2.189914	0.320138	0.246719	0.462592	0.5359	0.400068	0.385218	0.763463	0.522423	0.527178	0.61504	0.536973	0.34865	1.20184	0.645801	0.489708	0.979876	1	0.4566389	12.9931	2.628576	8.483232
40	-209459.7	-209422.5	-37.18824	0.4463407	0.100319	0.236288	0.208915	0.125482	0.184582	0.178668	0.135667	0.124822	0.159478	0.182293	0.0201657	0.106878	0.0440441	0.144098	0.0413214	0.152435	0.065404	0.328223	0.0744261	0.0789156	0.148803	0.0677569	0.124879	0.210844	0.0587691	0.183984	0.113909	0.230035	0.550838	0.111487	0.127859	0.0856381	0.127663	0.0878361	0.958944	0.089958	0.196244	0.0581623	0.138868	0.13476	0.0711134	0.370448	0.0535359	0.0155232	0.00686447	0.00385436	0.0338331	0.0163273	0.0141361	0.0337592	0.0173951	0.0205566	0.0343172	0.0302732	0.0108217	0.0149608	0.00617584	0.176297	0.0537624	0.0530972	0.00629335	0.0139311	0.0438515	0.023263	0.0426749	0.00349816	0.0136165	0.0232874	0.0383476	0.0143833	0.00217784	0.0189658	0.0215669	0.0870749	0.0672683	0.022347	0.0178942	0.00338418	0.053388	0.019317	0.00800204	0.0239277	0.215451	0.776926	2.9837	0.6657129	2.718453	0.542889	0.269585	0.510015	0.7204	0.421206	0.47741	0.769782	0.592626	0.532619	0.673881	0.596377	0.366949	1.21013	0.69668	0.485464	1.01495	1	0.3678562	11.50905	2.240441	8.081247
50	-203914.3	-203875.9	-38.43486	0.4463407	0.0964443	0.209255	0.229146	0.109823	0.22679	0.163113	0.171691	0.153234	0.162346	0.175711	0.0252002	0.0981848	0.0688959	0.163807	0.0196145	0.164337	0.0611858	0.331047	0.0643988	0.0704787	0.127275	0.0715024	0.127773	0.222123	0.0719332	0.180039	0.125178	0.221698	0.540238	0.108364	0.137754	0.089312	0.218726	0.0861304	0.880954	0.13168	0.196517	0.0544328	0.259338	0.121618	0.0635109	0.520904	0.048391	0.0197705	0.00770478	0.00279538	0.0293996	0.0123557	0.0113429	0.0296853	0.0137139	0.0219905	0.0727165	0.0257706	0.0107398	0.0138783	0.00582871	0.105573	0.0435888	0.0362298	0.00627569	0.0184538	0.0315229	0.030598	0.0330725	0.00338198	0.0115165	0.0113786	0.0227299	0.0107028	0.00166921	0.0186641	0.0252212	0.0780729	0.05223	0.0121982	0.00824476	0.00284283	0.036032	0.0150253	0.0099029	0.0239277	0.215451	0.776926	2.9837	0.6648872	3.388803	0.588261	0.343897	0.423754	0.686687	0.398662	0.435299	0.646704	0.568541	0.506374	0.66314	0.533094	0.357486	0.910241	0.592551	0.546312	1.02313	1	0.2950894	9.793147	2.240441	8.272915
60	-200287	-200240.4	-46.64973	0.4463407	0.123616	0.223173	0.241483	0.111921	0.249848	0.176981	0.203404	0.236854	0.193267	0.183916	0.0403996	0.105721	0.0688959	0.141261	0.0115565	0.16753	0.0692355	0.36839	0.0341993	0.0794003	0.143753	0.075917	0.111686	0.240534	0.0720812	0.223534	0.115691	0.221254	0.527355	0.111197	0.132162	0.0680599	0.25864	0.0922666	0.937127	0.158248	0.221098	0.0385232	0.321446	0.132256	0.0678837	0.940156	0.0385432	0.0204512	0.00951828	0.0029594	0.0244474	0.0125275	0.0138523	0.0182503	0.0086166	0.0353809	0.0832656	0.0244774	0.0134966	0.0126553	0.00566845	0.0749328	0.028843	0.0269202	0.00893532	0.028011	0.0281231	0.0283188	0.0208267	0.00223826	0.00839121	0.0081136	0.0148626	0.0128001	0.00165008	0.0229285	0.0178626	0.058454	0.046275	0.01405	0.00739663	0.00291056	0.0296177	0.0131626	0.00955241	0.0239277	0.215451	0.776926	2.9837	0.6378388	2.74222	0.589074	0.618245	0.404328	0.547369	0.338782	0.391169	0.580931	0.478438	0.415018	0.632701	0.517529	0.344972	0.957631	0.562698	0.493169	0.964766	1	0.364668	8.663645	2.240441	9.081209
70	-198462.4	-198417.3	-45.10107	0.5039461	0.124366	0.221215	0.237759	0.103274	0.215585	0.172313	0.213794	0.243131	0.189032	0.198512	0.0657954	0.107408	0.130117	0.14081	0.00952165	0.169416	0.0703949	0.347127	0.0297391	0.0731327	0.143605	0.0762839	0.104243	0.232816	0.0741716	0.21531	0.124023	0.229337	0.495903	0.115291	0.136337	0.048968	0.342098	0.10016	0.883882	0.160538	0.224861	0.0187879	0.307407	0.128328	0.0677842	0.954487	0.0229011	0.0155112	0.00953057	0.00223121	0.0259579	0.0117772	0.0209684	0.0138314	0.00885206	0.0404006	0.0655551	0.018361	0.014841	0.0167198	0.00768144	0.0741883	0.0265629	0.0137165	0.0103771	0.0348504	0.0227787	0.0239785	0.017401	0.00154604	0.00799276	0.00733422	0.00779856	0.0153352	0.00129284	0.0208749	0.0131473	0.0172548	0.042739	0.0171399	0.00496077	0.00284656	0.0227886	0.00686495	0.00989545	0.0341215	0.254484	0.823119	2.88828	0.604864	3.165381	0.730954	0.573267	0.395202	0.549062	0.319565	0.406792	0.597839	0.551145	0.446679	0.529373	0.557252	0.371868	0.934656	0.532471	0.443537	0.920755	1	0.3159178	7.920883	1.984339	8.965851
80	-195912.8	-195867.7	-45.05481	0.5039461	0.112526	0.221993	0.250433	0.105731	0.208609	0.181873	0.230118	0.209903	0.190975	0.197083	0.109666	0.103003	0.131945	0.146045	0.00765406	0.158226	0.0704947	0.361403	0.0261333	0.0794947	0.142428	0.0821929	0.110586	0.237603	0.0696984	0.183308	0.126617	0.233446	0.444685	0.114562	0.141748	0.0319837	0.354435	0.0939574	0.960782	0.165631	0.220196	0.0104296	0.301675	0.142868	0.0693513	0.942462	0.0207567	0.0120932	0.0120192	0.00172388	0.0236125	0.00759623	0.0293148	0.014308	0.0107007	0.0317054	0.0684158	0.0149509	0.0111502	0.0208012	0.0100815	0.0720351	0.023093	0.0113569	0.016308	0.0374143	0.0195998	0.0207945	0.0141354	0.00158032	0.00734752	0.00480797	0.00595473	0.0151528	0.00131021	0.0234487	0.0111713	0.0124893	0.0256251	0.0197977	0.00223348	0.0023801	0.017732	0.00511684	0.00852811	0.0341215	0.254484	0.823119	2.88828	0.5627199	3.32368	0.645902	0.558221	0.391365	0.538559	0.319929	0.404141	0.556562	0.536596	0.473588	0.599059	0.525532	0.307256	0.872335	0.518906	0.490415	0.872347	1	0.3008713	7.294121	1.984339	8.952598
90	-194883.9	-194839.3	-44.60991	0.5039461	0.114149	0.229451	0.260448	0.1062	0.228447	0.17439	0.21235	0.143485	0.188845	0.198334	0.162659	0.109156	0.132903	0.143	0.0100354	0.162349	0.0719182	0.358279	0.0156788	0.0793041	0.151987	0.0713464	0.107703	0.21689	0.0708761	0.185228	0.126617	0.239421	0.441592	0.122337	0.152726	0.0363303	0.355556	0.102698	0.889177	0.154286	0.205006	0.00788615	0.314358	0.125319	0.0622573	0.885494	0.0404359	0.00917658	0.0132194	0.00125561	0.0292618	0.00849064	0.0326941	0.0143293	0.0131498	0.0260399	0.0759814	0.0139711	0.00888974	0.0163261	0.0115278	0.0628857	0.0201699	0.00561524	0.0166236	0.0546684	0.0190463	0.0257256	0.00690068	0.00147869	0.0056064	0.00564589	0.00574545	0.00894305	0.00165417	0.0294481	0.0138057	0.00889756	0.0212266	0.0467519	0.00190704	0.00307282	0.012968	0.00553149	0.00671546	0.0341215	0.254484	0.823119	2.88828	0.5569508	4.396943	0.660087	0.542139	0.381025	0.503062	0.330542	0.415697	0.539786	0.469936	0.452408	0.591997	0.568619	0.360118	0.845837	0.558021	0.468619	0.830464	1	0.2274308	6.402809	1.984339	8.832257
