Iteration	Posterior	Likelihood	Prior	p	T
0	-9.771278	-6.775545	-2.995732	0.004248455	3.1954
10	-10.12395	-7.128214	-2.995732	0.004050421	3.046048
20	-11.2207	-8.224971	-2.995732	0.003513613	2.641402
30	-9.203679	-6.207947	-2.995732	0.004599495	3.460242
40	-10.15151	-7.155776	-2.995732	0.004035525	3.034816
50	-8.659604	-5.663871	-2.995732	0.00498093	3.748158
60	-9.504497	-6.508765	-2.995732	0.004408114	3.315839
70	-8.514092	-5.51836	-2.995732	0.005091769	3.831849
80	-8.193229	-5.197496	-2.995732	0.00535147	4.02799
90	-6.740745	-3.745012	-2.995732	0.006910672	5.207031
100	-6.109694	-3.113961	-2.995732	0.007945567	5.990966
110	-5.930265	-2.934533	-2.995732	0.008320435	6.2752
120	-5.47318	-2.477448	-2.995732	0.009610987	7.254824
130	-5.391977	-2.396245	-2.995732	0.009935727	7.501595
140	-5.285409	-2.289677	-2.995732	0.01046091	7.900915
150	-5.116018	-2.120286	-2.995732	0.01235098	9.340353
160	-5.115796	-2.120064	-2.995732	0.01236931	9.354333
170	-5.11507	-2.119338	-2.995732	0.0124573	9.421435
180	-5.128623	-2.132891	-2.995732	0.0131608	9.958229
190	-5.226868	-2.231136	-2.995732	0.01438862	10.89633
200	-5.320586	-2.324854	-2.995732	0.01509044	11.43324
210	-5.379432	-2.383699	-2.995732	0.01545767	11.71439
220	-5.200736	-2.205003	-2.995732	0.01414797	10.71234
230	-5.359329	-2.363597	-2.995732	0.01533668	11.62174
240	-5.284041	-2.288309	-2.995732	0.01483854	11.24047
250	-5.223336	-2.227604	-2.995732	0.01435773	10.8727
260	-5.291047	-2.295315	-2.995732	0.01488858	11.27876
270	-5.126877	-2.131145	-2.995732	0.01311861	9.92602
280	-5.22493	-2.229197	-2.995732	0.01437172	10.8834
290	-5.290749	-2.295017	-2.995732	0.01488647	11.27714
300	-5.14689	-2.151158	-2.995732	0.01350193	10.21871
310	-5.119822	-2.12409	-2.995732	0.01290496	9.762959
320	-5.122575	-2.126843	-2.995732	0.01299957	9.835159
330	-5.125384	-2.129652	-2.995732	0.01199239	9.066973
340	-5.247048	-2.251316	-2.995732	0.01069531	8.079231
350	-5.46246	-2.466728	-2.995732	0.009651181	7.285362
360	-5.205164	-2.209432	-2.995732	0.01099966	8.310842
370	-5.14285	-2.147118	-2.995732	0.01166139	8.814751
380	-5.256266	-2.260534	-2.995732	0.01063585	8.033986
390	-5.681104	-2.685372	-2.995732	0.008942725	6.747351
400	-5.533076	-2.537344	-2.995732	0.009398617	7.093503
410	-5.188765	-2.193033	-2.995732	0.01113981	8.41753
420	-5.264265	-2.268532	-2.995732	0.01058597	7.996044
430	-5.115321	-2.119589	-2.995732	0.01241854	9.391877
440	-5.115233	-2.1195	-2.995732	0.01262707	9.550928
