Iteration	Posterior	Likelihood	Prior	T
0	-1292.198	-1289.202	-2.995732	13.69823
10	-1292.736	-1289.74	-2.995732	15.06611
20	-1291.8	-1288.804	-2.995732	7.025885
30	-1291.408	-1288.412	-2.995732	8.574765
40	-1291.572	-1288.576	-2.995732	11.48819
50	-1291.368	-1288.372	-2.995732	9.025664
60	-1291.518	-1288.523	-2.995732	7.932201
70	-1292.587	-1289.592	-2.995732	5.663533
80	-1291.854	-1288.858	-2.995732	6.897397
90	-1291.439	-1288.443	-2.995732	10.69761
100	-1291.421	-1288.425	-2.995732	8.475227
110	-1291.418	-1288.422	-2.995732	10.52902
120	-1292.258	-1289.262	-2.995732	13.86289
130	-1291.38	-1288.384	-2.995732	10.13115
140	-1291.446	-1288.451	-2.995732	10.75325
150	-1291.358	-1288.362	-2.995732	9.253947
160	-1291.446	-1288.45	-2.995732	8.306299
170	-1291.416	-1288.42	-2.995732	8.511665
180	-1293.597	-1290.601	-2.995732	16.9044
190	-1291.537	-1288.542	-2.995732	11.31228
200	-1291.364	-1288.368	-2.995732	9.099933
210	-1291.761	-1288.766	-2.995732	7.12438
220	-1291.914	-1288.918	-2.995732	12.83467
230	-1291.731	-1288.735	-2.995732	12.18041
240	-1292.657	-1289.661	-2.995732	5.575693
250	-1291.699	-1288.704	-2.995732	12.05594
260	-1291.691	-1288.695	-2.995732	12.02245
270	-1291.386	-1288.39	-2.995732	8.785128
280	-1291.376	-1288.38	-2.995732	8.905667
290	-1294.003	-1291.007	-2.995732	4.320152
300	-1291.556	-1288.56	-2.995732	7.775026
310	-1291.379	-1288.384	-2.995732	8.856978
320	-1291.523	-1288.527	-2.995732	11.23319
330	-1292.138	-1289.143	-2.995732	13.52791
340	-1291.359	-1288.363	-2.995732	9.221118
350	-1291.358	-1288.362	-2.995732	9.263005
360	-1291.357	-1288.361	-2.995732	9.656086
370	-1292.139	-1289.143	-2.995732	13.52941
380	-1291.393	-1288.398	-2.995732	10.29066
390	-1291.374	-1288.378	-2.995732	8.935415
400	-1292.464	-1289.468	-2.995732	14.40571
410	-1292.894	-1289.899	-2.995732	15.43003
420	-1291.428	-1288.432	-2.995732	8.425692
430	-1293.373	-1290.377	-2.995732	16.45392
440	-1291.403	-1288.407	-2.995732	10.39273
450	-1291.897	-1288.901	-2.995732	12.77849
460	-1293.154	-1290.158	-2.995732	15.99648
