Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19765.24	-19770.54	5.295991	0.0173227	0.00938834	0.0533459	0.274538	0.037242	0.109373	0.0991614	0.152909	0.0594619	0.113808	0.124111	0.0635307	0.0257168	0.191377	0.199288	0.074018	0.243228	0.140926	0.0130111	0.000681624	0.0334116	0.0754466	0.0947261	0.0477768	0.00327523	0.132677	0.185051	0.0877692	0.0353632	0.0843341	0.0364145	0.25218	0.0152134	0.0527071	0.201811	0.121071	0.219504	0.1311	0.102342	0.00932906	0.0234118	0.0113291	0.000626114	3.959309
1	-19248	-19250.6	2.599585	0.0173227	0.0139491	0.108244	0.274538	0.0593047	0.109373	0.181326	0.164944	0.0594619	0.113808	0.143123	0.131965	0.0376242	0.190483	0.19614	0.114547	0.243228	0.194489	0.0159446	0.000681624	0.0334116	0.0771748	0.137823	0.0459594	0.00530481	0.132677	0.185051	0.0877692	0.0353632	0.0843341	0.0238423	0.25218	0.0152134	0.0527071	0.121276	0.107373	0.219504	0.0831395	0.102342	0.0125513	0.0234118	0.0194143	0.000630008	4.228949
2	-18930.65	-18936.39	5.738327	0.0211755	0.0225899	0.108244	0.217888	0.0593047	0.109373	0.156422	0.166374	0.0594619	0.113808	0.143123	0.138027	0.0376242	0.173704	0.19614	0.118518	0.243228	0.194489	0.0234537	0.000681624	0.0399897	0.112796	0.137823	0.0280726	0.00589424	0.132677	0.17514	0.0634429	0.0353632	0.0843341	0.017572	0.143034	0.0152134	0.0459965	0.10114	0.107373	0.154577	0.0560152	0.102342	0.0125513	0.0257384	0.0137301	0.000630008	3.915075
3	-18603.36	-18609.63	6.27024	0.0333324	0.0238195	0.108244	0.210645	0.0593047	0.131597	0.156422	0.166374	0.0743555	0.113808	0.143123	0.143782	0.0841901	0.173704	0.19614	0.118518	0.155965	0.194489	0.0246864	0.000681624	0.0412008	0.112796	0.137823	0.0280726	0.0077797	0.132677	0.17514	0.0634429	0.0250188	0.0717485	0.017572	0.143034	0.00876381	0.0459965	0.0687455	0.107373	0.1465	0.0570869	0.102342	0.0125513	0.0257384	0.0166698	0.000630008	3.861884
4	-18410.69	-18417.05	6.361701	0.0333324	0.0238195	0.176148	0.210645	0.0862499	0.131597	0.156422	0.166374	0.0823997	0.114723	0.143123	0.143782	0.0841901	0.181126	0.19614	0.118518	0.160394	0.194489	0.0246864	0.000681624	0.0412008	0.112796	0.137823	0.0280726	0.0077797	0.132677	0.17514	0.0634429	0.0250188	0.0458012	0.017572	0.143034	0.00834791	0.0459965	0.0407091	0.107373	0.0929054	0.0359792	0.102342	0.0168478	0.0257384	0.0166698	0.000630008	3.852738
5	-18022.67	-18029.7	7.026966	0.0362683	0.0363125	0.194466	0.210645	0.0896158	0.131597	0.173386	0.166374	0.0823997	0.114723	0.143123	0.143782	0.0841901	0.166275	0.19614	0.130174	0.160394	0.194489	0.0246864	0.000788661	0.0414715	0.112796	0.137823	0.0280726	0.0077797	0.132677	0.1276	0.0634429	0.0277982	0.0341203	0.017572	0.143034	0.00834791	0.0317226	0.0407091	0.107373	0.065522	0.0264571	0.102342	0.0089222	0.0167481	0.0234216	0.000630008	3.786211
6	-17838.69	-17845.43	6.739837	0.0362683	0.0363125	0.165509	0.210645	0.128893	0.131597	0.173386	0.166374	0.0823997	0.118775	0.133187	0.143782	0.0841901	0.166275	0.19614	0.130174	0.160394	0.122413	0.0246864	0.00103434	0.0414715	0.125887	0.186587	0.0306026	0.0134869	0.132677	0.1276	0.0696612	0.047561	0.0341203	0.0204474	0.143034	0.0124949	0.0317226	0.0407091	0.107373	0.065522	0.0275462	0.102342	0.0055918	0.0122111	0.0234216	0.00041804	3.814924
7	-17645.5	-17652.67	7.162482	0.0362683	0.0363125	0.165509	0.210645	0.128893	0.131597	0.173386	0.192685	0.096239	0.118775	0.0946855	0.143782	0.0841901	0.130444	0.19614	0.130174	0.160394	0.122413	0.0340856	0.00168968	0.0414715	0.125887	0.186587	0.0306026	0.0134869	0.132677	0.1276	0.0696612	0.0698648	0.0341203	0.0233958	0.117061	0.0170931	0.0317226	0.0408585	0.107373	0.0658931	0.0275462	0.0675354	0.0087826	0.0122111	0.032394	0.000527012	3.77266
8	-17337.77	-17345.56	7.787864	0.0362683	0.0363125	0.165509	0.158211	0.128893	0.131597	0.173386	0.192685	0.119932	0.141552	0.112037	0.143782	0.0884284	0.130444	0.19614	0.130174	0.168975	0.120912	0.0401351	0.00239771	0.0511916	0.125887	0.186587	0.0306026	0.0145716	0.132677	0.0849204	0.0293613	0.0698648	0.0341203	0.0310365	0.117061	0.0131758	0.0281075	0.052715	0.107373	0.0658931	0.0275462	0.0483249	0.0136462	0.00532977	0.0218243	0.000530912	3.710122
9	-17212.78	-17220.86	8.088159	0.0362683	0.0443014	0.165509	0.158211	0.128893	0.123515	0.162875	0.192685	0.119932	0.141552	0.102578	0.143782	0.0887027	0.126271	0.19614	0.130174	0.177268	0.120912	0.0401351	0.00265789	0.0511916	0.125887	0.186587	0.0306026	0.0145716	0.132677	0.0884747	0.0293613	0.0546895	0.0422873	0.0310365	0.0997886	0.0192565	0.0281075	0.052715	0.107373	0.0658931	0.0275462	0.0483249	0.0136462	0.00532977	0.0218243	0.000556821	3.680092
