Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	gamma	kappa	TL
0	-25392.76	-25312.07	-80.69729	0.418603	0.832626	0.0378093	0.135721	0.0810972	0.0135165	0.043221	0.0434593	0.00347273	0.242822	0.105216	0.00782077	0.0345124	0.322823	0.061837	0.00215131	0.0118786	0.0795163	0.0854832	0.0673449	0.0101363	0.040598	0.130803	0.131914	0.476745	0.057754	0.454421	0.127556	0.170711	0.0602992	0.0106568	0.275344	0.0247622	0.00663801	0.181982	0.127943	0.126478	0.00492572	0.0240884	0.318348	0.0225677	0.134757	0.0279899	0.0102778	0.0409081	0.0424027	0.0753129	0.0250916	0.0168429	0.0327038	0.171237	0.023415	0.219193	0.33469	0.102816	0.104961	0.168582	0.0188522	0.0329195	0.0875499	0.0354935	0.0343035	0.0117643	0.098719	0.0535487	0.0869738	0.00218235	0.416284	0.0145586	0.0233055	0.167757	0.10992	0.0457223	0.0894498	0.149516	0.0542953	0.0249545	0.0126288	0.0729994	0.128773	0.107488	0.0569941	0.00695542	0.235097	0.105872	0.0319869	0.223709	0.0373226	0.0570027	0.143698	0.00567729	0.0963102	0.00815716	0.148725	0.21941	0.0916913	0.0568311	0.00890189	0.212955	0.0653461	0.109467	0.329319	0.0529272	0.176497	0.00703551	0.109227	0.0327823	0.0474967	0.26614	0.169765	0.0590805	0.108953	0.015118	0.0171032	0.0943089	0.040407	0.232947	0.0463434	0.0498599	0.05993	0.22586	0.27776	0.0856437	0.0171028	0.0662805	0.9069402	4.592438	13.33674
10	-16202.81	-16190.96	-11.84983	0.167702	0.377407	0.0523988	0.031271	0.0658596	0.0221356	0.0977647	0.0652598	0.0109632	0.108929	0.119729	0.0340556	0.0483145	0.210335	0.03137	0.00590203	0.0187085	0.0861264	0.0624896	0.0581471	0.0200187	0.0574153	0.0609581	0.057047	0.217967	0.0343619	0.163311	0.0470166	0.0439749	0.0113416	0.00615628	0.149553	0.0971136	0.0110847	0.0819466	0.0912359	0.0513987	0.0155226	0.0196801	0.077365	0.0212479	0.0925503	0.0398808	0.0191078	0.036339	0.0271937	0.0357508	0.0666233	0.0223076	0.0320703	0.195886	0.0542301	0.0775132	0.0553194	0.044123	0.035475	0.0771405	0.0295136	0.050555	0.0389015	0.0752805	0.0828769	0.0136396	0.177204	0.0211903	0.0445747	0.000505961	0.0393834	0.00530219	0.00251918	0.100722	0.0454256	0.0126276	0.0395368	0.0598405	0.0236538	0.0169598	0.00145736	0.0352964	0.0443612	0.043704	0.0247683	0.00292486	0.0287859	0.0691621	0.00816813	0.0246429	0.0514415	0.0418054	0.0652139	0.00246265	0.0332243	0.00839252	0.0230189	0.0216518	0.00981812	0.0051531	0.00306267	0.0293456	0.0145483	0.0357888	0.100456	0.0113511	0.0584452	0.0120059	0.0367486	0.00550886	0.0158268	0.192054	0.0333116	0.0384049	0.0444022	0.00499127	0.0148333	0.0357295	0.00930491	0.159707	0.0147208	0.0410542	0.0189151	0.0712412	0.0838427	0.0219002	0.00719327	0.0114193	0.7622833	2.404425	6.473876
20	-14496.99	-14494.26	-2.724423	0.131396	0.0808017	0.0532821	0.00974406	0.167645	0.029587	0.110158	0.0416357	0.0301169	0.0954835	0.195347	0.0543767	0.0455443	0.175221	0.048636	0.0234477	0.0306622	0.0827834	0.0508667	0.130099	0.123607	0.0766264	0.071879	0.0560312	0.129501	0.0401008	0.0673329	0.0647875	0.0489804	0.0467791	0.0216802	0.0725386	0.146531	0.0502655	0.0270413	0.0759427	0.0446788	0.0147677	0.0326555	0.0693603	0.0148312	0.112203	0.0406172	0.0576038	0.0241361	0.0574409	0.0394156	0.0736239	0.0556963	0.0383058	0.24632	0.0645843	0.0804649	0.0553194	0.0658211	0.0374281	0.043425	0.0442354	0.0575232	0.0524651	0.166894	0.108808	0.0229784	0.176618	0.00899614	0.00397334	0.00160471	0.0110165	0.00600583	0.00184042	0.0469447	0.0113689	0.0131288	0.00438769	0.0252746	0.0122598	0.0120576	0.000490397	0.00935922	0.0414976	0.0144707	0.017458	0.00491959	0.0236961	0.0264125	0.00910333	0.00829495	0.051653	0.00776582	0.0690721	0.00767797	0.0153086	0.00777461	0.0161737	0.0122033	0.00702308	0.000703843	0.00521944	0.0180641	0.0100714	0.0124699	0.0148665	0.0166195	0.0374569	0.017949	0.0115098	0.00289499	0.00216428	0.0684297	0.0225265	0.0188886	0.0203322	0.00262022	0.00996773	0.023436	0.00261189	0.0264975	0.00981956	0.010333	0.0051916	0.0296093	0.0171253	0.00233106	0.00349208	0.00949286	0.6697424	3.879321	5.546587
30	-13938.85	-13933.79	-5.059179	0.151851	0.0675831	0.0724135	0.0130119	0.169467	0.0538441	0.1034	0.0440474	0.0512593	0.0772109	0.195347	0.0377866	0.0328518	0.293872	0.049548	0.0390949	0.0344614	0.0605032	0.0875244	0.0810139	0.127266	0.097346	0.0611381	0.0721582	0.133041	0.0515153	0.0356285	0.0279441	0.0466937	0.0218214	0.0174592	0.0855758	0.113408	0.0637871	0.0341852	0.0657081	0.0464584	0.0223021	0.0464421	0.141694	0.03549	0.0900299	0.0340441	0.210288	0.0197132	0.074156	0.0498859	0.0831187	0.0528715	0.0482154	0.274852	0.0662619	0.0802684	0.0808459	0.0794028	0.0163571	0.0663095	0.0416645	0.0748202	0.067707	0.142576	0.0960635	0.0352863	0.20358	0.00128908	0.00253731	0.00634898	0.0120947	0.0122061	0.000862854	0.0172782	0.00339691	0.00829889	0.00355169	0.0180268	0.00700121	0.00357397	0.000988792	0.00286705	0.0178228	0.005634	0.0141981	0.00534701	0.0215876	0.00778235	0.00789969	0.00459781	0.0740549	0.0052867	0.0691804	0.0120534	0.0097345	0.00907487	0.0094688	0.0167484	0.0125346	0.00139195	0.0043601	0.0358435	0.0145814	0.0127479	0.0110989	0.0502476	0.0139928	0.00648483	0.00890463	0.00151977	0.0040504	0.0247452	0.0243038	0.0106631	0.00228303	0.00217579	0.00530458	0.00976915	0.00193259	0.0185083	0.00505364	0.00618442	0.009049	0.0141325	0.0198943	0.00375033	0.00192245	0.00240799	0.6003787	3.675391	5.782102
40	-13755.4	-13749.94	-5.456124	0.134007	0.0715518	0.0802117	0.0102678	0.178826	0.0479923	0.0620715	0.0601381	0.0645559	0.114448	0.179408	0.0379735	0.0324236	0.221759	0.0407177	0.0390558	0.041733	0.0913894	0.0842708	0.0967124	0.120271	0.103404	0.0677623	0.057804	0.154727	0.0493639	0.0406821	0.0479732	0.0537922	0.044144	0.0423986	0.0901907	0.122874	0.070386	0.0382422	0.0979312	0.0435863	0.0190372	0.0353224	0.0890927	0.0191038	0.106276	0.034324	0.22418	0.0177123	0.0563149	0.0442514	0.092406	0.0804195	0.050816	0.199965	0.104539	0.0713755	0.0827631	0.0504677	0.0262574	0.0731504	0.039952	0.0748202	0.0633197	0.146122	0.0987919	0.0247156	0.215231	0.000502207	0.00210097	0.00245816	0.00945224	0.00516237	0.000436089	0.0230174	0.00373735	0.00565615	0.00748186	0.0128783	0.0072865	0.0021778	0.00246293	0.00104791	0.0162457	0.0154475	0.00468095	0.00515696	0.031642	0.0206138	0.00301388	0.00895906	0.0692176	0.00251249	0.100606	0.00534549	0.00435776	0.0167668	0.0217046	0.059308	0.00936756	0.00108054	0.00272323	0.0287754	0.00763436	0.00559221	0.00733523	0.0466248	0.00370241	0.00498238	0.00450202	0.00123394	0.00221228	0.017114	0.0287076	0.0100222	0.00552798	0.00361897	0.00192433	0.0113589	0.00616814	0.00990228	0.0035749	0.00277336	0.00492866	0.00696085	0.0313243	0.00211378	0.00195742	0.000843793	0.5118047	3.675391	5.821796
50	-13586.65	-13580.29	-6.357326	0.154929	0.0475475	0.0652763	0.01067	0.158132	0.0566255	0.100344	0.0540341	0.0631797	0.0914954	0.220585	0.0471632	0.0389623	0.0555912	0.0321791	0.0568074	0.0370402	0.0675739	0.0731725	0.0866122	0.141413	0.0812311	0.0656636	0.0550277	0.121142	0.0845942	0.0403637	0.0247657	0.0548886	0.256881	0.0187263	0.106103	0.109827	0.0743363	0.0486938	0.068282	0.0408599	0.00646431	0.0416363	0.0938508	0.0174439	0.128137	0.0368771	0.162471	0.020617	0.0748395	0.0472747	0.0592098	0.086181	0.0489627	0.308224	0.0585666	0.0803044	0.0827631	0.0623557	0.0220886	0.0546054	0.0627755	0.0740593	0.079635	0.148547	0.127066	0.028015	0.176759	0.00102751	0.00121477	0.00131902	0.0125794	0.00163811	0.00127284	0.0053842	0.0188867	0.00413587	0.0163475	0.00690687	0.00471415	0.00235477	0.00278312	0.000925404	0.0281275	0.0153316	0.00281721	0.034733	0.0214186	0.0448597	0.00102505	0.0238198	0.0876397	0.0157318	0.0890765	0.00308414	0.00580224	0.00829792	0.0108176	0.0600573	0.00338669	0.000811257	0.00418708	0.0422928	0.00669378	0.00228177	0.00181867	0.0779624	0.00948771	0.00945007	0.00452853	0.00353234	0.000730993	0.00347351	0.00857629	0.00855765	0.0091523	0.00257242	0.00204002	0.0153709	0.00904661	0.00765549	0.00120865	0.00164363	0.00208818	0.00251497	0.0253742	0.000553688	0.00295711	0.00101277	0.4868694	4.312814	5.905542
60	-13500.21	-13492.66	-7.556966	0.142989	0.0475423	0.0587519	0.00375794	0.172557	0.0698633	0.0723998	0.0751155	0.0623048	0.0841806	0.197578	0.0407423	0.0670822	0.118687	0.0421265	0.0762104	0.0704074	0.0674789	0.0595632	0.0974176	0.121683	0.0985888	0.0672673	0.0514557	0.125204	0.0584579	0.0360454	0.0578767	0.056336	0.187276	0.0363325	0.121695	0.145658	0.0835071	0.0313341	0.0889454	0.061186	0.00807364	0.0371443	0.115381	0.00970318	0.0804479	0.0375819	0.171963	0.0241069	0.0956879	0.0429587	0.0842798	0.0848592	0.0640607	0.293552	0.0756978	0.0888502	0.0938723	0.0571337	0.0222433	0.0852669	0.0435537	0.0770271	0.0369208	0.138927	0.110649	0.0314851	0.260075	0.00200418	0.00116303	0.00494018	0.0186064	0.00567749	0.00234216	0.00348818	0.0247839	0.00330053	0.00678091	0.00349661	0.00388097	0.0049625	0.00254709	0.000853412	0.0249934	0.00982148	0.00168758	0.0217096	0.0303359	0.0422603	0.00227404	0.0172772	0.100938	0.00762889	0.0279768	0.0158778	0.00310825	0.0101513	0.007459	0.0575592	0.0049057	0.000970535	0.00313964	0.0297031	0.00638079	0.00349555	0.0024288	0.0473172	0.0239446	0.00805403	0.00788519	0.00296905	0.000550366	0.00496793	0.0123285	0.00425088	0.00874681	0.00125138	0.00307454	0.00523822	0.00399064	0.01901	0.00104555	0.00031983	0.00512818	0.00220679	0.0117598	0.000313543	0.0027586	0.000428558	0.4784802	4.307692	6.025557
70	-13403.69	-13398.31	-5.377288	0.155237	0.0534291	0.071667	0.00258639	0.165048	0.0589422	0.0932703	0.0674878	0.0547908	0.103666	0.19984	0.0567809	0.0453435	0.126411	0.0561415	0.0627534	0.0732267	0.0718486	0.0645489	0.065316	0.111519	0.0693611	0.0868946	0.0728194	0.148292	0.0586147	0.0426492	0.0260753	0.0403755	0.0241071	0.056504	0.0952077	0.124001	0.0910761	0.0309152	0.0839776	0.0312973	0.0164751	0.0374789	0.0832159	0.0340775	0.101669	0.0378964	0.16271	0.0343082	0.0943018	0.0806558	0.0995073	0.0797395	0.0397342	0.26862	0.0800862	0.0769453	0.0657426	0.0456911	0.0148904	0.0537887	0.0474947	0.0695877	0.0383656	0.199566	0.131509	0.0293096	0.237703	0.00654345	0.000815946	0.00287327	0.012208	0.0107523	0.000922206	0.0096175	0.0144754	0.00168847	0.00726902	0.00285259	0.0137164	0.00176047	0.0133438	0.0012439	0.0291073	0.00393901	0.00175783	0.0536834	0.029057	0.0222932	0.00746038	0.00421768	0.0765983	0.00911904	0.0820238	0.0156592	0.00125646	0.0139414	0.0125402	0.0291899	0.00369123	0.00274066	0.00750648	0.0216152	0.00694814	0.00415728	0.00429476	0.0541925	0.0171549	0.00400331	0.0120506	0.00177318	0.000557105	0.00337657	0.00406623	0.00113271	0.0109564	0.00535006	0.00538512	0.00319928	0.00559138	0.0131952	0.00154014	0.0029661	0.00222307	0.00215042	0.00641093	0.000744571	0.00413839	0.00145166	0.4917817	4.108397	5.809583
80	-13361.5	-13355.09	-6.409587	0.17559	0.0802524	0.0911702	0.0027678	0.152142	0.0590754	0.0862383	0.0889242	0.0577965	0.0753994	0.195798	0.0698436	0.0624148	0.120408	0.0442956	0.0714679	0.0339144	0.0695061	0.0633366	0.0842302	0.140374	0.0784661	0.0780917	0.0349722	0.148292	0.0688423	0.0396892	0.0304155	0.05827	0.0304573	0.0807868	0.0949412	0.123792	0.0895824	0.0397189	0.0792609	0.0381395	0.00670388	0.0582327	0.100543	0.0399805	0.107425	0.0457857	0.230002	0.0363584	0.0976612	0.0621843	0.0853943	0.082565	0.0546309	0.241425	0.0472959	0.0730537	0.0694833	0.0566619	0.017827	0.0644073	0.0304652	0.0952322	0.0583517	0.199566	0.13123	0.0378403	0.198196	0.00583232	0.00130138	0.000834661	0.0153975	0.00655802	0.00138568	0.0112297	0.01968	0.00218631	0.00468775	0.00675698	0.00534295	0.000770051	0.00982862	0.00214238	0.035816	0.00774742	0.00124677	0.0314294	0.0322396	0.00616275	0.00388717	0.00659843	0.0590506	0.00366461	0.0654453	0.0123483	0.00204996	0.0209398	0.0156548	0.036492	0.00358961	0.00346499	0.00989296	0.0166754	0.00454486	0.00635054	0.00833045	0.0560216	0.00729055	0.00381819	0.0109406	0.000990915	0.00139005	0.00163913	0.00756856	0.000380263	0.00677411	0.00326289	0.0057703	0.00229759	0.00632018	0.0102132	0.000665387	0.003541	0.00209309	0.00878008	0.00910988	0.00147103	0.00522954	0.00364121	0.4855994	3.996544	5.913931
90	-13321.26	-13317.26	-4.00884	0.140672	0.0611861	0.0999719	0.00348172	0.152142	0.0590754	0.0829861	0.0650588	0.0533539	0.0975776	0.197051	0.0599833	0.0508076	0.128957	0.0580003	0.0666162	0.0506742	0.0369755	0.048709	0.0847982	0.133766	0.0929562	0.0867142	0.0475483	0.16241	0.0614742	0.0431368	0.0186703	0.0625903	0.0279984	0.0945654	0.0539441	0.10643	0.0937907	0.0606007	0.0976042	0.0228006	0.00933619	0.038518	0.082922	0.0177356	0.107425	0.0403877	0.162729	0.0269808	0.0851562	0.0461609	0.0761336	0.0589863	0.0524342	0.273762	0.0686079	0.0947969	0.0619932	0.0560031	0.025073	0.0492743	0.0456894	0.0823117	0.0418345	0.138857	0.0979632	0.0228677	0.255297	0.00320497	0.00374521	0.000854914	0.0150895	0.00456614	0.00233838	0.00836063	0.0218786	0.00534216	0.00420348	0.005535	0.00523422	0.000346101	0.0106625	0.00286508	0.0397786	0.00803537	0.00150901	0.0217267	0.0402886	0.00576674	0.00666967	0.0100822	0.091897	0.00840815	0.081346	0.0108374	0.000675064	0.0078149	0.00598104	0.0436955	0.00167307	0.00198051	0.00269091	0.0206563	0.00248114	0.0104755	0.00559557	0.052799	0.00977386	0.00648674	0.00773854	0.00166339	0.000723343	0.00290756	0.0141374	0.000855502	0.00745102	0.00219391	0.00402944	0.00297557	0.00771124	0.00579453	0.000854749	0.00161041	0.0042488	0.0060256	0.00688119	0.00113809	0.00167162	0.00975972	0.4788598	4.578436	5.668037
