Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-7455.595	-7461.419	5.823472	0.0598795	0.198286	0.0308169	0.0199001	0.010178	0.0804449	0.24334	0.0484384	0.0290834	0.114205	0.00209988	0.0290416	0.513585	0.11754	0.0589033	0.00261917	0.0405959	0.00351066	0.0258789	0.0283493	0.0553874	0.323858	0.0780998	0.0399179	0.0145138	0.212372	0.00133276	0.00852857	0.0858303	0.0992756	0.0719039	0.126114	0.460578	0.19502	0.0806791	0.00938495	0.0520121	1.262246	0.8943869	0.239855	0.0961508	0.12801	0.535984	3.571505
10	-6257.948	-6267.559	9.610998	0.226389	0.100777	0.0920878	0.0872855	0.0671626	0.208993	0.0732177	0.0939775	0.0998092	0.081232	0.00686239	0.0763924	0.150242	0.269	0.0807046	0.00786925	0.10808	0.00582039	0.16059	0.0585465	0.0442488	0.0717148	0.0240031	0.0204785	0.00330245	0.140589	0.00295936	0.00648068	0.0470557	0.00999948	0.0204873	0.0292379	0.379851	0.0391725	0.0377531	0.0159369	0.00762925	3.997931	0.5268386	0.200274	0.0802838	0.271907	0.447535	2.955939
20	-5504.695	-5519.275	14.57965	0.293889	0.0688956	0.0689047	0.0597838	0.0633341	0.231359	0.122373	0.11816	0.0774129	0.0434582	0.0386156	0.0727084	0.0664901	0.238281	0.0506245	0.0245922	0.0822888	0.0365095	0.101624	0.289026	0.0235659	0.051992	0.00727317	0.0085724	0.00267924	0.0310401	0.00205153	0.0118352	0.015083	0.00541856	0.00424382	0.00819387	0.130329	0.0245998	0.00579355	0.0107682	0.00436038	3.453114	0.7010871	0.36343	0.125	0.224359	0.287211	2.496131
30	-5342.911	-5360.854	17.94345	0.173973	0.0705413	0.055849	0.05296	0.0682962	0.180737	0.0718838	0.0586824	0.0565094	0.0583678	0.116346	0.0563191	0.100558	0.268133	0.0478263	0.0346822	0.0943736	0.0446411	0.0646552	0.271156	0.00335879	0.0229338	0.00312046	0.00543062	0.00213823	0.0140608	0.00210293	0.0324843	0.00449965	0.00403174	0.00548542	0.00544814	0.025676	0.00580722	0.0117579	0.00697297	0.00968354	3.779919	0.8569579	0.370647	0.127483	0.208955	0.292915	2.111483
40	-5284.761	-5303.729	18.96879	0.16945	0.048995	0.0525395	0.0717969	0.073703	0.174335	0.0640077	0.0716878	0.0531236	0.046556	0.120969	0.0673633	0.0696435	0.240316	0.0776769	0.0478709	0.0669758	0.0417856	0.0685019	0.226148	0.000666004	0.0330059	0.00950243	0.00628734	0.00147399	0.0128092	0.00172794	0.0310663	0.00187834	0.00576134	0.00474747	0.00340456	0.0140849	0.00137997	0.0192662	0.00440129	0.00705269	3.780787	0.8259635	0.341848	0.133316	0.218517	0.306319	2.011962
50	-5123.438	-5144.725	21.28747	0.160272	0.0562447	0.0527311	0.0580778	0.0718567	0.156271	0.0866973	0.0721779	0.0357875	0.0730416	0.0983326	0.0528297	0.0668362	0.133579	0.0646772	0.0307731	0.0777555	0.0326498	0.0683213	0.172547	0.00131887	0.0158613	0.0185841	0.00196549	0.00156033	0.00634735	0.000826563	0.0487988	0.000916976	0.0233071	0.00383142	0.00266502	0.00679843	0.000657385	0.0038521	0.00334697	0.00899832	3.705529	0.9912002	0.276382	0.239827	0.227557	0.256234	1.771096
60	-5018.775	-5040.157	21.38241	0.14103	0.0585736	0.0281869	0.0742341	0.0924301	0.19995	0.0608994	0.0492268	0.0355803	0.0328712	0.107287	0.0599772	0.0898322	0.142705	0.0725821	0.0425716	0.0630251	0.0289369	0.0675596	0.122362	0.000655559	0.0397984	0.0188383	0.0043993	0.00760116	0.00376051	0.00243548	0.0312897	0.00147314	0.0409796	0.00596766	0.00614348	0.00165196	0.000643466	0.0157656	0.00277117	0.00674531	3.705529	0.9998064	0.276382	0.239827	0.227557	0.256234	1.760741
70	-4929.617	-4951.995	22.37828	0.144542	0.0752618	0.0242626	0.0479475	0.0810955	0.150231	0.0673969	0.0592568	0.0454505	0.0143643	0.0906692	0.0544013	0.0971413	0.0677684	0.0721631	0.0221629	0.0641856	0.0363341	0.0509658	0.0734289	0.00012644	0.0351577	0.0255482	0.00168925	0.00663135	0.00449765	0.00727916	0.0405192	0.00166299	0.0268936	0.00507045	0.00867245	0.00180392	0.00198532	0.139495	0.0024399	0.0157564	3.705529	0.9687641	0.271304	0.24151	0.229154	0.258032	1.664258
80	-4906.398	-4929.343	22.94489	0.133978	0.0437177	0.0346498	0.0468663	0.0919601	0.172418	0.0842142	0.0403953	0.0550767	0.00795705	0.121011	0.033068	0.0946056	0.0593372	0.0357469	0.0245957	0.0746988	0.0298877	0.0795454	0.0557837	0.00023368	0.037276	0.00857223	0.00148113	0.00794693	0.00189785	0.00571085	0.0196861	0.00277544	0.0134295	0.00422803	0.0087458	0.0027892	0.00135774	0.168404	0.000957932	0.00506228	3.705529	0.9440555	0.271304	0.24151	0.229154	0.258032	1.610068
90	-4892.381	-4913.923	21.542	0.135672	0.0345482	0.0229312	0.0588208	0.0911633	0.192096	0.074699	0.0474685	0.0679872	0.00540076	0.0938079	0.0724079	0.105239	0.0898872	0.0449665	0.0255221	0.0747576	0.0392831	0.0829099	0.0695051	0.000383043	0.0300235	0.00651193	0.00415805	0.0109609	0.00111618	0.00221677	0.0356913	0.00905791	0.01295	0.00836813	0.0134269	0.00933872	0.00346215	0.143987	0.00149914	0.000585987	3.938471	0.9865738	0.270725	0.240994	0.228665	0.259617	1.722811
100	-4849.273	-4871.147	21.87413	0.172353	0.0553413	0.0150794	0.0427449	0.0842459	0.18259	0.0685721	0.0618712	0.0335954	0.00409646	0.101452	0.0533469	0.0910851	0.0721869	0.0554295	0.0491285	0.0565592	0.0417627	0.0559883	0.0669158	0.00115072	0.0282503	0.00660377	0.0139723	0.0132839	0.00479706	0.00177808	0.037381	0.00671228	0.0146611	0.0130688	0.00810918	0.00870847	0.00195086	0.136357	0.00682247	0.000943805	3.970171	1.161898	0.272968	0.234704	0.230559	0.261768	1.668896
110	-4776.692	-4799.163	22.47174	0.117636	0.0565945	0.0240204	0.0194919	0.122842	0.205565	0.0585901	0.034093	0.033835	0.00224608	0.079485	0.0653065	0.100136	0.0663705	0.0344477	0.0299917	0.0486082	0.0348403	0.0703137	0.0954911	0.00622096	0.040541	0.00714526	0.0155091	0.00672692	0.00842771	0.00525681	0.022498	0.0238734	0.00934556	0.0096475	0.00700361	0.00425813	0.0151698	0.140642	0.00826383	0.00108964	3.802574	1.105603	0.272968	0.234704	0.230559	0.261768	1.631523
120	-4750.384	-4773.48	23.09565	0.13572	0.0565945	0.0262245	0.0216495	0.0815533	0.136947	0.0737431	0.0464637	0.0515205	0.00421697	0.100046	0.0422299	0.0957092	0.053605	0.0462177	0.0402488	0.0595982	0.0327095	0.0527367	0.0783075	0.0145072	0.0398267	0.00391332	0.00346241	0.0018847	0.00617622	0.00383701	0.033637	0.00926531	0.0103711	0.00974785	0.00430801	0.00878097	0.0143466	0.153956	0.00918289	0.00312466	3.981133	0.9546877	0.273922	0.23203	0.231365	0.262683	1.566369
130	-4747.102	-4770.4	23.29777	0.139866	0.0543316	0.033412	0.0124105	0.117849	0.14349	0.0699284	0.0508155	0.0373303	0.0117338	0.0915696	0.0476422	0.0821833	0.0613052	0.0386559	0.025014	0.064753	0.0455877	0.0444315	0.0726548	0.0150887	0.0472093	0.00436338	0.0144243	0.00399836	0.0078174	0.00153603	0.0254794	0.0128593	0.00793157	0.00713505	0.00550215	0.00844278	0.00860284	0.146263	0.00406561	0.00131334	3.77274	0.9546877	0.273922	0.23203	0.231365	0.262683	1.566996
140	-4760.22	-4782.405	22.18502	0.159361	0.0517487	0.0394978	0.0329304	0.0731502	0.219382	0.0369308	0.0682809	0.0290993	0.00758908	0.0895172	0.054071	0.0757314	0.104872	0.0585968	0.0329614	0.0500911	0.0492289	0.0706999	0.0604844	0.015549	0.0423188	0.00519151	0.0076324	0.00465653	0.00324088	0.00304374	0.0280074	0.0138692	0.0171097	0.00922767	0.00510732	0.0067591	0.00291124	0.131938	0.00903861	0.00207255	3.836466	0.9546877	0.275573	0.227401	0.23276	0.264266	1.671898
150	-4752.585	-4775.801	23.2159	0.174267	0.0334512	0.0241033	0.0182807	0.0841378	0.160409	0.0652354	0.0453089	0.0399138	0.00821145	0.110432	0.0290035	0.0938424	0.0789519	0.0467255	0.0284433	0.0630735	0.0399623	0.0733489	0.0397069	0.0279738	0.0288585	0.0071206	0.00395552	0.00203851	0.00481546	0.00178281	0.0190883	0.0160339	0.0199461	0.00788703	0.00559176	0.00727604	0.00364329	0.185882	0.00264627	0.0042002	3.477099	0.9466654	0.275573	0.227401	0.23276	0.264266	1.605549
160	-4737.581	-4760.73	23.14848	0.149031	0.0606955	0.0344793	0.0271075	0.112518	0.154369	0.065147	0.0431364	0.0392903	0.00664048	0.0872068	0.0318915	0.0809902	0.0775038	0.0545976	0.0406101	0.0540804	0.0292074	0.0814232	0.0401645	0.0238765	0.0226935	0.00594165	0.00700685	0.00597849	0.00398485	0.000733669	0.0356464	0.00554477	0.0159472	0.00358213	0.00630674	0.00294586	0.00242243	0.134403	0.000690692	0.00143447	3.958416	1.095974	0.275573	0.227401	0.23276	0.264266	1.549228
170	-4717.369	-4738.858	21.48827	0.146975	0.0490802	0.0419644	0.0301827	0.0989901	0.150432	0.0690036	0.0525147	0.0300854	0.00439269	0.0868784	0.045901	0.10185	0.0974935	0.0647421	0.0313149	0.0508799	0.0327967	0.0756704	0.0696417	0.030822	0.0419847	0.00392161	0.00769553	0.00584081	0.00250034	0.00363491	0.0325463	0.00362795	0.0171531	0.0036601	0.0054904	0.00183673	0.00231399	0.191027	0.00200617	0.00250236	4.268249	1.045102	0.258395	0.23731	0.228513	0.275781	1.689353
180	-4714.266	-4736.647	22.38109	0.153769	0.0519367	0.0326008	0.0195194	0.102976	0.180374	0.0536833	0.0385448	0.0290307	0.00289736	0.0949805	0.0405279	0.100456	0.0580741	0.0506093	0.0467729	0.046209	0.0504604	0.0604772	0.0865904	0.0346768	0.0446153	0.00542465	0.00639605	0.0161938	0.00267573	0.00215036	0.0145344	0.00197204	0.00689242	0.00132052	0.00506547	0.00299101	0.00238339	0.126932	0.00776108	0.00306445	4.417171	1.041515	0.262725	0.241286	0.215586	0.280402	1.585538
190	-4712.497	-4734.55	22.05328	0.142977	0.0625213	0.0295871	0.0179836	0.0878364	0.159821	0.0643671	0.071535	0.0362049	0.00591398	0.0764322	0.0452935	0.105067	0.0781181	0.0624362	0.0346667	0.040183	0.025492	0.076171	0.0701652	0.0305226	0.0419953	0.00206239	0.00597553	0.00780654	0.00339956	0.00552265	0.0199922	0.000734573	0.0054516	0.00148817	0.0030667	0.00181933	0.00215389	0.168982	0.0126261	0.00212628	4.510079	1.04681	0.262725	0.241286	0.215586	0.280402	1.608498
200	-4718.417	-4739.923	21.50542	0.163148	0.0493197	0.033689	0.0145622	0.0605076	0.207923	0.0693209	0.0467615	0.037694	0.00768382	0.0795516	0.0523747	0.105688	0.0836755	0.0701828	0.0393637	0.0551836	0.0250373	0.0685652	0.0504628	0.0307844	0.0695734	0.00220108	0.00768552	0.0101329	0.000686843	0.00324935	0.0231348	0.00225925	0.0131149	0.0102585	0.00149969	0.00635092	0.00399063	0.184237	0.0137561	0.0028729	4.030005	1.09491	0.262725	0.241286	0.215586	0.280402	1.706482
210	-4694.002	-4716.951	22.94981	0.154766	0.066341	0.0197628	0.0159687	0.0896368	0.170311	0.0635392	0.0559326	0.0333142	0.00694493	0.0774929	0.0461357	0.10436	0.0927213	0.0431733	0.0275238	0.0471495	0.0382934	0.0703258	0.0628645	0.0361534	0.0203732	0.00248715	0.00528714	0.00669871	0.00186833	0.00514372	0.0237533	0.000931043	0.0114468	0.00832049	0.00252766	0.00441049	0.00473254	0.154841	0.00863433	0.0020745	3.841808	1.041126	0.262725	0.241286	0.215586	0.280402	1.586241
220	-4684.867	-4708.047	23.18033	0.160864	0.0518402	0.0225836	0.0247963	0.0585961	0.169467	0.0690796	0.0372864	0.0403793	0.01149	0.0958386	0.0376882	0.10436	0.057596	0.054226	0.0327182	0.051402	0.0410926	0.0561244	0.0409108	0.0220923	0.0380703	0.00208913	0.00445056	0.0112727	0.00401659	0.00450861	0.0188891	0.000530758	0.0092903	0.00955926	0.00440782	0.00469827	0.00728492	0.16033	0.00107761	0.000688008	4.257751	1.041126	0.272329	0.249014	0.223467	0.25519	1.521595
230	-4678.886	-4702.692	23.80543	0.140041	0.0575599	0.0224121	0.0168609	0.0683062	0.164053	0.0767856	0.0443142	0.050364	0.00471346	0.0750715	0.0508554	0.0782235	0.0496686	0.0549402	0.0383282	0.0552505	0.0423692	0.0819605	0.0516315	0.0163881	0.0279898	0.00383241	0.00946991	0.00432631	0.00232641	0.0031617	0.0217986	0.000380391	0.008056	0.0167065	0.00485914	0.00122555	0.0029359	0.16033	0.00147497	0.000983512	3.731183	1.058988	0.272329	0.249014	0.223467	0.25519	1.509955
240	-4681.859	-4704.949	23.09056	0.189194	0.0692619	0.0317636	0.0188096	0.0696567	0.155717	0.0493542	0.0431306	0.0466961	0.00693035	0.0902555	0.0378945	0.0823636	0.0636411	0.0406715	0.0318029	0.0543732	0.0307908	0.0683729	0.0838533	0.0378409	0.0466811	0.0044316	0.00334535	0.00935754	0.0050243	0.0125582	0.0284813	0.000324431	0.00787533	0.0200824	0.0064045	0.000828193	0.00201356	0.148113	0.00243504	0.00171783	3.525119	1.058988	0.272329	0.249014	0.223467	0.25519	1.602048
250	-4677.381	-4699.024	21.6431	0.148112	0.0513135	0.0221908	0.0250505	0.0648631	0.186989	0.0733213	0.0499188	0.0334007	0.00640529	0.107442	0.0435584	0.0823636	0.0979762	0.078875	0.036586	0.0546853	0.0572183	0.0908365	0.0778679	0.0224852	0.036048	0.00619645	0.00367397	0.012299	0.00877772	0.00706196	0.0191375	0.000807661	0.00765488	0.012911	0.00506649	0.000932268	0.00141014	0.148113	0.00790612	0.00453815	4.053127	1.058988	0.272329	0.249014	0.223467	0.25519	1.693994
260	-4674.191	-4697.472	23.28159	0.120885	0.0551465	0.0200371	0.0167467	0.0722145	0.166461	0.0498099	0.039679	0.0424002	0.0153281	0.109135	0.0333186	0.0844008	0.0676818	0.0619482	0.0434923	0.0421635	0.0377444	0.0759957	0.0735394	0.0128435	0.0422874	0.00951074	0.00697471	0.0104185	0.00654277	0.00215355	0.0246186	0.0024655	0.00973052	0.009724	0.00284982	0.00271831	0.00114483	0.188581	0.00617608	0.00655906	3.730501	0.9487887	0.272329	0.249014	0.223467	0.25519	1.573428
270	-4671.224	-4693.875	22.6513	0.152879	0.0474467	0.0234247	0.0201529	0.0668933	0.175333	0.0609774	0.0527904	0.0441141	0.0103332	0.0920478	0.0549224	0.0782462	0.0842571	0.0490788	0.0230529	0.0461791	0.046217	0.0692508	0.0648432	0.0168507	0.0342156	0.00610756	0.00569876	0.00623218	0.0103995	0.00492418	0.0297418	0.00250086	0.00816109	0.010118	0.00123418	0.0052272	0.00059546	0.180611	0.00864145	0.0120189	4.037877	0.9487887	0.277386	0.243766	0.229036	0.249812	1.605719
280	-4681.587	-4704.19	22.60233	0.181948	0.0786551	0.0275488	0.0287358	0.0659686	0.160963	0.0612199	0.0430314	0.0501089	0.0204337	0.072665	0.0444029	0.0703392	0.0697547	0.0569281	0.0348164	0.063063	0.0461749	0.0544269	0.0699104	0.0351349	0.0166472	0.00627451	0.00737977	0.00553475	0.0120129	0.00832216	0.020015	0.00139771	0.00906111	0.0163811	0.000998996	0.0065862	0.00152908	0.166107	0.0139749	0.00279026	3.729156	1.051253	0.277386	0.243766	0.229036	0.249812	1.631242
290	-4677.272	-4699.438	22.16536	0.158942	0.0486391	0.0234452	0.0319573	0.0775836	0.139449	0.0447489	0.0675069	0.0436104	0.0127254	0.108985	0.0424522	0.0880201	0.0953848	0.0692162	0.0348192	0.0674196	0.0405731	0.0803691	0.0576558	0.0271442	0.0235027	0.0048307	0.0100047	0.00847183	0.00461753	0.00357016	0.0325869	0.000406641	0.00325622	0.0137902	0.00139296	0.00379216	0.00181557	0.175344	0.010517	0.00372448	3.99002	0.9170763	0.277386	0.243766	0.229036	0.249812	1.66227
300	-4682.155	-4705.283	23.12756	0.147619	0.053547	0.0216668	0.0257536	0.0916871	0.157498	0.0501749	0.056519	0.0360529	0.00882241	0.113666	0.0357096	0.0814835	0.0805824	0.0466842	0.0348192	0.0445915	0.0203387	0.089957	0.0711815	0.0168731	0.0266188	0.00614584	0.00945569	0.00911119	0.0128516	0.00335343	0.0251309	0.000171169	0.00540217	0.0111663	0.00087308	0.00207466	0.0028095	0.187736	0.0111297	0.00854163	3.351081	1.138524	0.265604	0.247741	0.23277	0.253885	1.607799
310	-4668.855	-4690.648	21.79308	0.14709	0.067963	0.0306047	0.0230104	0.0810154	0.188661	0.0578488	0.0505976	0.0364921	0.00826019	0.0890368	0.0444471	0.0885241	0.0660459	0.0569693	0.0337072	0.0591957	0.026439	0.082597	0.066529	0.0273016	0.0183933	0.00679303	0.0122631	0.00423906	0.00682927	0.00264945	0.0201523	0.000224896	0.0099602	0.0145961	0.00330561	0.00170302	0.00157036	0.175913	0.0126336	0.00925704	4.470126	1.103758	0.263163	0.254654	0.23063	0.251552	1.632819
320	-4672.253	-4694.983	22.73048	0.131107	0.0652946	0.027271	0.0271325	0.0644692	0.161757	0.0702506	0.0621594	0.0366099	0.00331552	0.0753223	0.0333066	0.0764998	0.0742138	0.0546101	0.0304611	0.047445	0.0400973	0.0552193	0.0765224	0.0124516	0.0215631	0.00218823	0.0052496	0.00158172	0.0294203	0.000745066	0.0327148	0.000844693	0.0120456	0.0195142	0.00257357	0.00260251	0.00102609	0.173405	0.0150483	0.00275346	4.372995	1.103758	0.263163	0.254654	0.23063	0.251552	1.548792
330	-4668.628	-4691.34	22.71188	0.164405	0.0564865	0.0276299	0.0241276	0.0738842	0.161757	0.0726198	0.0427894	0.0259569	0.0114818	0.0869975	0.0278143	0.0885925	0.0694696	0.0590056	0.0317062	0.0616647	0.0509077	0.0472352	0.0642959	0.0204369	0.0295638	0.00315477	0.00575673	0.0100437	0.0250225	0.000187128	0.0230911	0.00108926	0.00368573	0.0156542	0.00253777	0.00618444	0.00136274	0.141233	0.0128112	0.0106331	4.214338	1.156194	0.255711	0.247443	0.2241	0.272746	1.561275
