Iteration	Posterior	Likelihood	Prior	alpha	beta	clockrate[1]	clockrate[2]	clockrate[3]	clockrate[4]	clockrate[5]	clockrate[6]	clockrate[7]	clockrate[8]	clockrate[9]	clockrate[10]	clockrate[11]	clockrate[12]	clockrate[13]	clockrate[14]	clockrate[15]	clockrate[16]	clockrate[17]	clockrate[18]	clockrate[19]	clockrate[20]	clockrate[21]	clockrate[22]	clockrate[23]	clockrate[24]	clockrate[25]	clockrate[26]	clockrate[27]	clockrate[28]	clockrate[29]	clockrate[30]	clockrate[31]	clockrate[32]	clockrate[33]	clockrate[34]	clockrate[35]	clockrate[36]	clockrate[37]	clockrate[38]	clockrate[39]	clockrate[40]	clockrate[41]	clockrate[42]	clockrate[43]	clockrate[44]	clockrate[45]	clockrate[46]	clockrate[47]	clockrate[48]	clockrate[49]	clockrate[50]	clockrate[51]	clockrate[52]	clockrate[53]	clockrate[54]	clockrate[55]	clockrate[56]	clockrate[57]	clockrate[58]	clockrate[59]	clockrate[60]	clockrate[61]	clockrate[62]	clockrate[63]	clockrate[64]	clockrate[65]	clockrate[66]	clockrate[67]	clockrate[68]	clockrate[69]	clockrate[70]	clockrate[71]	clockrate[72]	clockrate[73]	clockrate[74]	clockrate[75]	clockrate[76]	clockrate[77]	clockrate[78]	clockrate[79]	clockrate[80]	clockrate[81]	clockrate[82]	clockrate[83]	clockrate[84]	clockrate[85]	clockrate[86]	clockrate[87]	clockrate[88]	clockrate[89]	clockrate[90]	clockrate[91]	clockrate[92]	clockrate[93]	clockrate[94]	clockrate[95]	clockrate[96]	clockrate[97]	clockrate[98]	clockrate[99]	clockrate[100]	clockrate[101]	clockrate[102]	clockrate[103]	clockrate[104]	clockrate[105]	clockrate[106]	clockrate[107]	clockrate[108]	clockrate[109]	clockrate[110]	clockrate[111]	clockrate[112]	clockrate[113]	clockrate[114]	clockrate[115]	clockrate[116]	clockrate[117]	clockrate[118]	clockrate[119]	clockrate[120]	gamma	kappa	lambda	mean_clockrate	mu	relvar_clockrate
0	-24048.32	-24020.54	-27.78633	1.724441	3.443414	0.160564	0.468073	0.785149	1.2347	0.244754	0.0356134	0.672657	0.231511	0.215664	0.521124	1.05728	0.52552	0.504755	0.930021	0.131845	0.109396	0.645732	0.486209	0.191704	0.499664	0.0196702	0.31181	0.500359	0.466291	0.594779	0.0610992	0.895211	0.120027	0.0729802	0.502161	0.848191	1.63797	0.0190677	0.163788	0.361242	1.66476	0.301407	0.0862686	0.505757	0.145045	0.267664	0.232129	0.161549	0.302164	0.484049	0.256234	0.791833	0.0874605	0.494068	0.306674	0.17558	0.275083	0.8018	0.343748	0.629858	0.4943	0.286677	0.144493	0.172422	0.870597	0.309125	0.650765	0.854985	0.250293	0.194491	0.685586	0.668818	0.199974	0.78492	0.0516949	0.164359	0.194799	0.385031	0.184722	0.53315	0.530743	1.24695	0.846247	1.15468	0.701887	0.125885	0.0468319	0.403478	0.544429	0.425298	0.287309	0.61296	0.207391	0.268838	0.497981	0.447191	0.176229	1.42088	0.119011	0.185886	0.131598	0.149975	0.659996	1.19345	0.619967	1.4134	0.116122	0.122043	0.538248	0.334049	0.453228	0.929564	1.13532	0.491175	0.415682	0.372944	0.201763	0.468528	0.108694	0.650321	0.260491	0.262405	0.162294	0.473896	1.34141	0.07711606	17.30559	0.4919886	0.5007938	1.327062	0.5798982
10	-19273.19	-19245.03	-28.1596	1.657572	3.318925	0.195369	0.47318	0.872333	1.21152	0.253703	0.0432504	0.78574	0.269315	0.243878	0.50209	0.942352	0.527206	0.465673	0.987154	0.143868	0.105532	0.54985	0.487894	0.189799	0.537523	0.0228139	0.30102	0.481777	0.455959	0.545503	0.0612215	0.812978	0.112318	0.0751136	0.498316	0.784688	1.49973	0.019682	0.16106	0.360561	1.68853	0.303517	0.0851724	0.506916	0.163371	0.253102	0.234394	0.164447	0.243069	0.499876	0.280194	0.665075	0.0854673	0.505685	0.29446	0.187028	0.330859	0.701735	0.3554	0.601453	0.46991	0.279649	0.15216	0.197927	0.906801	0.259796	0.684318	0.81979	0.219076	0.197083	0.778677	0.613305	0.178169	0.777306	0.0523161	0.17543	0.203798	0.386906	0.171583	0.528031	0.558051	1.15198	0.805523	1.19727	0.791818	0.155864	0.0475027	0.39531	0.517686	0.509745	0.317562	0.62459	0.22114	0.268976	0.566291	0.479778	0.190613	1.49859	0.0947539	0.185375	0.133725	0.160139	0.738328	1.30711	0.77806	1.52042	0.129311	0.12527	0.581174	0.336459	0.470831	0.903167	0.997721	0.494765	0.410606	0.410047	0.217804	0.496349	0.112932	0.742721	0.29868	0.274997	0.15326	0.504177	1.02101	0.3514032	6.625594	0.1003749	0.4994304	3.779808	0.603292
20	-18790.08	-18748.67	-41.41275	1.726467	3.550079	0.197835	0.492701	0.890567	1.19279	0.264668	0.0492896	0.819899	0.294591	0.225548	0.495711	1.00217	0.681396	0.543957	1.06921	0.150762	0.130126	0.56163	0.553648	0.183208	0.540371	0.0269955	0.344086	0.509173	0.45666	0.54911	0.069352	0.762374	0.114829	0.0714825	0.506824	0.841337	1.43641	0.0202307	0.151636	0.343268	1.37983	0.250117	0.0796789	0.475185	0.18218	0.266092	0.252175	0.167911	0.237898	0.476604	0.329248	0.705503	0.0937841	0.521748	0.326657	0.208632	0.292923	0.808519	0.338579	0.63379	0.506025	0.293036	0.149868	0.208015	0.91236	0.224265	0.654067	0.881652	0.23202	0.203121	0.679018	0.606366	0.189508	0.82275	0.0525819	0.209342	0.199091	0.390514	0.18628	0.558872	0.57733	1.24435	0.797121	1.11188	0.74225	0.162215	0.0517829	0.371261	0.447642	0.508549	0.307643	0.63381	0.218234	0.293777	0.566104	0.472705	0.193061	1.46666	0.0886106	0.176773	0.157436	0.142697	0.856295	1.46233	0.82316	1.4027	0.142062	0.142746	0.581377	0.345531	0.447874	1.04308	0.895173	0.580534	0.441124	0.43776	0.225494	0.573112	0.110527	0.790031	0.440407	0.271652	0.148897	0.48515	1.08424	0.4944771	4.724539	0.05106493	0.4863178	16.14036	0.5792176
30	-18555.72	-18512.06	-43.65172	1.74809	3.960352	0.251035	0.494845	1.19461	1.19757	0.24636	0.049405	0.893427	0.331825	0.246603	0.550059	0.828169	0.654707	0.610008	1.12859	0.166795	0.144002	0.452376	0.45014	0.18774	0.50855	0.0277918	0.390478	0.534197	0.450094	0.557824	0.0748783	0.737736	0.118969	0.0791936	0.470439	0.816198	1.32453	0.020738	0.152254	0.364808	1.37781	0.320379	0.0749896	0.42513	0.178085	0.277485	0.299756	0.153616	0.19614	0.472769	0.342658	0.609627	0.10004	0.484313	0.294174	0.241237	0.315135	0.763088	0.370288	0.563329	0.560871	0.312375	0.16118	0.218569	1.04754	0.223641	0.717446	0.939511	0.238053	0.205916	0.640649	0.721566	0.210854	0.747501	0.0518269	0.205046	0.215439	0.428073	0.185053	0.61896	0.493906	1.25887	0.756814	1.25135	0.706551	0.149912	0.0531412	0.365775	0.427348	0.493618	0.291532	0.584929	0.200133	0.321142	0.56787	0.535423	0.17215	1.48579	0.0826199	0.170216	0.16412	0.163037	0.781108	1.67832	0.803734	1.38072	0.13536	0.145115	0.703983	0.388563	0.453758	1.02689	0.849263	0.621427	0.461007	0.475645	0.24638	0.563472	0.109106	0.941378	0.540302	0.259176	0.141935	0.425293	0.979521	0.4730888	4.233923	0.04595168	0.4413977	16.05314	0.5720528
40	-18404.33	-18360.43	-43.90265	2.016403	4.499914	0.210934	0.516697	1.16001	1.27486	0.279518	0.0549925	1.0251	0.345677	0.258246	0.511356	0.726969	0.571733	0.587062	1.16916	0.181319	0.150446	0.416678	0.422014	0.211866	0.542552	0.0282689	0.398823	0.474315	0.391505	0.532942	0.0829156	0.72986	0.116518	0.0847797	0.411355	0.804708	1.34608	0.0202602	0.148436	0.31605	1.4399	0.303352	0.079507	0.392725	0.186073	0.264545	0.277823	0.127294	0.19739	0.558233	0.374106	0.56569	0.116484	0.508373	0.3353	0.246346	0.335483	0.762018	0.377509	0.591749	0.522719	0.321568	0.183737	0.240174	1.20248	0.201707	0.68149	0.962475	0.250153	0.224978	0.758881	0.765068	0.228247	0.844343	0.0680417	0.205373	0.194851	0.475219	0.195531	0.563682	0.447545	1.2147	0.850375	1.16783	0.659891	0.168742	0.052961	0.375811	0.417493	0.479662	0.282062	0.538296	0.239266	0.26649	0.577411	0.552055	0.151248	1.43749	0.082364	0.166919	0.140827	0.173691	0.852772	1.72714	0.799684	1.395	0.138576	0.151204	0.744467	0.45011	0.514335	1.0902	0.78792	0.601256	0.554717	0.505096	0.272115	0.550594	0.108864	0.959437	0.587931	0.275461	0.115532	0.376716	0.937435	0.4708787	4.568804	0.06955935	0.4480981	14.6854	0.4959326
50	-18285.01	-18244.04	-40.96559	1.941662	4.207814	0.182677	0.573635	1.10276	1.17701	0.327333	0.0581273	1.07547	0.340169	0.267118	0.606677	0.635584	0.630585	0.603643	1.33773	0.195761	0.171483	0.390616	0.355094	0.228426	0.528484	0.0230767	0.43145	0.509677	0.376017	0.485856	0.10287	0.677339	0.0896884	0.0981518	0.459512	0.765996	1.27051	0.0226465	0.134799	0.350713	1.42172	0.357505	0.0917701	0.363395	0.183229	0.293509	0.270845	0.119638	0.187317	0.559855	0.412041	0.496823	0.128096	0.57789	0.345818	0.246493	0.319754	0.68537	0.327197	0.58244	0.488774	0.280895	0.194619	0.221766	1.39246	0.184931	0.71626	0.880618	0.299204	0.196497	0.696803	0.722266	0.222511	0.865585	0.0707506	0.220927	0.191177	0.446046	0.187384	0.621816	0.415351	1.32466	0.772681	1.01246	0.716985	0.176467	0.0511638	0.387552	0.451473	0.481281	0.278364	0.524051	0.271517	0.295792	0.585142	0.572049	0.144193	1.36192	0.0750449	0.190405	0.132454	0.196859	0.806561	1.64518	0.901245	1.45974	0.147071	0.173318	0.76288	0.372824	0.581811	0.932218	0.788817	0.578362	0.594086	0.441602	0.26987	0.542437	0.119573	1.02514	0.688661	0.241828	0.110991	0.357506	0.821155	0.4982457	4.260517	0.09791802	0.4614419	13.46746	0.5150228
60	-18202.05	-18160.53	-41.51294	1.704304	3.650084	0.187294	0.600908	1.05695	1.22493	0.335814	0.0633922	1.14594	0.411357	0.251886	0.605729	0.561004	0.66052	0.612577	1.30053	0.199525	0.165449	0.412321	0.357648	0.238291	0.486221	0.0220574	0.470087	0.499982	0.386593	0.49229	0.112788	0.697589	0.0841478	0.0935489	0.494098	0.738897	1.2009	0.0210044	0.122325	0.428461	1.41537	0.318136	0.0839143	0.349519	0.170902	0.292399	0.294239	0.132674	0.188143	0.569889	0.435166	0.581384	0.122716	0.590559	0.360383	0.260678	0.314665	0.7013	0.307567	0.67691	0.504421	0.33	0.189327	0.252605	1.41902	0.153771	0.70752	1.11993	0.316597	0.178184	0.620983	0.625753	0.283573	0.901334	0.0759245	0.208049	0.196938	0.423636	0.179298	0.662064	0.408204	1.47573	0.821324	0.93104	0.789393	0.19587	0.0550478	0.444681	0.425919	0.548514	0.284311	0.575546	0.292627	0.307976	0.707473	0.614932	0.156384	1.29988	0.0774823	0.196409	0.142479	0.228274	0.79295	1.6166	1.00709	1.44222	0.148026	0.160399	0.792152	0.445767	0.607773	0.819885	0.812667	0.564455	0.524101	0.409342	0.323132	0.556323	0.119704	1.06681	0.714054	0.237316	0.0971201	0.295676	0.728943	0.49594	4.017115	0.2206914	0.466922	11.60971	0.5867497
70	-18162.71	-18120.7	-42.01014	1.551296	3.498143	0.173339	0.607633	1.16144	1.23213	0.359982	0.0640644	1.16544	0.454772	0.276635	0.708691	0.58188	0.574147	0.505905	1.2218	0.199907	0.167334	0.41255	0.360606	0.267816	0.501244	0.019358	0.462241	0.476349	0.373479	0.443433	0.136194	0.636912	0.0843239	0.0937287	0.518129	0.806105	1.20362	0.0218081	0.132992	0.435215	1.32019	0.300173	0.0858079	0.357578	0.18802	0.295736	0.240722	0.16611	0.195422	0.537253	0.471933	0.580041	0.119966	0.575268	0.428899	0.331116	0.282424	0.647926	0.30235	0.64425	0.446644	0.351742	0.19224	0.237434	1.37828	0.138549	0.695986	1.26726	0.317914	0.147326	0.625972	0.626964	0.330828	0.774871	0.0787055	0.232622	0.231764	0.432842	0.186526	0.716887	0.419405	1.65145	0.96137	0.876956	0.741569	0.211303	0.0576464	0.441735	0.417716	0.567278	0.297302	0.602316	0.280114	0.327002	0.702693	0.593043	0.184958	1.41859	0.0806083	0.204904	0.149116	0.227305	0.64783	1.70355	1.0148	0.982846	0.15926	0.193272	0.88381	0.43161	0.5856	0.789387	0.890872	0.542028	0.539524	0.40861	0.335591	0.561521	0.134943	0.9168	0.776637	0.220618	0.088908	0.285842	0.628838	0.4817269	4.017115	0.2182628	0.4434627	11.36915	0.6446223
80	-18094.12	-18047.07	-47.04626	1.623286	3.515543	0.144802	0.630812	1.04133	1.1965	0.357816	0.0670466	1.04948	0.513669	0.321671	0.657398	0.638399	0.568226	0.544285	1.25033	0.197821	0.15675	0.396906	0.377812	0.2807	0.424113	0.0211579	0.432611	0.473604	0.299545	0.494242	0.140662	0.643646	0.105889	0.109282	0.450206	0.761265	1.24024	0.0208388	0.127358	0.451296	1.25601	0.310953	0.0857763	0.295224	0.20653	0.323522	0.216552	0.181611	0.175478	0.436483	0.489388	0.593036	0.119275	0.535023	0.454619	0.355943	0.301292	0.628236	0.304767	0.67729	0.45811	0.322569	0.221085	0.245749	1.49707	0.122269	0.660212	1.2426	0.265156	0.133395	0.615782	0.638381	0.322305	0.784966	0.0911979	0.182511	0.230203	0.427011	0.155787	0.783052	0.445452	1.66118	0.997388	0.844887	0.627205	0.216647	0.0530428	0.398985	0.370774	0.535939	0.310731	0.674509	0.24572	0.303918	0.778836	0.675125	0.187068	1.49617	0.0872688	0.187873	0.15732	0.212205	0.643681	1.82077	1.2353	0.941915	0.175087	0.20806	0.946431	0.437288	0.547943	0.958581	0.90382	0.593416	0.636162	0.427663	0.360348	0.598198	0.145127	0.816354	0.784038	0.232631	0.0812753	0.253255	0.627309	0.4768703	3.942655	0.1155966	0.4617456	16.52941	0.6160343
90	-18010.85	-17964.57	-46.27988	1.53401	3.52959	0.129508	0.592173	0.983962	1.08009	0.376471	0.0651135	1.05898	0.551421	0.346643	0.614103	0.643544	0.574854	0.536668	1.15241	0.217008	0.156938	0.426721	0.351034	0.3453	0.439547	0.0241705	0.393292	0.46716	0.302302	0.482063	0.13601	0.600688	0.107627	0.130333	0.449659	0.86074	1.18004	0.0187793	0.129188	0.469739	1.31562	0.295629	0.0793708	0.303979	0.205219	0.337609	0.212687	0.172688	0.17919	0.365201	0.527215	0.520945	0.104602	0.549701	0.463169	0.348113	0.295378	0.615738	0.326231	0.741822	0.416836	0.32442	0.219838	0.269518	1.48631	0.108147	0.759833	1.18616	0.283442	0.135414	0.561681	0.56111	0.341821	0.886876	0.0917173	0.199626	0.249231	0.388952	0.178011	0.897586	0.41512	1.6283	0.831596	0.957675	0.627412	0.268612	0.0585018	0.372902	0.346118	0.573	0.287616	0.597932	0.254369	0.295605	0.787077	0.563958	0.17072	1.6248	0.0941266	0.159847	0.185013	0.206406	0.616532	1.62573	1.2494	0.830139	0.172922	0.205042	0.965976	0.534917	0.548334	0.936227	0.940884	0.500961	0.666473	0.467432	0.324254	0.682947	0.131874	0.836319	0.865254	0.202031	0.0731207	0.228006	0.590439	0.4903168	3.942655	0.01726562	0.4346141	15.17866	0.6518864
